created_at,repository_full_name,conclusion,updated_at,status,id,workflow_id
2025-11-06T11:59:49Z,pagopa/b2b-portals,failure,2025-11-06T12:00:00Z,completed,19134903504,67831851
2025-11-06T11:59:49Z,pagopa/b2b-portals,success,2025-11-06T12:00:02Z,completed,19134903517,67843018
2025-11-10T09:30:50Z,pagopa/b2b-portals,success,2025-11-10T09:31:00Z,completed,19226984626,67933970
2025-11-10T10:59:10Z,pagopa/b2b-portals,success,2025-11-10T11:02:16Z,completed,19229301565,164710859
2025-11-07T09:47:54Z,pagopa/b2b-portals,success,2025-11-07T09:48:05Z,completed,19164558564,67831851
2025-11-05T14:13:59Z,pagopa/b2b-portals,success,2025-11-05T14:17:17Z,completed,19104871971,99181194
2025-11-11T04:48:47Z,pagopa/b2b-portals,success,2025-11-11T04:49:58Z,completed,19255295955,72818735
2025-11-03T04:52:19Z,pagopa/b2b-portals,success,2025-11-03T04:55:19Z,completed,19024293724,164710859
2025-11-06T11:35:56Z,pagopa/b2b-portals,success,2025-11-06T11:36:07Z,completed,19134352028,67843018
2025-11-04T17:07:26Z,pagopa/b2b-portals,success,2025-11-04T17:07:33Z,completed,19076780534,67933970
2025-11-06T11:38:23Z,pagopa/b2b-portals,success,2025-11-06T11:38:33Z,completed,19134413155,67843018
2025-11-06T11:35:53Z,pagopa/b2b-portals,success,2025-11-06T11:37:12Z,completed,19134350697,72818735
2025-11-11T04:48:49Z,pagopa/b2b-portals,success,2025-11-11T04:48:57Z,completed,19255296493,67933970
2025-11-03T16:16:23Z,pagopa/b2b-portals,success,2025-11-03T16:16:43Z,completed,19041274938,191688234
2025-11-07T15:51:24Z,pagopa/b2b-portals,success,2025-11-07T15:51:36Z,completed,19173588483,67843018
2025-11-05T14:16:41Z,pagopa/b2b-portals,failure,2025-11-05T14:16:56Z,completed,19104954336,67843018
2025-11-03T16:09:23Z,pagopa/b2b-portals,success,2025-11-03T16:09:47Z,completed,19041065065,191688234
2025-11-04T17:05:02Z,pagopa/b2b-portals,success,2025-11-04T17:05:14Z,completed,19076707356,67831851
2025-11-11T04:48:49Z,pagopa/b2b-portals,success,2025-11-11T04:51:54Z,completed,19255296498,164710859
2025-11-10T09:28:04Z,pagopa/b2b-portals,success,2025-11-10T09:30:54Z,completed,19226912482,99181194
2025-11-05T14:16:35Z,pagopa/b2b-portals,success,2025-11-05T14:17:56Z,completed,19104951106,72818735
2025-11-03T08:39:36Z,pagopa/b2b-portals,success,2025-11-03T08:43:48Z,completed,19028564462,169478786
2025-11-11T04:48:49Z,pagopa/b2b-portals,success,2025-11-11T04:49:00Z,completed,19255296464,67831851
2025-11-06T11:48:47Z,pagopa/b2b-portals,failure,2025-11-06T11:49:00Z,completed,19134655489,67831851
2025-11-06T11:48:47Z,pagopa/b2b-portals,success,2025-11-06T11:49:00Z,completed,19134655478,67843018
2025-11-05T14:13:59Z,pagopa/b2b-portals,success,2025-11-05T14:17:57Z,completed,19104871967,67942158
2025-11-04T17:07:26Z,pagopa/b2b-portals,success,2025-11-04T17:07:37Z,completed,19076780520,67843018
2025-11-03T16:01:37Z,pagopa/b2b-portals,success,2025-11-03T16:01:59Z,completed,19040831773,191688234
2025-11-06T04:51:57Z,pagopa/b2b-portals,success,2025-11-06T04:52:05Z,completed,19125204440,67933970
2025-11-06T11:48:47Z,pagopa/b2b-portals,failure,2025-11-06T11:48:56Z,completed,19134655484,67933970
2025-11-11T04:48:49Z,pagopa/b2b-portals,failure,2025-11-11T04:49:34Z,completed,19255296484,67942158
2025-11-06T04:51:57Z,pagopa/b2b-portals,success,2025-11-06T04:55:09Z,completed,19125204457,164710859
2025-11-06T11:38:23Z,pagopa/b2b-portals,failure,2025-11-06T11:38:32Z,completed,19134413129,67831851
2025-11-06T11:38:21Z,pagopa/b2b-portals,success,2025-11-06T11:39:28Z,completed,19134412521,72818735
2025-11-06T11:38:23Z,pagopa/b2b-portals,failure,2025-11-06T11:38:36Z,completed,19134413138,67933970
2025-11-10T10:59:10Z,pagopa/b2b-portals,success,2025-11-10T10:59:25Z,completed,19229301573,67831851
2025-11-06T11:48:44Z,pagopa/b2b-portals,success,2025-11-06T11:49:58Z,completed,19134654453,72818735
2025-11-07T15:51:24Z,pagopa/b2b-portals,success,2025-11-07T15:51:36Z,completed,19173588467,67831851
2025-11-07T09:47:54Z,pagopa/b2b-portals,success,2025-11-07T09:48:06Z,completed,19164558555,67843018
2025-11-03T16:14:25Z,pagopa/b2b-portals,success,2025-11-03T16:15:07Z,completed,19041215640,161419220
2025-11-06T11:35:56Z,pagopa/b2b-portals,failure,2025-11-06T11:36:06Z,completed,19134352012,67831851
2025-11-06T04:51:54Z,pagopa/b2b-portals,success,2025-11-06T04:53:01Z,completed,19125203342,72818735
