repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/b2b-portals,[B2BP-26] Add stale workflow,1,REVIEW_REQUIRED,2023-08-30T14:05:04Z,2023-08-30T14:42:34Z,2023-08-30T14:42:34Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4775679?u=c2cf9def41f1fb61ebff7f2aa8c8fa1937fa2f18\u0026v=4"",""login"":""datalek"",""url"":""https://github.com/datalek""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}",29,1
pagopa/b2b-portals,[B2BP-4] CI workflows,3,REVIEW_REQUIRED,2023-08-30T14:28:41Z,2023-09-01T10:08:58Z,2023-09-01T10:08:58Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}",283,3
pagopa/b2b-portals,[B2BP-20] Add code coverage report,10,,2023-08-31T12:58:59Z,2023-09-01T09:35:41Z,2023-09-01T09:35:41Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}",3,2
pagopa/b2b-portals,[B2BP-98] Add eslint config for nextjs-website,16,,2023-09-12T10:59:50Z,2023-09-12T13:54:48Z,2023-09-12T13:54:48Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4775679?u=c2cf9def41f1fb61ebff7f2aa8c8fa1937fa2f18\u0026v=4"",""login"":""datalek"",""url"":""https://github.com/datalek""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4775679?u=c2cf9def41f1fb61ebff7f2aa8c8fa1937fa2f18\u0026v=4"",""login"":""datalek"",""url"":""https://github.com/datalek""}",1340,3
pagopa/b2b-portals,[B2BP-46] commit init next plus app router,15,REVIEW_REQUIRED,2023-09-08T14:02:08Z,2023-09-12T14:55:38Z,2023-09-12T14:55:38Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/90854445?v=4"",""login"":""Meolocious"",""url"":""https://github.com/Meolocious""}",8503,41
pagopa/b2b-portals,Update README,11,REVIEW_REQUIRED,2023-09-01T10:03:37Z,2023-09-01T10:07:50Z,2023-09-01T10:07:50Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4775679?u=c2cf9def41f1fb61ebff7f2aa8c8fa1937fa2f18\u0026v=4"",""login"":""datalek"",""url"":""https://github.com/datalek""}",2,1
pagopa/b2b-portals,[B2BP-171] - Terraform DB ALB ECS Cluster AWS,46,REVIEW_REQUIRED,2023-10-25T21:07:22Z,2023-10-27T07:14:23Z,2023-10-27T07:14:23Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/98483756?v=4"",""login"":""maurodandrea"",""url"":""https://github.com/maurodandrea""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/98483756?v=4"",""login"":""maurodandrea"",""url"":""https://github.com/maurodandrea""}",106,17
pagopa/b2b-portals,Test/new dep,9,,2023-08-31T12:27:45Z,2023-08-31T13:21:35Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}",7074,3
pagopa/b2b-portals,[B2BP-24] Check PR title,6,,2023-08-30T15:41:53Z,2023-08-31T08:55:48Z,2023-08-31T08:55:48Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}",87,2
pagopa/b2b-portals,[B2BP-168] - Terraform S3 Media Library AWS,23,REVIEW_REQUIRED,2023-10-12T15:50:38Z,2023-10-16T14:17:49Z,2023-10-16T14:17:49Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/9998393?u=538fff5123a85af8e494decec699a6716525a2cf\u0026v=4"",""login"":""kin0992"",""url"":""https://github.com/kin0992""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/98483756?v=4"",""login"":""maurodandrea"",""url"":""https://github.com/maurodandrea""}",24,15
