id,name,repository_full_name,pipeline
69724274,Deploy Infrastructure,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""defaults"":{""run"":{""shell"":""bash""}},""jobs"":{""deploy"":{""name"":""Terraform apply (manual)"",""runs-on"":""ubuntu-latest"",""continue-on-error"":false,""environment"":""${{ inputs.environment }}"",""env"":{""terraform_working_directory"":""apps/infrastructure/src""},""concurrency"":{""group"":""terraform-${{ inputs.environment }}"",""cancel-in-progress"":false},""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Setup Node.JS"",""uses"":""./.github/actions/setup-node""},{""name"":""Install dependencies"",""run"":""npm ci --audit=false --fund=false""},{""name"":""Compile Cloudfront Functions"",""run"":""npm run compile -w cloudfront-functions""},{""name"":""Configure AWS Credentials"",""uses"":""./.github/actions/configure-aws-credentials"",""with"":{""aws_region"":""${{ env.AWS_REGION || 'eu-south-1' }}"",""role_to_assume"":""${{ secrets.IAM_ROLE }}""}},{""name"":""Setup Terraform"",""uses"":""./.github/actions/setup-terraform"",""with"":{""environment"":""${{ inputs.environment }}"",""working_directory"":""${{ env.terraform_working_directory }}""}},{""name"":""Terraform Apply"",""working-directory"":""${{ env.terraform_working_directory }}"",""env"":{""TF_VAR_publish_cloudfront_functions"":true},""run"":""./terraform.sh apply ${{ inputs.environment }} -auto-approve\n""}]}},""name"":""Deploy Infrastructure"",""on"":{""workflow_dispatch"":{""inputs"":{""logLevel"":{""description"":""Log level"",""required"":true,""default"":""warning"",""type"":""choice"",""options"":[""info"",""warning"",""debug""]},""environment"":{""description"":""The environment used as target"",""type"":""choice"",""required"":true,""default"":""prod"",""options"":[""prod""]}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
164710859,Dry Build,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""dry_build"":{""name"":""Run Dry Build"",""runs-on"":""ubuntu-latest"",""env"":{""PREVIEW_MODE"":""true"",""PREVIEW_TOKEN"":""mock"",""ENVIRONMENT"":""demo"",""SEND_STRAPI_API_TOKEN"":""mock"",""SEND_STRAPI_API_BASE_URL"":""mock"",""APPIO_STRAPI_API_TOKEN"":""mock"",""APPIO_STRAPI_API_BASE_URL"":""mock"",""DEMO_STRAPI_API_TOKEN"":""mock"",""DEMO_STRAPI_API_BASE_URL"":""mock"",""INTEROP_STRAPI_API_TOKEN"":""mock"",""INTEROP_STRAPI_API_BASE_URL"":""mock"",""CDN_PATH"":""mock""},""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Setup Node.JS"",""uses"":""./.github/actions/setup-node""},{""name"":""Install dependencies"",""shell"":""bash"",""run"":""npm ci""},{""name"":""Compile packages"",""shell"":""bash"",""run"":""npm run compile""},{""name"":""Run Preview Build"",""shell"":""bash"",""run"":""npm run build"",""working-directory"":""apps/nextjs-website""}]}},""name"":""Dry Build"",""on"":{""pull_request"":null},""permissions"":{""contents"":""read""}}}"
67933970,Check PR branch up to date,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""check_branch_up_to_date"":{""name"":""Verify branch is up to date"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac"",""with"":{""fetch-depth"":""0""}},{""name"":""Check PR branch is updated"",""uses"":""./.github/actions/branch-up-to-date""}]}},""name"":""Check PR branch up to date"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""synchronize""]}}}}"
69128919,Code Review Infra,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""infrastructure_checks"":{""strategy"":{""matrix"":{""environment"":[""prod""]}},""name"":""Infra checks"",""runs-on"":""ubuntu-latest"",""environment"":""${{ matrix.environment }}"",""concurrency"":{""group"":""terraform-${{ matrix.environment }}"",""cancel-in-progress"":false},""env"":{""terraform_working_directory"":""apps/infrastructure/src""},""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Setup Node.JS"",""uses"":""./.github/actions/setup-node""},{""name"":""Install dependencies"",""run"":""npm ci --audit=false --fund=false""},{""name"":""Compile Cloudfront Functions"",""run"":""npm run compile -w cloudfront-functions""},{""name"":""Configure AWS Credentials"",""uses"":""./.github/actions/configure-aws-credentials"",""with"":{""aws_region"":""eu-south-1"",""role_to_assume"":""${{ secrets.IAM_ROLE }}""}},{""name"":""Setup Terraform"",""uses"":""./.github/actions/setup-terraform"",""with"":{""environment"":""${{ matrix.environment }}"",""working_directory"":""${{ env.terraform_working_directory }}""}},{""name"":""Terraform Plan"",""working-directory"":""${{ env.terraform_working_directory }}"",""run"":""./terraform.sh plan ${{ matrix.environment }}""}]}},""name"":""Code Review Infra"",""on"":{""pull_request"":{""branches"":""**"",""paths"":[""apps/infrastructure/src/**"","".github/workflows/code_review_infra.yaml""]}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
73715926,Deploy CMS,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""defaults"":{""run"":{""shell"":""bash"",""working-directory"":""apps/strapi-cms""}},""jobs"":{""deploy_multitenant"":{""name"":""Build and push CMS Multitenant image"",""runs-on"":""ubuntu-latest"",""continue-on-error"":false,""strategy"":{""matrix"":{""environment"":[""send"",""appio"",""demo"",""interop""]}},""environment"":""${{ matrix.environment }}"",""concurrency"":{""group"":""${{ github.workflow }}-${{ matrix.environment }}"",""cancel-in-progress"":false},""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Configure AWS Credentials"",""uses"":""./.github/actions/configure-aws-credentials"",""with"":{""aws_region"":""${{ env.AWS_REGION || 'eu-south-1' }}"",""role_to_assume"":""${{ secrets.IAM_ROLE_DEPLOY_CMS }}""}},{""name"":""Login to Amazon ECR"",""id"":""login-ecr"",""uses"":""aws-actions/amazon-ecr-login@062b18b96a7aff071d4dc91bc00c4c1a7945b076""},{""name"":""Build Push and Tag"",""continue-on-error"":true,""uses"":""docker/build-push-action@4a13e500e55cf31b7a5d59a38ab2040ab0f42f56"",""env"":{""ECR_REGISTRY"":""${{ steps.login-ecr.outputs.registry }}"",""ECR_REPOSITORY"":""strapi"",""IMAGE_TAG"":""${{ github.sha }}""},""with"":{""context"":""apps/strapi-cms"",""push"":true,""tags"":""${{ env.ECR_REGISTRY }}/${{ env.ECR_REPOSITORY }}:${{ env.IMAGE_TAG }}"",""provenance"":false}},{""name"":""Generate task-definition file"",""run"":""aws ecs describe-task-definition --task-definition cms-task-def-${{ matrix.environment }} --query taskDefinition \u003e task-definition-${{ matrix.environment }}.json""},{""name"":""Update ImageTag in task-definition"",""id"":""task-def"",""uses"":""aws-actions/amazon-ecs-render-task-definition@4225e0b507142a2e432b018bc3ccb728559b437a"",""with"":{""task-definition"":""apps/strapi-cms/task-definition-${{ matrix.environment }}.json"",""container-name"":""cms-docker"",""image"":""${{ steps.login-ecr.outputs.registry }}/strapi:${{ github.sha }}""}},{""name"":""Deploy new ECS task definition"",""uses"":""aws-actions/amazon-ecs-deploy-task-definition@0e82244a9c6dac43d70151a94c67ebc4bab18fc5"",""with"":{""task-definition"":""${{ steps.task-def.outputs.task-definition }}"",""service"":""cms-ecs-${{ matrix.environment }}"",""cluster"":""cms-ecs-cluster""}}]}},""name"":""Deploy CMS"",""on"":{""push"":{""branches"":[""main""],""paths"":[""apps/strapi-cms/**"","".github/workflows/deploy_cms.yaml""]},""workflow_dispatch"":{""inputs"":{""logLevel"":{""description"":""Log level"",""required"":true,""default"":""warning"",""type"":""choice"",""options"":[""warning""]}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
169478786,Deploy Website to Staging,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""s3-deploy-${{ inputs.environment }}"",""cancel-in-progress"":false},""jobs"":{""deploy"":{""name"":""Deploy to S3 - (${{ inputs.environment }})"",""runs-on"":""ubuntu-latest"",""environment"":""${{ inputs.environment }}"",""concurrency"":{""group"":""${{ github.workflow }}-${{ inputs.environment }}"",""cancel-in-progress"":false},""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@8e5e7e5ab8b370d6c329ec480221332ada57f0ab""},{""name"":""Deploy website"",""uses"":""./.github/actions/deploy"",""with"":{""environment"":""${{ inputs.environment }}"",""iam_role"":""${{ secrets.IAM_ROLE_DEPLOY_WEBSITE }}"",""bucket"":""${{ vars.S3_STAGING_BUCKET_NAME }}"",""media_library_bucket"":""${{ vars.STRAPI_MEDIA_LIBRARY_S3_BUCKET_NAME }}"",""cloudfront_distribution_id"":""${{ vars.CLOUDFRONT_STAGING_DISTRIBUTION_ID }}"",""send_strapi_api_token"":""${{ secrets.SEND_STRAPI_TOKEN }}"",""send_strapi_api_base_url"":""${{ vars.SEND_STRAPI_URL }}"",""send_strapi_media_library"":""${{ vars.SEND_STRAPI_MEDIA_LIBRARY_S3_BUCKET_NAME }}"",""appio_strapi_api_token"":""${{ secrets.APPIO_STRAPI_TOKEN }}"",""appio_strapi_api_base_url"":""${{ vars.APPIO_STRAPI_URL }}"",""appio_strapi_media_library"":""${{ vars.APPIO_STRAPI_MEDIA_LIBRARY_S3_BUCKET_NAME }}"",""demo_strapi_api_token"":""${{ secrets.DEMO_STRAPI_TOKEN }}"",""demo_strapi_api_base_url"":""${{ vars.DEMO_STRAPI_URL }}"",""demo_strapi_media_library"":""${{ vars.DEMO_STRAPI_MEDIA_LIBRARY_S3_BUCKET_NAME }}"",""interop_strapi_api_token"":""${{ secrets.INTEROP_STRAPI_TOKEN }}"",""interop_strapi_api_base_url"":""${{ vars.INTEROP_STRAPI_URL }}"",""interop_strapi_media_library"":""${{ vars.INTEROP_STRAPI_MEDIA_LIBRARY_S3_BUCKET_NAME }}"",""cdn_path"":""${{ vars.CDN_PATH }}""}}]},""notify"":{""needs"":""deploy"",""name"":""Notify of Workflow End - (${{ inputs.environment }})"",""runs-on"":""ubuntu-latest"",""environment"":""${{ inputs.environment }}"",""steps"":[{""name"":""Call Strapi API"",""shell"":""bash"",""run"":""curl -X POST \""${{ vars.STRAPI_URL }}/static-deploy/notify-workflow-end\"" \\\n  -H \""Content-Type: application/json\"" \\\n  -H \""Authorization: Bearer ${{ secrets.WORKFLOW_NOTIFICATIONS_BEARER_TOKEN }}\"" \\\n  -d '{\""event\"": \""staging-end\""}'""}]}},""name"":""Deploy Website to Staging"",""on"":{""workflow_dispatch"":{""inputs"":{""environment"":{""description"":""The Tenant for which the static site will be built"",""type"":""choice"",""required"":true,""options"":[""send"",""appio"",""demo"",""interop""]}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
68078613,Changelog,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":""${{ github.workflow }}-${{ github.ref }}"",""jobs"":{""changelog"":{""name"":""Update CHANGELOG"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""with"":{""fetch-tags"":""true"",""fetch-depth"":0}},{""name"":""Setup Node.JS"",""uses"":""./.github/actions/setup-node""},{""name"":""Install dependencies"",""run"":""npm ci --audit=false --fund=false""},{""name"":""Create PR for next releases"",""uses"":""changesets/action@f13b1baaa620fde937751f5d2c3572b9da32af23"",""with"":{""version"":""npm run version"",""publish"":""npm run tag"",""commit"":""Update CHANGELOG and prepare next release"",""title"":""Push next releases"",""createGithubReleases"":false},""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}}]}},""name"":""Changelog"",""on"":{""push"":{""branches"":[""main""],""paths"":["".changeset/**""]}}}}"
99181194,Deploy Storybook,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""build"":{""name"":""Build and Deploy Storybook"",""runs-on"":""ubuntu-latest"",""concurrency"":{""group"":""${{ github.workflow }}"",""cancel-in-progress"":false},""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@8e5e7e5ab8b370d6c329ec480221332ada57f0ab""},{""name"":""Setup Node"",""uses"":""./.github/actions/setup-node""},{""name"":""Install dependencies"",""shell"":""bash"",""run"":""npm install""},{""name"":""Create Storybook"",""shell"":""bash"",""working-directory"":""./apps/nextjs-website"",""run"":""npm run build-storybook""},{""name"":""Configure AWS Credentials"",""uses"":""./.github/actions/configure-aws-credentials"",""with"":{""aws_region"":""${{ env.AWS_REGION || 'eu-south-1' }}"",""role_to_assume"":""${{ secrets.IAM_ROLE_DEPLOY_WEBSITE }}""}},{""name"":""Deploy to S3 Bucket"",""shell"":""bash"",""run"":""aws s3 sync ./apps/nextjs-website/storybook-static s3://${{ vars.STORYBOOK_S3_BUCKET_NAME }}/storybook --delete""},{""name"":""Create AWS Cloudfront Invalidation"",""shell"":""bash"",""run"":""aws cloudfront create-invalidation --distribution-id ${{ vars.CLOUDFRONT_DISTRIBUTION_ID_STORYBOOK }} --paths \""/*\""""}]}},""name"":""Deploy Storybook"",""on"":{""push"":{""branches"":[""main""],""paths"":["".github/workflows/deploy_storybook.yaml"",""apps/nextjs-website/**""]},""workflow_dispatch"":null},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
101114487,Deploy NextJS,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""defaults"":{""run"":{""shell"":""bash"",""working-directory"":""apps/nextjs-website""}},""jobs"":{""deploy"":{""name"":""Build and push NextJS image"",""runs-on"":""ubuntu-latest"",""continue-on-error"":false,""strategy"":{""matrix"":{""environment"":[""prod""]}},""environment"":""${{ matrix.environment }}"",""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Configure AWS Credentials"",""uses"":""aws-actions/configure-aws-credentials@50ac8dd1e1b10d09dac7b8727528b91bed831ac0"",""with"":{""aws-region"":""eu-south-1"",""role-to-assume"":""${{ secrets.IAM_ROLE_DEPLOY_CMS }}""}},{""name"":""Login to Amazon ECR"",""id"":""login-ecr"",""uses"":""aws-actions/amazon-ecr-login@062b18b96a7aff071d4dc91bc00c4c1a7945b076""},{""name"":""Build Push and Tag"",""id"":""build-image"",""uses"":""docker/build-push-action@0565240e2d4ab88bba5387d719585280857ece09"",""env"":{""ECR_REGISTRY"":""${{ steps.login-ecr.outputs.registry }}"",""ECR_REPOSITORY"":""nextjs"",""IMAGE_TAG"":""${{ github.sha }}""},""with"":{""context"":""apps/nextjs-website"",""push"":true,""tags"":""${{ env.ECR_REGISTRY }}/${{ env.ECR_REPOSITORY }}:${{ env.IMAGE_TAG }}"",""provenance"":false,""build-args"":""ENVIRONMENT=demo\nPREVIEW_MODE=true\nPREVIEW_TOKEN=${{ secrets.PREVIEW_TOKEN }}\nSEND_STRAPI_API_TOKEN=${{ secrets.SEND_STRAPI_TOKEN }}\nSEND_STRAPI_API_BASE_URL=${{ vars.SEND_STRAPI_URL }}\nAPPIO_STRAPI_API_TOKEN=${{ secrets.APPIO_STRAPI_TOKEN }}\nAPPIO_STRAPI_API_BASE_URL=${{ vars.APPIO_STRAPI_URL }}\nDEMO_STRAPI_API_TOKEN=${{ secrets.DEMO_STRAPI_TOKEN }}\nDEMO_STRAPI_API_BASE_URL=${{ vars.DEMO_STRAPI_URL }}\nINTEROP_STRAPI_API_TOKEN=${{ secrets.INTEROP_STRAPI_TOKEN }}\nINTEROP_STRAPI_API_BASE_URL=${{ vars.INTEROP_STRAPI_URL }}\n""}},{""name"":""Generate definition file"",""run"":""aws ecs describe-task-definition --task-definition nextjs-task-def --query taskDefinition \u003e task-definition.json""},{""name"":""Update Image in task definition"",""id"":""task-def"",""uses"":""aws-actions/amazon-ecs-render-task-definition@v1"",""with"":{""task-definition"":""apps/nextjs-website/task-definition.json"",""container-name"":""nextjs-docker"",""image"":""${{ steps.login-ecr.outputs.registry }}/nextjs:${{ github.sha }}""}},{""name"":""Deploy new ECS task definition"",""uses"":""aws-actions/amazon-ecs-deploy-task-definition@0e82244a9c6dac43d70151a94c67ebc4bab18fc5"",""with"":{""task-definition"":""${{ steps.task-def.outputs.task-definition }}"",""service"":""nextjs-ecs"",""cluster"":""cms-ecs-cluster""}}]}},""name"":""Deploy NextJS"",""on"":{""push"":{""branches"":[""main""],""paths"":["".github/workflows/deploy_nextjs.yaml"",""apps/nextjs-website/**""]},""workflow_dispatch"":{""inputs"":{""logLevel"":{""description"":""Log level"",""required"":true,""default"":""warning"",""type"":""choice"",""options"":[""warning""]},""environment"":{""description"":""The environment used  as target"",""type"":""choice"",""required"":true,""default"":""prod"",""options"":[""prod""]}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
67843018,Check PR title,pagopa/b2b-portals,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""check_pr_title"":{""if"":""${{ github.head_ref }} != 'changeset-release/main'"",""name"":""Check PR title"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@3df4ab11eba7bda6032a0b82a6bb43b11571feac""},{""name"":""Check PR is linked to Jira activity"",""uses"":""./.github/actions/link-pr-to-jira-activity""}]}},""name"":""Check PR title"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""synchronize""]}}}}"
