module,source_type,file_type,version,repository,file_path,line_number,file_link
"./identity","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",70,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L70"
"./modules/core","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",75,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L75"
"./modules/website","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",88,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L88"
"./modules/cms","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",135,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L135"
"./modules/chatbot","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",162,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L162"
"./modules/cicd","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",189,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L189"
"./modules/active_campaign","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",221,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L221"
"./modules/docs_redirect","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",232,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L232"
"./modules/video_streaming","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",247,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L247"
"./modules/langfuse","local","terraform","","pagopa/developer-portal","apps/infrastructure/src/main.tf",268,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/main.tf#L268"
"git::github.com/terraform-aws-modules/terraform-aws-lambda.git?ref=9633abb6b6d275d3a28604dbfa755098470420d4","registry","terraform","9633abb6b6d275d3a28604dbfa755098470420d4","pagopa/developer-portal","apps/infrastructure/src/modules/active_campaign/lambda_resync.tf",2,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/active_campaign/lambda_resync.tf#L2"
"git::github.com/terraform-aws-modules/terraform-aws-lambda.git?ref=9633abb6b6d275d3a28604dbfa755098470420d4","registry","terraform","9633abb6b6d275d3a28604dbfa755098470420d4","pagopa/developer-portal","apps/infrastructure/src/modules/active_campaign/lambda_sync.tf",2,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/active_campaign/lambda_sync.tf#L2"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/active_campaign/lambda_sync.tf",46,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/active_campaign/lambda_sync.tf#L46"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/active_campaign/lambda_sync.tf",56,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/active_campaign/lambda_sync.tf#L56"
"git::https://github.com/terraform-aws-modules/terraform-aws-acm.git?ref=8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","registry","terraform","8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/acm.tf",1,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/acm.tf#L1"
"git::https://github.com/terraform-aws-modules/terraform-aws-acm.git?ref=8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","registry","terraform","8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/acm.tf",15,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/acm.tf#L15"
"git::https://github.com/terraform-aws-modules/terraform-aws-acm.git?ref=8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","registry","terraform","8d0b22f1f242a1b36e29b8cb38aaeac9b887500d","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/acm.tf",33,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/acm.tf#L33"
"git::https://github.com/terraform-aws-modules/terraform-aws-alb.git?ref=3e9c6cbaf4c1d858c3bbee6f086f0c8ef17522ab","registry","terraform","3e9c6cbaf4c1d858c3bbee6f086f0c8ef17522ab","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/alb.tf",2,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/alb.tf#L2"
"git::https://github.com/terraform-aws-modules/terraform-aws-alb.git?ref=3e9c6cbaf4c1d858c3bbee6f086f0c8ef17522ab","registry","terraform","3e9c6cbaf4c1d858c3bbee6f086f0c8ef17522ab","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/alb.tf",92,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/alb.tf#L92"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/cognito_user.tf",150,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/cognito_user.tf#L150"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/cognito_user.tf",159,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/cognito_user.tf#L159"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/cognito_user.tf",169,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/cognito_user.tf#L169"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/cognito_user.tf",179,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/cognito_user.tf#L179"
"git::github.com/terraform-aws-modules/terraform-aws-dynamodb-table.git?ref=715399dbe24f6443820bf5de80f6100b35d56355","registry","terraform","715399dbe24f6443820bf5de80f6100b35d56355","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/dynamodb.tf",1,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/dynamodb.tf#L1"
"git::github.com/terraform-aws-modules/terraform-aws-dynamodb-table.git?ref=715399dbe24f6443820bf5de80f6100b35d56355","registry","terraform","715399dbe24f6443820bf5de80f6100b35d56355","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/dynamodb.tf",52,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/dynamodb.tf#L52"
"git::github.com/terraform-aws-modules/terraform-aws-dynamodb-table.git?ref=715399dbe24f6443820bf5de80f6100b35d56355","registry","terraform","715399dbe24f6443820bf5de80f6100b35d56355","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/dynamodb.tf",91,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/dynamodb.tf#L91"
"git::https://github.com/terraform-aws-modules/terraform-aws-ecr.git?ref=9f4b587846551110b0db199ea5599f016570fefe","registry","terraform","9f4b587846551110b0db199ea5599f016570fefe","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecr.tf",15,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecr.tf#L15"
"git::https://github.com/terraform-aws-modules/terraform-aws-cloudwatch.git//modules/log-group?ref=bf969da953bdbea229392255d2b36e7b720e917e","registry","terraform","bf969da953bdbea229392255d2b36e7b720e917e","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",2,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L2"
"git::https://github.com/terraform-aws-modules/terraform-aws-ecs.git//modules/cluster?ref=8b97783def49997d18a6fcb00dc21ce1edc0f538","registry","terraform","8b97783def49997d18a6fcb00dc21ce1edc0f538","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",9,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L9"
"git::https://github.com/terraform-aws-modules/terraform-aws-ecs.git//modules/service?ref=8b97783def49997d18a6fcb00dc21ce1edc0f538","registry","terraform","8b97783def49997d18a6fcb00dc21ce1edc0f538","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",54,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L54"
"git::https://github.com/terraform-aws-modules/terraform-aws-ecs.git//modules/service?ref=8b97783def49997d18a6fcb00dc21ce1edc0f538","registry","terraform","8b97783def49997d18a6fcb00dc21ce1edc0f538","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",153,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L153"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",237,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L237"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",251,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L251"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",265,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L265"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",278,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L278"
"git::https://github.com/terraform-aws-modules/terraform-aws-ssm-parameter.git?ref=77d2c139784197febbc8f8e18a33d23eb4736879","registry","terraform","77d2c139784197febbc8f8e18a33d23eb4736879","pagopa/developer-portal","apps/infrastructure/src/modules/chatbot/ecs.tf",288,"https://github.com/pagopa/developer-portal/blob/main/apps/infrastructure/src/modules/chatbot/ecs.tf#L288"
