created_at,repository_full_name,conclusion,updated_at,status,id,workflow_id
2025-11-10T08:59:18Z,pagopa/dx,success,2025-11-10T09:01:05Z,completed,19226156420,154763854
2025-11-10T16:42:10Z,pagopa/dx,success,2025-11-10T16:42:55Z,completed,19238979178,155995692
2025-11-10T09:07:35Z,pagopa/dx,success,2025-11-10T09:09:03Z,completed,19226373097,99857722
2025-11-10T10:51:41Z,pagopa/dx,success,2025-11-10T10:52:26Z,completed,19229122319,154763856
2025-11-10T15:06:24Z,pagopa/dx,success,2025-11-10T15:07:52Z,completed,19236137303,99857722
2025-11-09T08:24:38Z,pagopa/dx,failure,2025-11-09T08:25:58Z,completed,19205788578,155995689
2025-11-10T16:10:42Z,pagopa/dx,success,2025-11-10T16:11:40Z,completed,19238081635,154763856
2025-11-11T11:17:53Z,pagopa/dx,success,2025-11-11T11:20:29Z,completed,19263907179,188445133
2025-11-10T13:56:20Z,pagopa/dx,success,2025-11-10T13:57:15Z,completed,19234055069,154763856
2025-11-10T15:21:28Z,pagopa/dx,success,2025-11-10T15:22:12Z,completed,19236592551,154763856
2025-11-11T11:14:59Z,pagopa/dx,success,2025-11-11T11:16:32Z,completed,19263834562,99857722
2025-11-10T09:06:56Z,pagopa/dx,success,2025-11-10T09:09:53Z,completed,19226357640,188445133
2025-11-10T13:30:23Z,pagopa/dx,success,2025-11-10T13:31:48Z,completed,19233299128,154763856
2025-11-10T14:20:09Z,pagopa/dx,success,2025-11-10T14:21:32Z,completed,19234761688,99857722
2025-11-10T16:10:41Z,pagopa/dx,success,2025-11-10T16:12:04Z,completed,19238080713,99857722
2025-11-10T08:59:15Z,pagopa/dx,success,2025-11-10T09:00:51Z,completed,19226155163,99857722
2025-11-10T09:07:37Z,pagopa/dx,skipped,2025-11-10T09:07:45Z,completed,19226374058,154763854
2025-11-11T11:17:54Z,pagopa/dx,success,2025-11-11T11:20:15Z,completed,19263907310,155995692
2025-11-09T01:40:13Z,pagopa/dx,success,2025-11-09T01:40:24Z,completed,19201535307,155995688
2025-11-10T13:56:16Z,pagopa/dx,success,2025-11-10T13:57:41Z,completed,19234053491,99857722
2025-11-11T11:14:20Z,pagopa/dx,success,2025-11-11T11:15:01Z,completed,19263819011,155995692
2025-11-10T16:06:10Z,pagopa/dx,success,2025-11-10T16:07:06Z,completed,19237942328,154763856
2025-11-10T08:31:01Z,pagopa/dx,failure,2025-11-10T08:32:30Z,completed,19225447627,155995689
2025-11-10T10:51:39Z,pagopa/dx,success,2025-11-10T10:53:01Z,completed,19229121769,99857722
2025-11-11T09:33:45Z,pagopa/dx,success,2025-11-11T09:35:13Z,completed,19261278006,99857722
2025-11-10T09:06:56Z,pagopa/dx,success,2025-11-10T09:07:37Z,completed,19226357576,155995692
2025-11-10T13:47:49Z,pagopa/dx,success,2025-11-10T13:48:43Z,completed,19233797082,154763856
2025-11-10T15:03:38Z,pagopa/dx,success,2025-11-10T15:04:39Z,completed,19236047427,154763856
2025-11-10T12:39:25Z,pagopa/dx,success,2025-11-10T12:40:45Z,completed,19231920624,99857722
2025-11-08T21:43:26Z,pagopa/dx,success,2025-11-08T21:44:57Z,completed,19199018657,99857722
2025-11-10T03:47:56Z,pagopa/dx,<nil>,2025-11-10T03:47:58Z,waiting,19219973529,204814915
2025-11-10T13:47:46Z,pagopa/dx,success,2025-11-10T13:49:20Z,completed,19233795613,99857722
2025-11-11T11:17:54Z,pagopa/dx,success,2025-11-11T11:18:34Z,completed,19263907259,155995690
2025-11-11T11:17:53Z,pagopa/dx,success,2025-11-11T11:19:18Z,completed,19263906909,99857722
2025-11-10T15:36:36Z,pagopa/dx,success,2025-11-10T15:38:15Z,completed,19237040656,99857722
2025-11-07T16:28:21Z,pagopa/dx,success,2025-11-07T16:29:12Z,completed,19174587627,154763856
2025-11-10T10:49:33Z,pagopa/dx,success,2025-11-10T10:50:14Z,completed,19229067251,154763856
2025-11-07T16:13:05Z,pagopa/dx,success,2025-11-07T16:14:06Z,completed,19174172387,154763856
2025-11-10T12:38:47Z,pagopa/dx,success,2025-11-10T13:04:45Z,completed,19231903918,188445133
2025-11-07T16:28:20Z,pagopa/dx,success,2025-11-07T16:30:00Z,completed,19174586954,99857722
2025-11-11T09:31:20Z,pagopa/dx,success,2025-11-11T09:32:04Z,completed,19261216674,154763856
2025-11-10T16:06:08Z,pagopa/dx,success,2025-11-10T16:07:53Z,completed,19237941474,99857722
2025-11-11T11:14:20Z,pagopa/dx,success,2025-11-11T11:15:01Z,completed,19263818980,155995690
