module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/aws-core-values-exporter/aws","registry","terraform","~> 0.0","pagopa/dx","infra/bootstrapper/_modules/aws/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/aws/main.tf#L1"
"pagopa-dx/aws-github-environment-bootstrap/aws","registry","terraform","~> 0.0","pagopa/dx","infra/bootstrapper/_modules/aws/main.tf",8,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/aws/main.tf#L8"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/dx","infra/bootstrapper/_modules/azure/iam.tf",8,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/azure/iam.tf#L8"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/dx","infra/bootstrapper/_modules/azure/iam.tf",27,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/azure/iam.tf#L27"
"pagopa-dx/azure-core-values-exporter/azurerm","registry","terraform","~> 0.0","pagopa/dx","infra/bootstrapper/_modules/azure/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/azure/main.tf#L1"
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/dx","infra/bootstrapper/_modules/azure/main.tf",8,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/_modules/azure/main.tf#L8"
"../_modules/azure","local","terraform","","pagopa/dx","infra/bootstrapper/dev/dev.tf",1,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/dev/dev.tf#L1"
"../_modules/aws","local","terraform","","pagopa/dx","infra/bootstrapper/dev/dev.tf",26,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/dev/dev.tf#L26"
"../_modules/azure","local","terraform","","pagopa/dx","infra/bootstrapper/prod/prod.tf",1,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/prod/prod.tf#L1"
"../_modules/aws","local","terraform","","pagopa/dx","infra/bootstrapper/prod/prod.tf",21,"https://github.com/pagopa/dx/blob/main/infra/bootstrapper/prod/prod.tf#L21"
"pagopa-dx/azure-core-infra/azurerm","registry","terraform","~> 2.0","pagopa/dx","infra/core/dev/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/core/dev/main.tf#L1"
"pagopa-dx/aws-core-infra/aws","registry","terraform","~> 0.0","pagopa/dx","infra/core/dev/main.tf",16,"https://github.com/pagopa/dx/blob/main/infra/core/dev/main.tf#L16"
"pagopa-dx/azure-core-infra/azurerm","registry","terraform","~> 2.0","pagopa/dx","infra/core/prod/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/core/prod/main.tf#L1"
"pagopa-dx/aws-core-infra/aws","registry","terraform","~> 0.0","pagopa/dx","infra/core/prod/main.tf",16,"https://github.com/pagopa/dx/blob/main/infra/core/prod/main.tf#L16"
"pagopa-dx/azure-core-infra/azurerm","registry","terraform","~> 2.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/development/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/development/main.tf#L1"
"pagopa-dx/aws-core-infra/aws","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/development/main.tf",17,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/development/main.tf#L17"
"pagopa-dx/aws-azure-vpn/aws","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/development/main.tf",28,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/development/main.tf#L28"
"pagopa-dx/azure-core-infra/azurerm","registry","terraform","~> 2.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/high_availability/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/high_availability/main.tf#L1"
"pagopa-dx/aws-core-infra/aws","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/high_availability/main.tf",17,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/high_availability/main.tf#L17"
"pagopa-dx/aws-azure-vpn/aws","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_azure_vpn/examples/high_availability/main.tf",28,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_azure_vpn/examples/high_availability/main.tf#L28"
"../../","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/examples/basic/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/examples/basic/main.tf#L1"
"../../","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/examples/complete/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/examples/complete/main.tf#L1"
"./_modules/networking","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/main.tf",11,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/main.tf#L11"
"./_modules/nat_gateway","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/main.tf",29,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/main.tf#L29"
"./_modules/routing","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/main.tf",45,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/main.tf#L45"
"./_modules/vpc_endpoints","local","terraform","","pagopa/dx","infra/modules/aws_core_infra/main.tf",65,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_core_infra/main.tf#L65"
"pagopa-dx/github-selfhosted-runner-on-codebuild/aws","registry","terraform","~> 1.0","pagopa/dx","infra/modules/aws_github_environment_bootstrap/codebuild_runner.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_github_environment_bootstrap/codebuild_runner.tf#L1"
"pagopa-dx/azure-core-values-exporter/azurerm","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_github_environment_bootstrap/examples/complete/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_github_environment_bootstrap/examples/complete/main.tf#L1"
"pagopa-dx/aws-github-environment-bootstrap/aws","registry","terraform","~> 0.0","pagopa/dx","infra/modules/aws_github_environment_bootstrap/examples/complete/main.tf",8,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_github_environment_bootstrap/examples/complete/main.tf#L8"
"../../","local","terraform","","pagopa/dx","infra/modules/aws_open_next/examples/basic/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_open_next/examples/basic/main.tf#L1"
"./modules/assets","local","terraform","","pagopa/dx","infra/modules/aws_open_next/main.tf",1,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_open_next/main.tf#L1"
"./modules/common","local","terraform","","pagopa/dx","infra/modules/aws_open_next/main.tf",8,"https://github.com/pagopa/dx/blob/main/infra/modules/aws_open_next/main.tf#L8"
