repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/interop-be-monorepo,Refactor using EffectTS,3,,2023-06-30T14:21:39Z,2023-07-31T13:53:59Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",463,20
pagopa/interop-be-monorepo,Implement update and delete request,2,REVIEW_REQUIRED,2023-06-30T12:51:28Z,2023-07-03T09:17:30Z,2023-07-03T09:17:29Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/32327779?u=d5f6f561fae98127b13451f3f292b683be6b957f\u0026v=4"",""login"":""MalpenZibo"",""url"":""https://github.com/MalpenZibo""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/32327779?u=d5f6f561fae98127b13451f3f292b683be6b957f\u0026v=4"",""login"":""MalpenZibo"",""url"":""https://github.com/MalpenZibo""}",162,5
pagopa/interop-be-monorepo,Normalize style across codebase,4,REVIEW_REQUIRED,2023-06-30T14:54:40Z,2023-06-30T15:52:00Z,2023-06-30T15:52:00Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",53,2
pagopa/interop-be-monorepo,Add missing build dependency in start,18,REVIEW_REQUIRED,2023-07-13T13:51:41Z,2023-07-13T13:59:54Z,2023-07-13T13:59:54Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",1,1
pagopa/interop-be-monorepo,Repository integration,1,REVIEW_REQUIRED,2023-06-29T10:06:09Z,2023-06-29T15:13:00Z,2023-06-29T15:13:00Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}",75,11
pagopa/interop-be-monorepo,Authorization,5,REVIEW_REQUIRED,2023-07-03T11:36:06Z,2023-07-05T10:02:42Z,2023-07-05T10:02:42Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}",235,19
pagopa/interop-be-monorepo,Make the repo a monorepo,11,REVIEW_REQUIRED,2023-07-12T09:07:50Z,2023-07-12T15:22:42Z,2023-07-12T15:22:42Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",304,4
pagopa/interop-be-monorepo,Add complete API specs and model generation,7,REVIEW_REQUIRED,2023-07-04T13:55:32Z,2023-07-04T14:06:39Z,2023-07-04T14:06:39Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/5895397?u=3c7e28239eadef636c78eaeae23d8b3a609bf670\u0026v=4"",""login"":""Viktor-K"",""url"":""https://github.com/Viktor-K""}",1480,1
pagopa/interop-be-monorepo,Bring event-consumer in the monorepo,14,REVIEW_REQUIRED,2023-07-12T16:29:42Z,2023-07-13T08:46:00Z,2023-07-13T08:46:00Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",3351,1
pagopa/interop-be-monorepo,Add GitHub Actions on PR and main,6,REVIEW_REQUIRED,2023-07-03T17:22:21Z,2023-07-03T17:29:22Z,2023-07-03T17:29:21Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/691940?u=cc41b494c40cff0015df21d897639d7d176bb9c6\u0026v=4"",""login"":""gabro"",""url"":""https://github.com/gabro""}",37,0
