id,name,repository_full_name,pipeline
132233362,Deploy (io-lollipop),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure"":{""name"":""Deploy to Azure Function App"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@86ef40ee9f04895853c191b9d2ea894dade1a972"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-itn-auth-lollipop-rg-02"",""workspace_name"":""io-lollipop"",""function_app_name"":""io-p-itn-auth-lollipop-func-02"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-lollipop)"",""on"":{""workflow_dispatch"":null}}}"
126688506,Deploy (io-fast-login),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure"":{""name"":""Deploy to Azure Function App"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@86ef40ee9f04895853c191b9d2ea894dade1a972"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-itn-auth-lv-rg-01"",""workspace_name"":""io-fast-login"",""function_app_name"":""io-p-itn-auth-lv-func-02"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-fast-login)"",""on"":{""workflow_dispatch"":null}}}"
185571269,Deploy (io-session-manager-2),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure_2"":{""name"":""Deploy to Azure App Service SM2"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@a08a2c9d95678902fd74382804693d33c8169e55"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-weu-session-manager-rg-01"",""workspace_name"":""io-session-manager"",""web_app_name"":""io-p-weu-session-manager-app-04"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-session-manager-2)"",""on"":{""workflow_dispatch"":null}}}"
139177245,Deploy (io-public),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure"":{""name"":""Deploy to Azure Function App"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@86ef40ee9f04895853c191b9d2ea894dade1a972"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-itn-auth-public-rg-01"",""workspace_name"":""io-public"",""function_app_name"":""io-p-itn-auth-public-func-02"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-public)"",""on"":{""workflow_dispatch"":null}}}"
139542190,Opex Dashboard Public,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}""},""jobs"":{""filter"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""pull-requests"":""read""},""outputs"":{""apply-action"":""${{ steps.filter.outputs.apply-action }}"",""public-external"":""${{ steps.filter.outputs.public-external }}""},""steps"":[{""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":20}},{""uses"":""dorny/paths-filter@v3.0.2"",""id"":""filter"",""with"":{""filters"":""./.github/opex_filters.yaml""}}]},""apply-public-external"":{""needs"":""filter"",""if"":""${{ needs.filter.outputs.public-external == 'true' || needs.filter.outputs.apply-action == 'true' }}"",""uses"":""./.github/workflows/call_opex_api.yml"",""name"":""(Public - External) Apply changes to Production"",""secrets"":""inherit"",""with"":{""api_name"":""external"",""app_name"":""io-public""}}},""name"":""Opex Dashboard Public"",""on"":{""push"":{""branches"":[""main""],""paths"":["".github/workflows/opex_api_public.yaml"","".github/workflows/call_opex_api.yml"",""apps/io-public/api/*.yaml"",""apps/io-public/.opex/**""]},""workflow_dispatch"":null}}}"
126545656,Drift Detection,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""drift_detection"":{""uses"":""pagopa/dx/.github/workflows/infra_drift_detection.yml@3585afcf2d306da91d68cabfd0344a82e1ee10f3"",""name"":""Drift Detection"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources/"",""override_github_environment"":""infra-prod"",""use_private_agent"":true}}},""name"":""Drift Detection"",""on"":{""workflow_dispatch"":null,""schedule"":[{""cron"":""00 08 * * *""}]}}}"
137164718,PR - Opex Dashboard Web Profile,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}-${{ github.event.pull_request.number || github.ref }}"",""cancel-in-progress"":false},""jobs"":{""filter"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""pull-requests"":""read""},""outputs"":{""plan-action"":""${{ steps.filter.outputs.plan-action }}"",""web-profile-external"":""${{ steps.filter.outputs.web-profile-external }}""},""steps"":[{""uses"":""actions/checkout@v4""},{""uses"":""dorny/paths-filter@v3.0.2"",""id"":""filter"",""with"":{""filters"":""./.github/opex_filters.yaml""}}]},""plan-web-profile-external"":{""needs"":""filter"",""if"":""${{ needs.filter.outputs.web-profile-external == 'true' || needs.filter.outputs.plan-action == 'true' }}"",""uses"":""./.github/workflows/call_pr_opex_api.yml"",""name"":""(Web Profile - External) Plan changes against Production"",""secrets"":""inherit"",""with"":{""api_name"":""external"",""app_name"":""io-web-profile""}}},""name"":""PR - Opex Dashboard Web Profile"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened""],""branches"":[""main""],""paths"":["".github/workflows/pr_opex_api_web_profile.yaml"","".github/workflows/call_pr_opex_api.yml"",""apps/io-web-profile/api/*.yaml"",""apps/io-web-profile/.opex/**""]},""workflow_dispatch"":null}}}"
101938749,.github/workflows/call_pr_opex_api.yml,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""plan"":{""name"":""Terraform Plan"",""runs-on"":""ubuntu-22.04"",""environment"":""opex-prod-ci"",""env"":{""API_NAME"":""${{ inputs.api_name }}"",""APP_NAME"":""${{ inputs.app_name }}"",""DOCKER_IMAGE_TAG"":""sha256:eb3354b7e5c07e9557182828489fc0bf8092dd80886035429268d019250f5cd3"",""TEMPLATE_DIR"":""azure-dashboard"",""ARM_USE_OIDC"":true,""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""},""permissions"":{""id-token"":""write"",""pull-requests"":""write""},""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@1f9a0c22da41e6ebfa534300ef656657ea2c6707"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""name"":""Azure Login"",""id"":""az_login"",""uses"":""azure/login@92a5484dfaf04ca78a94597f4f19fea633851fa2"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Run opex dashbaord"",""shell"":""bash"",""id"":""opex_docker"",""run"":""docker run \\\n  --workdir /github/workspace --rm \\\n  -v $(pwd):\""/github/workspace\"" \\\n  ghcr.io/pagopa/opex-dashboard-azure-action@${{ env.DOCKER_IMAGE_TAG }} ${{ env.TEMPLATE_DIR }} apps/${{ env.APP_NAME }}/.opex/${{ env.API_NAME }}/env/prod/config.yaml\n""},{""name"":""Copy Environments"",""shell"":""bash"",""id"":""opex_copy"",""run"":""cp -R apps/${{ env.APP_NAME }}/.opex/${{ env.API_NAME }}/env ./${{ env.TEMPLATE_DIR }}\n""},{""name"":""Get terraform version from .terraform-version file"",""id"":""get-terraform-version"",""uses"":""pagopa/dx/.github/actions/get-terraform-version@db1f984df813e12cab4dc82845eb245ea588970f""},{""name"":""Setup Terraform"",""id"":""terraform_setup"",""uses"":""hashicorp/setup-terraform@a1502cd9e758c50496cc9ac5308c4843bcd56d36"",""with"":{""terraform_version"":""${{ steps.get-terraform-version.outputs.terraform_version }}"",""terraform_wrapper"":true}},{""name"":""Terraform Plan"",""shell"":""bash"",""id"":""terraform_plan"",""working-directory"":""${{ env.TEMPLATE_DIR }}"",""run"":""bash ./terraform.sh plan prod -no-color | tee plan_output.txt\nOUTPUT=\""$(cat plan_output.txt | grep -v \""Refreshing state\"" | tail -c 60000)\""\necho \""$OUTPUT\"" \u003e plan_output_multiline.txt\n""},{""name"":""Post Plan on PR"",""id"":""terraform_plan_comment"",""uses"":""actions/github-script@v6"",""if"":""github.event_name == 'pull_request'"",""with"":{""script"":""const fs = require('fs');\nconst output = fs.readFileSync('${{ env.TEMPLATE_DIR }}/plan_output_multiline.txt', 'utf8');\nconst { data: comments } = await github.rest.issues.listComments({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  issue_number: context.issue.number\n})\nconst botComment = comments.find(comment =\u003e {\n  return comment.user.type === 'Bot' \u0026\u0026 comment.body.includes('Terraform Plan')\n})\nconst commentBody = `#### Terraform Plan 📖\n\u003cdetails\u003e\n\u003csummary\u003eTerraform Plan for '${{ env.API_NAME }}'\u003c/summary\u003e\n\n\\`\\`\\`hcl\n${output}\n\\`\\`\\`\n\u003c/details\u003e\n`;\nif (botComment) {\n  await github.rest.issues.updateComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    body: commentBody,\n    comment_id: botComment.id\n  })\n} else {\n  await github.rest.issues.createComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    body: commentBody,\n    issue_number: context.issue.number\n  })\n}\n""}}]}},""on"":{""workflow_call"":{""inputs"":{""api_name"":{""type"":""string"",""required"":true},""app_name"":{""type"":""string"",""required"":true}}}}}}"
95069096,Deploy (io-session-manager-1),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure_1"":{""name"":""Deploy to Azure App Service SM1"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@a08a2c9d95678902fd74382804693d33c8169e55"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-weu-session-manager-rg-01"",""workspace_name"":""io-session-manager"",""web_app_name"":""io-p-weu-session-manager-app-03"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-session-manager-1)"",""on"":{""workflow_dispatch"":null}}}"
103501541,CodeQL,pagopa/io-auth-n-identity-domain,<nil>
94347493,Lint and Link PR title,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""lint"":{""name"":""Validate PR title And link Jira Issue"",""runs-on"":""ubuntu-22.04"",""steps"":[{""id"":""lint"",""uses"":""pagopa/link-jira-issue-action@37d5e40820eddd388864905bee9c45ef50cc7453""}]}},""name"":""Lint and Link PR title"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""reopened"",""synchronize""]}}}}"
150220609,Deploy (io-profile),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure"":{""name"":""Deploy to Azure Function App"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@86ef40ee9f04895853c191b9d2ea894dade1a972"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-itn-auth-main-rg-01"",""workspace_name"":""io-profile"",""function_app_name"":""io-p-itn-auth-profile-func-02"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-profile)"",""on"":{""workflow_dispatch"":null}}}"
137218300,Opex Dashboard Web Profile,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}""},""jobs"":{""filter"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""pull-requests"":""read""},""outputs"":{""apply-action"":""${{ steps.filter.outputs.apply-action }}"",""web-profile-external"":""${{ steps.filter.outputs.web-profile-external }}""},""steps"":[{""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":20}},{""uses"":""dorny/paths-filter@v3.0.2"",""id"":""filter"",""with"":{""filters"":""./.github/opex_filters.yaml""}}]},""apply-web-profile-external"":{""needs"":""filter"",""if"":""${{ needs.filter.outputs.web-profile-external == 'true' || needs.filter.outputs.apply-action == 'true' }}"",""uses"":""./.github/workflows/call_opex_api.yml"",""name"":""(Web Profile - External) Apply changes to Production"",""secrets"":""inherit"",""with"":{""api_name"":""external"",""app_name"":""io-web-profile""}}},""name"":""Opex Dashboard Web Profile"",""on"":{""push"":{""branches"":[""main""],""paths"":[""apps/io-web-profile/api/*.yaml"","".github/workflows/opex_api_web_profile.yaml"","".github/workflows/call_opex_api.yml"",""apps/io-web-profile/.opex/**""]},""workflow_dispatch"":null}}}"
158709076,Deploy (io-session-manager-internal),pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_to_azure"":{""name"":""Deploy to Azure Function App"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@86ef40ee9f04895853c191b9d2ea894dade1a972"",""with"":{""environment"":""app-prod"",""resource_group_name"":""io-p-itn-auth-main-rg-01"",""workspace_name"":""io-session-manager-internal"",""function_app_name"":""io-p-weu-auth-sm-int-func-01"",""use_staging_slot"":true,""use_private_agent"":true},""secrets"":""inherit""}},""name"":""Deploy (io-session-manager-internal)"",""on"":{""workflow_dispatch"":null}}}"
153353394,Opex Dashboard Profile,pagopa/io-auth-n-identity-domain,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}""},""jobs"":{""filter"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""pull-requests"":""read""},""outputs"":{""apply-action"":""${{ steps.filter.outputs.apply-action }}"",""profile-support"":""${{ steps.filter.outputs.profile-support }}""},""steps"":[{""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":20}},{""uses"":""dorny/paths-filter@v3.0.2"",""id"":""filter"",""with"":{""filters"":""./.github/opex_filters.yaml""}}]},""apply-profile-support"":{""needs"":""filter"",""if"":""${{ needs.filter.outputs.profile-support == 'true' || needs.filter.outputs.apply-action == 'true' }}"",""uses"":""./.github/workflows/call_opex_api.yml"",""name"":""(Profile - Support) Apply changes to Production"",""secrets"":""inherit"",""with"":{""api_name"":""support"",""app_name"":""io-profile""}}},""name"":""Opex Dashboard Profile"",""on"":{""push"":{""branches"":[""main""],""paths"":["".github/workflows/opex_api_profile.yaml"","".github/workflows/call_opex_api.yml"",""apps/io-profile/api/*.yaml"",""apps/io-profile/.opex/**""]},""workflow_dispatch"":null}}}"
