repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-auth-n-identity-domain","[#IOPID-1764]  Add session-manager deploy pipeline","gquadrati",2024-04-19T15:19:48Z,2024-04-23T10:50:01Z,4,3.81,""
"pagopa/io-auth-n-identity-domain","[EC-272] Update GitHub self-hosted runner config","Krusty93",2024-04-23T15:06:25Z,2024-04-24T06:48:49Z,8,0.65,"krusty93"
"pagopa/io-auth-n-identity-domain","[EC-274] Update variable values on GitHub repository","Krusty93",2024-04-29T09:05:08Z,2024-04-29T09:05:40Z,12,0.00,"krusty93"
"pagopa/io-auth-n-identity-domain","[EC-276] Update app service variable name","Krusty93",2024-04-30T15:25:05Z,2024-05-02T09:07:03Z,15,1.74,"krusty93"
"pagopa/io-auth-n-identity-domain","[EC-276] Setup Managed Identities for workflows","Krusty93",2024-05-07T10:41:34Z,2024-05-07T11:03:54Z,20,0.02,"krusty93"
"pagopa/io-auth-n-identity-domain","fix: Update `ARM_CLIENT_ID` secret with new value","gquadrati",2024-05-09T07:49:33Z,2024-05-09T08:01:18Z,25,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-1818] Migrate login endpoint","BurnedMarshal",2024-05-09T13:32:42Z,2024-05-15T09:52:11Z,26,5.85,""
"pagopa/io-auth-n-identity-domain","[EC-296] Update CI/CD infra paths and templates","Krusty93",2024-05-20T08:44:57Z,2024-05-20T15:15:52Z,38,0.27,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-1767] add secrets needed for opex dashboard","arcogabbo",2024-06-05T14:17:44Z,2024-06-06T09:50:59Z,60,0.81,""
"pagopa/io-auth-n-identity-domain","[#IOPID-1905] Update session-manager variables in cd environment","gquadrati",2024-06-12T09:32:18Z,2024-06-12T09:49:58Z,69,0.01,""
"pagopa/io-auth-n-identity-domain","[CES-124] Update CD workflow with 2 session manager instances","Krusty93",2024-09-27T08:03:53Z,2024-10-02T15:21:02Z,106,5.30,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2364, #IOPID-2412] Add new EventHub for domain events","gquadrati",2024-10-18T11:58:14Z,2024-10-21T09:04:05Z,110,2.88,""
"pagopa/io-auth-n-identity-domain","[CES-206] Move identities to ItalyNorth","Krusty93",2024-10-18T15:19:53Z,2024-10-24T09:03:09Z,111,5.74,"krusty93"
"pagopa/io-auth-n-identity-domain","fix: missing metric causes apply fail","arcogabbo",2024-10-21T09:30:05Z,2024-10-21T09:30:45Z,113,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2452] introduce CD pipeline for functions-fast-login","arcogabbo",2024-10-30T12:13:56Z,2024-11-07T10:28:53Z,115,7.93,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2451] Create fn-lv as domain resource","gquadrati",2024-11-05T11:27:40Z,2024-11-06T15:59:28Z,117,1.19,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2451] Add action group","gquadrati",2024-11-06T16:27:38Z,2024-11-06T16:45:15Z,118,0.01,""
"pagopa/io-auth-n-identity-domain","[CES-483] - Add Role Based Access Control Administrator role to cd identity","christian-calabrese",2024-11-07T08:33:57Z,2024-11-07T08:50:56Z,119,0.01,"christian-calabrese"
"pagopa/io-auth-n-identity-domain","[#IOPID-2451] fix: add application_insights_connection_string to fn-lv","gquadrati",2024-11-07T10:55:44Z,2024-11-07T11:01:38Z,120,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2451] fix: Use conn string instead of instrumentation key for fast-login","gquadrati",2024-11-07T13:50:46Z,2024-11-07T13:55:23Z,122,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2488] align fn-lv subnet with service_endpoint","arcogabbo",2024-11-08T14:13:19Z,2024-11-08T14:26:33Z,123,0.01,""
"pagopa/io-auth-n-identity-domain","[CES-68] Key vault secret change for ITN APIM for migration","mamu0",2024-11-19T09:07:09Z,2025-03-05T07:08:23Z,125,105.92,"mamu0"
"pagopa/io-auth-n-identity-domain","[#IOPID-1969] Migrate `io-web-profile` function into ITN region","BurnedMarshal",2024-11-20T11:29:46Z,2024-11-22T09:31:50Z,126,1.92,""
"pagopa/io-auth-n-identity-domain","Add rbac permissions to cd identity on webprof rg","christian-calabrese",2024-11-22T11:19:05Z,2024-11-22T11:20:49Z,127,0.00,"christian-calabrese"
"pagopa/io-auth-n-identity-domain","[#IOPID-2535] Remove duplicated autoscale shared AppServicePlan","BurnedMarshal",2024-11-27T09:53:13Z,2024-11-27T10:09:31Z,128,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2540] Import `ioweb-profile-backend` APIM api into monorepo","BurnedMarshal",2024-12-03T10:32:17Z,2024-12-09T12:57:51Z,129,6.10,""
"pagopa/io-auth-n-identity-domain","Add WEB service into subnet for webprof-func","BurnedMarshal",2024-12-04T11:31:43Z,2024-12-04T11:35:09Z,131,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2460] adding fn-lollipop iac","arcogabbo",2024-12-04T15:03:21Z,2024-12-06T16:25:22Z,132,2.06,""
"pagopa/io-auth-n-identity-domain","[IOPID-2460] Add roles to Managed Identity to new Resource Group","Krusty93",2024-12-09T11:16:10Z,2024-12-09T11:39:41Z,135,0.02,"krusty93"
"pagopa/io-auth-n-identity-domain","Fix io-lollipop configuration","BurnedMarshal",2024-12-09T17:08:47Z,2024-12-09T17:10:10Z,140,0.00,""
"pagopa/io-auth-n-identity-domain","drift detection pipeline fix","arcogabbo",2024-12-10T08:58:22Z,2024-12-11T08:17:39Z,141,0.97,""
"pagopa/io-auth-n-identity-domain","fix: drift on autoscale settings and ioweb_profile secrets","arcogabbo",2024-12-11T12:03:49Z,2024-12-11T12:11:35Z,142,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2550] Enable HandlePubkeyRevoke queue trigger","BurnedMarshal",2024-12-16T10:25:50Z,2024-12-16T11:49:14Z,144,0.06,""
"pagopa/io-auth-n-identity-domain","[CES-617] switch fn-profile url in ioweb-profile-fn","gquadrati",2024-12-18T10:24:22Z,2024-12-18T11:43:39Z,147,0.06,""
"pagopa/io-auth-n-identity-domain","Fix Canary Deployment Pipeline","BurnedMarshal",2025-01-13T11:38:49Z,2025-01-20T16:35:46Z,160,7.21,""
"pagopa/io-auth-n-identity-domain","[IOPID-2464] Migrate fn-public IaC","gquadrati",2025-01-16T11:17:34Z,2025-01-20T09:34:57Z,161,3.93,""
"pagopa/io-auth-n-identity-domain","[IOPID-2610] Migrate public api APIM policies to monorepo","gquadrati",2025-01-16T15:39:29Z,2025-01-16T16:54:15Z,162,0.05,""
"pagopa/io-auth-n-identity-domain","[IOPID-2464] Import shared plan","gquadrati",2025-01-17T08:32:44Z,2025-01-17T10:22:13Z,163,0.08,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2604] Expose GetProfile API through APIM for Operation","giamma1295",2025-01-17T17:39:35Z,2025-01-22T16:36:34Z,165,4.96,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2462] Fix fn-public name","gquadrati",2025-01-20T09:47:53Z,2025-01-20T09:59:46Z,167,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2464] fn-public: use already-existing shared-snet","arcogabbo",2025-01-20T15:12:37Z,2025-01-20T15:51:51Z,169,0.03,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2464] add managed identity permission for fn-public rg","arcogabbo",2025-01-20T16:08:12Z,2025-01-20T16:33:26Z,170,0.02,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2546] Switch traffic to new fn-public","gquadrati",2025-01-21T08:21:14Z,2025-01-21T14:02:54Z,172,0.24,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2462] fix: wrong appinsights config","arcogabbo",2025-01-21T10:08:54Z,2025-01-21T10:12:02Z,175,0.00,""
"pagopa/io-auth-n-identity-domain","Add roles to Infra CD Identity to access APIM secrets","Krusty93",2025-01-22T17:22:39Z,2025-01-27T10:58:48Z,178,4.73,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2638] Registry migration","salvatorelaiso",2025-01-30T10:21:15Z,2025-02-04T09:21:34Z,181,4.96,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2009] Expose sanitize email profile through APIM for operation","giamma1295",2025-01-31T13:56:18Z,2025-01-31T17:06:07Z,182,0.13,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2009] removed api-profile-operation-group-name cause is no longer used","giamma1295",2025-02-03T09:12:56Z,2025-02-03T14:43:46Z,183,0.23,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2676] Switch `ioapp.it` url to `account.ioapp.it` on magic link emails","gquadrati",2025-02-04T09:54:22Z,2025-02-07T10:10:01Z,184,3.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2682] import IO PUBLIC API product","arcogabbo",2025-02-05T16:13:33Z,2025-02-10T09:21:20Z,187,4.71,""
"pagopa/io-auth-n-identity-domain","[IOPID-2638] Upgrade pre-commit","Krusty93",2025-02-06T09:26:16Z,2025-02-07T08:17:08Z,189,0.95,"krusty93"
"pagopa/io-auth-n-identity-domain","[CES-586] IAM: replace io-p-adgroup-developers with io-p-adgroup-auth-admins/developers/externals","Krusty93",2025-02-07T10:13:22Z,2025-05-23T15:53:17Z,192,105.24,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2699] Add new function for async operations","gquadrati",2025-02-12T15:01:07Z,2025-02-17T13:10:43Z,194,4.92,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2699] grant required roles to identity for CD","arcogabbo",2025-02-17T13:26:03Z,2025-02-17T14:22:28Z,199,0.04,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2699] align env vars","arcogabbo",2025-02-17T15:10:54Z,2025-02-17T15:26:48Z,200,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2698] ExpiredSessionAdvisor QueueTrigger FN","giamma1295",2025-02-19T08:40:05Z,2025-02-21T13:23:10Z,201,2.20,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2739] Add `APPLICATION_INSIGHTS_CONNECTION_STRING` to `io-public`","salvatorelaiso",2025-02-19T08:49:15Z,2025-02-19T11:27:25Z,202,0.11,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2739] Remove `APPINSIGHTS_INSTRUMENTATIONKEY` from `app_settings`","salvatorelaiso",2025-02-19T09:00:08Z,2025-02-19T12:11:42Z,204,0.13,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2739] fix sampling percentage","salvatorelaiso",2025-02-19T12:28:03Z,2025-02-19T13:56:27Z,205,0.06,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2698] Add missing env var","giamma1295",2025-02-21T13:43:10Z,2025-02-21T14:26:45Z,207,0.03,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2754] Application Insights for `io-web-profile`","salvatorelaiso",2025-02-24T09:36:51Z,2025-02-24T09:52:42Z,211,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2767] Update EXPIRED_SESSION_CTA_URL env for `io-profile-async`","giamma1295",2025-02-24T09:51:58Z,2025-02-24T13:47:23Z,212,0.16,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2754] Fix infra variables","salvatorelaiso",2025-02-24T10:33:37Z,2025-02-24T10:38:16Z,214,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2752] Add `APPLICATIONINSIGHTS_CONNECTION_STRING` to `io-lollipop`","salvatorelaiso",2025-02-26T15:41:06Z,2025-03-03T10:02:59Z,217,4.77,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2752] Remove `APPINSIGHTS_INSTRUMENTATIONKEY` from `app_settings` of `io-lollipop`","salvatorelaiso",2025-02-27T13:41:19Z,2025-03-03T11:25:11Z,221,3.91,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2784] Introduce OnProfileUpdate cosmosDB trigger","arcogabbo",2025-02-28T15:50:58Z,2025-03-06T13:46:06Z,224,5.91,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2786] Move `MigrateServicePreferenceFromLegacy` function to `io-profile-async`","gquadrati",2025-02-28T18:18:57Z,2025-03-05T09:13:33Z,226,4.62,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2785] Move `StoreSpidLogs` to `io-profile-async`","gquadrati",2025-03-04T17:02:22Z,2025-03-07T10:56:53Z,230,2.75,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2793] Enable `MigrateServicePreferenceFromLegacy` ","gquadrati",2025-03-05T09:54:59Z,2025-03-05T10:07:40Z,232,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2811] Enable alert in case of failed service preferences migration","gquadrati",2025-03-05T11:07:35Z,2025-03-10T10:02:02Z,233,4.95,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2784] Enabled onprofileupdate trigger","arcogabbo",2025-03-06T14:25:39Z,2025-03-06T14:33:35Z,237,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2792] Enable `StoreSpidLogs`trigger","gquadrati",2025-03-07T11:38:41Z,2025-03-07T11:45:06Z,239,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2753] Application Insights configuration for `io-fast-login`","salvatorelaiso",2025-03-07T11:51:22Z,2025-03-10T09:52:19Z,240,2.92,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2753] Cleanup `io-fast-login` app settings from CosmosDB var","salvatorelaiso",2025-03-10T08:38:23Z,2025-03-10T11:05:55Z,241,0.10,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2811] fix: set scope to appinsights","gquadrati",2025-03-10T11:17:33Z,2025-03-10T11:22:55Z,243,0.00,""
"pagopa/io-auth-n-identity-domain","[CES-844] Remove APIM WEU references","Krusty93",2025-03-12T09:34:45Z,2025-03-12T09:54:11Z,244,0.01,"krusty93"
"pagopa/io-auth-n-identity-domain","[CES-846] Remove deprecated Terraform AppService resources","Krusty93",2025-03-12T11:41:29Z,2025-03-12T11:45:11Z,245,0.00,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2468] setting up io-profile IaC","giamma1295",2025-03-12T14:39:44Z,2025-03-17T11:14:29Z,247,4.86,""
"pagopa/io-auth-n-identity-domain","[CES-845] Add KV access policy to Function Async","Krusty93",2025-03-12T16:46:05Z,2025-03-12T16:50:35Z,248,0.00,"krusty93"
"pagopa/io-auth-n-identity-domain","[CES-845] Add access policies to common KV to give read access to func profile async","Krusty93",2025-03-12T17:29:28Z,2025-03-13T09:43:09Z,249,0.68,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2677] removed cors directive","arcogabbo",2025-03-13T09:08:50Z,2025-03-13T11:35:18Z,250,0.10,""
"pagopa/io-auth-n-identity-domain","[CES-802] Migrate to new terraform registry namespace","christian-calabrese",2025-03-20T11:26:40Z,2025-03-25T08:44:15Z,260,4.89,"christian-calabrese"
"pagopa/io-auth-n-identity-domain","[#IOPID-2616] Switch fn_profile to the one within monorepo on apim api operation and fn_profile_async","giamma1295",2025-03-24T09:55:14Z,2025-03-24T10:22:33Z,262,0.02,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2616] switch to new fn-profile on io-web-profile","gquadrati",2025-03-24T10:13:40Z,2025-03-24T10:40:22Z,263,0.02,""
"pagopa/io-auth-n-identity-domain","fn-lollipop: switch to itn apim subscription key","arcogabbo",2025-03-24T13:48:44Z,2025-03-25T08:11:10Z,266,0.77,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2712] Setup infra for Expired Session Advisor","giamma1295",2025-04-09T12:53:30Z,2025-04-09T13:13:18Z,278,0.01,""
"pagopa/io-auth-n-identity-domain","[IOPID-2605] Expose get profile through APIM","salvatorelaiso",2025-04-14T10:00:24Z,2025-04-16T14:29:07Z,279,2.19,""
"pagopa/io-auth-n-identity-domain","[IOPID-2213] Create new Session Manager Internal function","gquadrati",2025-04-24T10:31:54Z,2025-04-28T08:21:25Z,286,3.91,""
"pagopa/io-auth-n-identity-domain","fix: [#IOPID-2213] Set WEU vpn subnet","gquadrati",2025-04-28T09:15:38Z,2025-04-28T09:27:08Z,288,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2216] Introduce GetSession endpoint in sm-internal","arcogabbo",2025-04-29T08:51:13Z,2025-05-05T09:45:29Z,291,6.04,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2219] Auth lock endpoint","arcogabbo",2025-05-09T15:57:43Z,2025-05-13T09:14:49Z,295,3.72,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3036] added required variables","arcogabbo",2025-05-19T08:51:35Z,2025-05-27T09:42:39Z,309,8.04,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2911] add service bus topic, pub, sub and permissions","arcogabbo",2025-05-22T11:56:57Z,2025-05-27T11:06:05Z,310,4.96,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2223] Update internal client for `io-fast-login`","salvatorelaiso",2025-05-26T09:57:03Z,2025-05-27T13:43:55Z,312,1.16,""
"pagopa/io-auth-n-identity-domain","[CES-586] Add Slack Webhook URL","Krusty93",2025-05-26T10:55:02Z,2025-05-26T10:58:42Z,313,0.00,"krusty93"
"pagopa/io-auth-n-identity-domain","[#IOPID-2911] fix: use adgroup-admins","arcogabbo",2025-05-27T12:58:30Z,2025-05-27T13:05:24Z,317,0.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2223] Remove unused backendli connection configuration","salvatorelaiso",2025-05-28T08:51:15Z,2025-05-28T09:36:51Z,320,0.03,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3061] Switch to new pushnotif queue","gquadrati",2025-05-29T07:27:10Z,2025-05-29T08:14:27Z,321,0.03,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3075] Profile Async's Internal client update","salvatorelaiso",2025-05-29T10:07:14Z,2025-06-03T08:01:00Z,322,4.91,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3119] Enable session on io-session-notifications-sub","giamma1295",2025-06-03T07:46:45Z,2025-06-03T08:46:15Z,325,0.04,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3075] Cleanup IaC after `io-prof-async` internal client switch","salvatorelaiso",2025-06-03T08:54:43Z,2025-06-03T09:05:04Z,327,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3132] Update pre_commit_script","giamma1295",2025-06-04T15:35:47Z,2025-06-04T15:45:35Z,329,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2918] Expired Session Discoverer alerts","salvatorelaiso",2025-06-09T13:40:46Z,2025-06-17T08:32:48Z,333,7.79,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2915] Emit logout event on successful logout","salvatorelaiso",2025-06-11T14:43:49Z,2025-06-16T15:26:41Z,341,5.03,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2912] Add ServiceBusTrigger for auth-event handling","giamma1295",2025-06-11T15:22:31Z,2025-06-16T15:25:21Z,342,5.00,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2227] backendli data removal","arcogabbo",2025-06-12T12:50:22Z,2025-06-13T08:55:52Z,343,0.84,""
"pagopa/io-auth-n-identity-domain","Fix: ServiceBus Pub and Sub Permissions","giamma1295",2025-06-16T18:46:28Z,2025-06-17T07:13:07Z,346,0.52,""
"pagopa/io-auth-n-identity-domain","Fix: serviceBus configuration for sm-int and prof-as","giamma1295",2025-06-17T07:54:40Z,2025-06-17T08:01:54Z,347,0.01,""
"pagopa/io-auth-n-identity-domain","[#IOPID-3257, IOPID-3242] Switch appgw ref","arcogabbo",2025-07-01T15:04:35Z,2025-07-02T08:57:51Z,364,0.75,""
"pagopa/io-auth-n-identity-domain","[#IOPID-2210] SM platform apim integration","arcogabbo",2025-07-03T08:47:24Z,2025-07-10T08:50:11Z,366,7.00,""
