module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-auth-n-identity-domain","infra/bootstrapper/prod/iam.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/bootstrapper/prod/iam.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-auth-n-identity-domain","infra/bootstrapper/prod/iam.tf",22,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/bootstrapper/prod/iam.tf#L22"
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-auth-n-identity-domain","infra/bootstrapper/prod/main.tf",90,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/bootstrapper/prod/main.tf#L90"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/repository/main.tf",3,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/repository/main.tf#L3"
"pagopa-dx/azure-event-hub/azurerm","registry","terraform","~> 0.1.0","pagopa/io-auth-n-identity-domain","infra/resources/modules/eventhub/main.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/eventhub/main.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-auth-n-identity-domain","infra/resources/modules/iam/kv.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/iam/kv.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-auth-n-identity-domain","infra/resources/modules/iam/kv.tf",23,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/iam/kv.tf#L23"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/internal_api/io_profile_api.tf",18,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/internal_api/io_profile_api.tf#L18"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/internal_api/main.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/internal_api/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/io_public_api/main.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/io_public_api/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/io_public_api/main.tf",34,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/io_public_api/main.tf#L34"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","git","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/ioweb_profile_api/main.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/ioweb_profile_api/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/operation_api/io_profile_api.tf",62,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/operation_api/io_profile_api.tf#L62"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v7.40.3","registry","terraform","v7.40.3","pagopa/io-auth-n-identity-domain","infra/resources/modules/operation_api/main.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/operation_api/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v1","pagopa/io-auth-n-identity-domain","infra/resources/modules/platform_proxy_api/session_manager.tf",74,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/platform_proxy_api/session_manager.tf#L74"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v1","pagopa/io-auth-n-identity-domain","infra/resources/modules/platform_proxy_api/session_manager.tf",117,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/platform_proxy_api/session_manager.tf#L117"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v1","pagopa/io-auth-n-identity-domain","infra/resources/modules/platform_proxy_api/session_manager.tf",227,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/platform_proxy_api/session_manager.tf#L227"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v1","pagopa/io-auth-n-identity-domain","infra/resources/modules/platform_proxy_api/session_manager.tf",268,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/platform_proxy_api/session_manager.tf#L268"
"github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v7.40.3","registry","terraform","v1","pagopa/io-auth-n-identity-domain","infra/resources/modules/platform_proxy_api/session_manager.tf",309,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/platform_proxy_api/session_manager.tf#L309"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/resources/modules/storage_accounts/audit.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/storage_accounts/audit.tf#L1"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/resources/modules/storage_accounts/maintenance.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/storage_accounts/maintenance.tf#L1"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/resources/modules/storage_accounts/session.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/modules/storage_accounts/session.tf#L1"
"../modules/internal_api","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/api_internal.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/api_internal.tf#L1"
"../modules/ioweb_profile_api","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/api_ioweb_profile.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/api_ioweb_profile.tf#L1"
"../modules/operation_api","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/api_operation.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/api_operation.tf#L1"
"../modules/platform_proxy_api","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/api_platform_proxy.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/api_platform_proxy.tf#L1"
"../modules/io_public_api","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/api_public.tf",1,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/api_public.tf#L1"
"github.com/pagopa/io-infra//src/_modules/common_values?ref=main","registry","terraform","main","pagopa/io-auth-n-identity-domain","infra/resources/prod/data.tf",5,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/data.tf#L5"
"../modules/eventhub","local","terraform","","pagopa/io-auth-n-identity-domain","infra/resources/prod/eventhub.tf",5,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/eventhub.tf#L5"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/resources/prod/function_ioweb_profile.tf",127,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/function_ioweb_profile.tf#L127"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 1.0","pagopa/io-auth-n-identity-domain","infra/resources/prod/function_lollipop.tf",62,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/function_lollipop.tf#L62"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 2.0","pagopa/io-auth-n-identity-domain","infra/resources/prod/function_lollipop.tf",116,"https://github.com/pagopa/io-auth-n-identity-domain/blob/main/infra/resources/prod/function_lollipop.tf#L116"
