repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/io-cdc,Bump vite from 5.4.18 to 5.4.19,4,REVIEW_REQUIRED,2025-05-07T04:50:25Z,2025-05-19T14:48:10Z,2025-05-19T14:48:10Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57742367?v=4"",""login"":""renovate-pagopa"",""url"":""https://github.com/apps/renovate-pagopa""}",3,0
pagopa/io-cdc,Removed io-cdc-fe folder,5,,2025-05-07T13:52:13Z,2025-05-15T12:30:07Z,2025-05-15T12:30:07Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}",4873,1
pagopa/io-cdc,Develop,7,REVIEW_REQUIRED,2025-05-19T15:10:43Z,2025-06-05T10:42:12Z,2025-06-05T10:42:12Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}",11063,1
pagopa/io-cdc,"[#IOBP-1532,#IOBP-1526] Schermata annualita' / iniziativa terminata",3,,2025-05-05T08:49:37Z,2025-05-15T13:03:55Z,2025-05-15T13:03:55Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}",4920,1
pagopa/io-cdc,[#IOBP-1668 A] Added secrets,9,REVIEW_REQUIRED,2025-05-22T14:07:04Z,2025-05-22T14:12:05Z,2025-05-22T14:12:05Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}",81,1
pagopa/io-cdc,[#IOBP-1590] Boilerplate for backend functions and fims sdk,1,REVIEW_REQUIRED,2025-04-29T09:11:27Z,2025-05-06T12:06:53Z,2025-05-06T12:06:53Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}",7910,2
pagopa/io-cdc,[#IOBP-2021] Added L2 support function,60,REVIEW_REQUIRED,2025-09-25T15:03:14Z,2025-09-25T15:13:38Z,2025-09-25T15:13:38Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}",268,0
pagopa/io-cdc,[ #IOBP-1533] responses screen,6,,2025-05-15T14:20:03Z,2025-05-15T14:39:34Z,2025-05-15T14:39:34Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/104564805?u=15ac4193594b75356a2cc49b25cfcd52348e05f4\u0026v=4"",""login"":""loricurreli"",""url"":""https://github.com/loricurreli""}",3724,0
pagopa/io-cdc,[#IOBP-1588] CdC infra,2,REVIEW_REQUIRED,2025-04-30T10:04:36Z,2025-05-05T15:16:14Z,2025-05-05T15:16:14Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}",921,1
pagopa/io-cdc,Upgrade Bootstrap module to get new Opex role,10,REVIEW_REQUIRED,2025-05-28T09:56:50Z,2025-05-28T10:01:36Z,2025-05-28T10:01:36Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/7879858?u=39cd39edcfaf1dce8678b8b00441e162532a93af\u0026v=4"",""login"":""Krusty93"",""url"":""https://github.com/Krusty93""}",53,0
