id,name,repository_full_name,pipeline
156289322,Release Infrastructure,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Release Infrastructure"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""override_github_environment"":""infra-prod"",""use_private_agent"":true}}},""name"":""Release Infrastructure"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":[""infra/resources/**""]}}}}"
162890214,.github/workflows/cdn_deploy.yaml,pagopa/io-cdc,"{""Steps"":[],""Env"":{""BUNDLE_NAME"":""bundle""},""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}-cd"",""cancel-in-progress"":true},""jobs"":{""build"":{""name"":""Build Artifact"",""runs-on"":""ubuntu-latest"",""environment"":""${{ inputs.environment }}-cd"",""env"":{""WORKSPACE"":""${{ inputs.workspace_name }}"",""VITE_ANALYTICS_API_HOST"":""${{ secrets.VITE_ANALYTICS_API_HOST }}"",""VITE_ANALYTICS_DEBUG"":""${{ secrets.VITE_ANALYTICS_DEBUG }}"",""VITE_ANALYTICS_ENABLE"":""${{ secrets.VITE_ANALYTICS_ENABLE }}"",""VITE_ANALYTICS_LOG_IP"":""${{ secrets.VITE_ANALYTICS_LOG_IP }}"",""VITE_ANALYTICS_MOCK"":""${{ secrets.VITE_ANALYTICS_MOCK }}"",""VITE_ANALYTICS_PERSISTENCE"":""${{ secrets.VITE_ANALYTICS_PERSISTENCE }}"",""VITE_ANALYTICS_TOKEN"":""${{ secrets.VITE_ANALYTICS_TOKEN }}"",""TURBO_CACHE_DIR"":"".turbo-cache""},""steps"":[{""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""name"":""Checkout""},{""name"":""Prune"",""run"":""npx turbo prune --scope ${{ env.WORKSPACE }}""},{""name"":""Enable Corepack"",""run"":""corepack enable""},{""name"":""Setup Node.js"",""uses"":""actions/setup-node@1e60f620b9541d16bece96c5465dc8ee9832be0b"",""with"":{""node-version-file"":"".node-version"",""cache"":""yarn"",""cache-dependency-path"":""./out/yarn.lock""}},{""name"":""Install dependencies"",""run"":""yarn config set nodeLinker node-modules\nyarn config set nmHoistingLimits workspaces\nyarn install --immutable\n"",""working-directory"":""./out""},{""name"":""Restore turbo cache"",""uses"":""actions/cache@1bd1e32a3bdc45362d1e726936510720a7c30a57"",""with"":{""path"":""./out/${{ env.TURBO_CACHE_DIR }}"",""key"":""${{ runner.os }}-turbo-${{ github.sha }}"",""restore-keys"":""${{ runner.os }}-turbo\n""}},{""name"":""Build"",""run"":""yarn build"",""working-directory"":""./out""},{""name"":""Build the artifact"",""id"":""make-artifact"",""env"":{""YARN_NODE_LINKER"":""node-modules"",""YARN_NM_HOISTING_LIMITS"":""workspaces""},""run"":""set -e\n\n# generate node_modules folder excluding devDependencies\nyarn workspaces focus --production\n\nmkdir ${{ github.run_id }}\n\n# create the artifact (zip)\nzip -r $BUNDLE_NAME.zip dist/*\n\necho \""artifact-path=$(realpath $BUNDLE_NAME.zip)\"" \u003e\u003e \""$GITHUB_OUTPUT\""\n"",""working-directory"":""./out/apps/${{ env.WORKSPACE }}""},{""name"":""Upload Artifact"",""uses"":""pagopa/dx/.github/actions/upload-artifact@main"",""with"":{""bundle_name"":""${{ env.BUNDLE_NAME }}"",""file_path"":""${{ steps.make-artifact.outputs.artifact-path }}""}}]},""deploy"":{""name"":""Deploy"",""if"":""${{ !github.event.act }}"",""needs"":[""build""],""runs-on"":""${{ inputs.use_labels \u0026\u0026 inputs.use_private_agent \u0026\u0026 inputs.environment || inputs.use_private_agent \u0026\u0026 'self-hosted' || 'ubuntu-latest' }}"",""environment"":""${{ inputs.environment }}-cd"",""permissions"":{""id-token"":""write"",""contents"":""read""},""steps"":[{""name"":""Download Artifact"",""uses"":""actions/download-artifact@6b208ae046db98c579e8a3aa621ab581ff575935"",""with"":{""name"":""${{ env.BUNDLE_NAME }}""}},{""name"":""Azure Login"",""uses"":""azure/login@a65d910e8af852a8061c627c456678983e180302"",""env"":{""ARM_USE_OIDC"":true},""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Deploy"",""id"":""deploy-artifact"",""run"":""echo Downloading AZ Copy...\ncurl -L  https://aka.ms/downloadazcopy-v10-linux \u003e azcopy.tar.gz\necho Extracting AZ Copy...\ntar -xzf azcopy.tar.gz\necho Moving AZ Copy...\nmkdir -p /home/runner/.azure/bin/ \u0026\u0026 cp $(find . -type d -name \""azcopy*\"")/azcopy /home/runner/.azure/bin/azcopy\necho Unzipping bundle into dist folder...\nunzip ${{ env.BUNDLE_NAME }}.zip\necho Copying dist folder to storage...\naz storage blob sync --auth-mode login --container '${{ inputs.blob_container_name }}' --account-name '${{ inputs.storage_account_name}}' --source 'dist'\n"",""working-directory"":"".""},{""name"":""Purge CDN"",""id"":""purge-cdn"",""run"":""az afd endpoint purge \\\n  --resource-group '${{ inputs.resource_group_name }}' \\\n  --profile-name '${{ inputs.frontdoor_name }}' \\\n  --endpoint-name '${{ inputs.frontdoor_endpoint_name }}' \\\n  --content-paths '/*'\n"",""working-directory"":"".""}]}},""on"":{""workflow_call"":{""inputs"":{""workspace_name"":{""description"":""The folder of the app."",""type"":""string"",""required"":true},""environment"":{""description"":""Environment where the artifact will be deployed."",""type"":""string"",""required"":true},""resource_group_name"":{""description"":""Resource group name."",""type"":""string"",""required"":true},""storage_account_name"":{""description"":""Storage account name."",""type"":""string"",""required"":true},""blob_container_name"":{""description"":""Blob container name."",""type"":""string"",""required"":true},""frontdoor_name"":{""description"":""CDN profile name."",""type"":""string"",""required"":true},""frontdoor_endpoint_name"":{""description"":""CDN profile endpoint name."",""type"":""string"",""required"":true},""use_private_agent"":{""description"":""Use a private agent to deploy the built artifact."",""type"":""boolean"",""required"":false,""default"":true},""use_labels"":{""description"":""Use labels to start the right environment's GitHub runner. If use_labels is true, also use_private_agent must be set to true"",""type"":""boolean"",""required"":false,""default"":false}}}}}}"
177771330,.github/workflows/call_pr_opex_api.yml,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""plan"":{""name"":""Terraform Plan"",""runs-on"":""ubuntu-22.04"",""environment"":""opex-prod-ci"",""env"":{""API_NAME"":""${{ inputs.api_name }}"",""DOCKER_IMAGE_TAG"":""sha256:04d8ead53c772d23b094c2a395292dc159e6f2905e1b13b5f828f31eac6eb27f"",""TEMPLATE_DIR"":""azure-dashboard"",""ARM_USE_OIDC"":true,""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""},""permissions"":{""id-token"":""write"",""pull-requests"":""write""},""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@1f9a0c22da41e6ebfa534300ef656657ea2c6707"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""name"":""Azure Login"",""id"":""az_login"",""uses"":""azure/login@92a5484dfaf04ca78a94597f4f19fea633851fa2"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Run opex dashbaord"",""shell"":""bash"",""id"":""opex_docker"",""run"":""docker run \\\n  --workdir /github/workspace --rm \\\n  -v $(pwd):\""/github/workspace\"" \\\n  ghcr.io/pagopa/opex-dashboard-azure-action@${{ env.DOCKER_IMAGE_TAG }} ${{ env.TEMPLATE_DIR }} .opex/${{ env.API_NAME }}/env/prod/config.yaml\n""},{""name"":""Copy Environments"",""shell"":""bash"",""id"":""opex_copy"",""run"":""cp -R .opex/${{ env.API_NAME }}/env ./${{ env.TEMPLATE_DIR }}\n""},{""name"":""Setup Terraform"",""id"":""terraform_setup"",""uses"":""hashicorp/setup-terraform@a1502cd9e758c50496cc9ac5308c4843bcd56d36"",""with"":{""terraform_version"":""1.6.6"",""terraform_wrapper"":true}},{""name"":""Terraform Plan"",""shell"":""bash"",""id"":""terraform_plan"",""working-directory"":""${{ env.TEMPLATE_DIR }}"",""run"":""bash ./terraform.sh plan prod -no-color | tee plan_output.txt\nOUTPUT=\""$(cat plan_output.txt | grep -v \""Refreshing state\"" | tail -c 60000)\""\necho \""$OUTPUT\"" \u003e plan_output_multiline.txt\n""},{""name"":""Post Plan on PR"",""id"":""terraform_plan_comment"",""uses"":""actions/github-script@d7906e4ad0b1822421a7e6a35d5ca353c962f410"",""if"":""github.event_name == 'pull_request'"",""with"":{""script"":""const fs = require('fs');\nconst output = fs.readFileSync('${{ env.TEMPLATE_DIR }}/plan_output_multiline.txt', 'utf8');\nconst { data: comments } = await github.rest.issues.listComments({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  issue_number: context.issue.number\n})\nconst botComment = comments.find(comment =\u003e {\n  return comment.user.type === 'Bot' \u0026\u0026 comment.body.includes('Terraform Plan')\n})\nconst commentBody = `#### Terraform Plan 📖\n\u003cdetails\u003e\n\u003csummary\u003eTerraform Plan\u003c/summary\u003e\n\n\\`\\`\\`hcl\n${output}\n\\`\\`\\`\n\u003c/details\u003e\n`;\nif (botComment) {\n  await github.rest.issues.updateComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    body: commentBody,\n    comment_id: botComment.id\n  })\n} else {\n  await github.rest.issues.createComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    body: commentBody,\n    issue_number: context.issue.number\n  })\n}\n""}}]}},""on"":{""workflow_call"":{""inputs"":{""api_name"":{""type"":""string"",""required"":true}}}}}}"
156289341,CodeQL,pagopa/io-cdc,<nil>
156289320,Labeler,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""label"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""contents"":""read"",""pull-requests"":""write""},""steps"":[{""uses"":""actions/labeler@ba790c862c380240c6d5e7427be5ace9a05c754b"",""with"":{""repo-token"":""${{ secrets.GITHUB_TOKEN }}""}},{""uses"":""actions/github-script@98814c53be79b1d30f795b907e553d8679345975"",""id"":""set-result"",""with"":{""script"":""const config = {\n  docs: /^docs/,\n  bug: /^bug/,\n  fix: /^fix/,\n  chore: /^chore/,\n  feat: /^feat/,\n  build: /^build/,\n  ci: /^ci/,\n  refactor: /^refactor/,\n  \""breaking-change\"": /!:/,\n};\n\nconst labels = Object.entries(config).reduce(\n  (acc, cur) =\u003e (context.payload.pull_request.title.match(cur[1]) \n    ? [...acc, cur[0]] : acc),\n  []\n);\n\nif (labels.length \u003e 0) {\n  await github.rest.issues.addLabels({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    issue_number: context.payload.pull_request.number,\n    labels: labels\n  });\n}\n"",""result-encoding"":""string""}}]}},""name"":""Labeler"",""on"":[""pull_request""]}}"
156289321,PR Infrastructure Plan,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Code Review Infrastructure Plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""override_github_environment"":""infra-prod"",""use_private_agent"":true}}},""name"":""PR Infrastructure Plan"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/resources/**"","".github/workflows/pr_infra.yaml""]}}}}"
156289319,Code Review,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""js_code_review"":{""uses"":""pagopa/dx/.github/workflows/js_code_review.yaml@main"",""name"":""Code Review"",""secrets"":""inherit""}},""name"":""Code Review"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""apps/**"",""packages/**"","".node-version""]}}}}"
177771334,PR - Opex Dashboard api_backend,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":{""group"":""${{ github.workflow }}-${{ github.event.pull_request.number || github.ref }}"",""cancel-in-progress"":false},""jobs"":{""plan"":{""uses"":""./.github/workflows/call_pr_opex_api.yml"",""name"":""Plan changes against Production"",""secrets"":""inherit"",""with"":{""api_name"":""api_backend""}}},""name"":""PR - Opex Dashboard api_backend"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened""],""branches"":[""master""],""paths"":[""./apps/backend-func/api/internal.yaml"","".github/workflows/pr_opex_api_backend.yml"","".github/workflows/opex_api_backend.yml"","".opex/api_backend/**""]},""workflow_dispatch"":null}}}"
187741558,Deploy Function App (support-func),pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy Support Func"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@dbc5a5a25c47432b9faca8b183f26d7df707a29b"",""secrets"":""inherit"",""with"":{""workspace_name"":""support-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-cdc-rg-01"",""function_app_name"":""io-p-itn-cdc-support-func-01"",""use_staging_slot"":true,""use_labels"":false}}},""name"":""Deploy Function App (support-func)"",""on"":{""workflow_dispatch"":{},""push"":{""branches"":[""master""],""paths"":[""apps/support-func/CHANGELOG.md"","".github/workflows/deploy-support-func.yaml""]}}}}"
177771328,.github/workflows/call_opex_api.yml,pagopa/io-cdc,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""apply"":{""name"":""Terraform Apply"",""runs-on"":""ubuntu-22.04"",""environment"":""opex-prod-cd"",""env"":{""API_NAME"":""${{ inputs.api_name }}"",""DOCKER_IMAGE_TAG"":""sha256:04d8ead53c772d23b094c2a395292dc159e6f2905e1b13b5f828f31eac6eb27f"",""TEMPLATE_DIR"":""azure-dashboard"",""ARM_USE_OIDC"":true,""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""},""permissions"":{""id-token"":""write"",""contents"":""read""},""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@1f9a0c22da41e6ebfa534300ef656657ea2c6707"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""uses"":""pagopa/opex-dashboard-azure-action@3bbf7e465d7dcf31f0676effb726c43670909b8b"",""with"":{""environment"":""prod"",""api-name"":""${{ env.API_NAME }}"",""config"":"".opex/${{ env.API_NAME }}/env/prod/config.yaml"",""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""docker-version"":""${{ env.DOCKER_IMAGE_TAG }}""}}]}},""on"":{""workflow_call"":{""inputs"":{""api_name"":{""type"":""string"",""required"":true}}}}}}"
