module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-cdc","infra/bootstrapper/prod/main.tf",97,"https://github.com/pagopa/io-cdc/blob/main/infra/bootstrapper/prod/main.tf#L97"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/io-cdc","infra/bootstrapper/prod/rbac.tf",6,"https://github.com/pagopa/io-cdc/blob/main/infra/bootstrapper/prod/rbac.tf#L6"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/io-cdc","infra/bootstrapper/prod/rbac.tf",41,"https://github.com/pagopa/io-cdc/blob/main/infra/bootstrapper/prod/rbac.tf#L41"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-cdc","infra/repository/main.tf",3,"https://github.com/pagopa/io-cdc/blob/main/infra/repository/main.tf#L3"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","2.0.0","pagopa/io-cdc","infra/resources/_modules/backend_func/autoscaler.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/backend_func/autoscaler.tf#L1"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","0.2.9","pagopa/io-cdc","infra/resources/_modules/backend_func/backend_func.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/backend_func/backend_func.tf#L1"
"pagopa-dx/azure-cdn/azurerm","registry","terraform","0.3.2","pagopa/io-cdc","infra/resources/_modules/cdn/cdn.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/cdn/cdn.tf#L1"
"pagopa-dx/azure-cosmos-account/azurerm","registry","terraform","0.2.0","pagopa/io-cdc","infra/resources/_modules/cosmos_db/cosmos_db.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/cosmos_db/cosmos_db.tf#L1"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 1.0","pagopa/io-cdc","infra/resources/_modules/storage_audit/storage_audit.tf",4,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/storage_audit/storage_audit.tf#L4"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","0.1.0","pagopa/io-cdc","infra/resources/_modules/storage_be/storage_be.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/storage_be/storage_be.tf#L1"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","0.1.0","pagopa/io-cdc","infra/resources/_modules/storage_fe/storage_fe.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/storage_fe/storage_fe.tf#L1"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","2.0.0","pagopa/io-cdc","infra/resources/_modules/support_func/autoscaler.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/support_func/autoscaler.tf#L1"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","0.2.9","pagopa/io-cdc","infra/resources/_modules/support_func/support_func.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/_modules/support_func/support_func.tf#L1"
"../_modules/backend_func","local","terraform","","pagopa/io-cdc","infra/resources/prod/backend_func.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/backend_func.tf#L1"
"../_modules/cdn","local","terraform","","pagopa/io-cdc","infra/resources/prod/cdn.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/cdn.tf#L1"
"../_modules/cosmos_db","local","terraform","","pagopa/io-cdc","infra/resources/prod/cosmos_db.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/cosmos_db.tf#L1"
"../_modules/key_vaults","local","terraform","","pagopa/io-cdc","infra/resources/prod/main.tf",25,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/main.tf#L25"
"github.com/pagopa/terraform-azurerm-v4//redis_cache?ref=v5.5.0","registry","terraform","v5.5.0","pagopa/io-cdc","infra/resources/prod/main.tf",38,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/main.tf#L38"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/io-cdc","infra/resources/prod/rbac.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/rbac.tf#L1"
"../_modules/storage_fe","local","terraform","","pagopa/io-cdc","infra/resources/prod/storage.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/storage.tf#L1"
"../_modules/storage_be","local","terraform","","pagopa/io-cdc","infra/resources/prod/storage.tf",20,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/storage.tf#L20"
"../_modules/storage_audit","local","terraform","","pagopa/io-cdc","infra/resources/prod/storage.tf",49,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/storage.tf#L49"
"../_modules/support_func","local","terraform","","pagopa/io-cdc","infra/resources/prod/support_func.tf",1,"https://github.com/pagopa/io-cdc/blob/main/infra/resources/prod/support_func.tf#L1"
