module,source_type,file_type,version,repository,file_path,line_number,file_link
"github.com/pagopa/dx//infra/modules/github_selfhosted_runner_on_container_app_jobs?ref=main","registry","terraform","main","pagopa/io-cgn","infra-io/github-runner/prod/main.tf",23,"https://github.com/pagopa/io-cgn/blob/main/infra-io/github-runner/prod/main.tf#L23"
"pagopa-dx/azure-federated-identity-with-github/azurerm","registry","terraform","~> 1.0","pagopa/io-cgn","infra-io/identity/prod/main.tf",29,"https://github.com/pagopa/io-cgn/blob/main/infra-io/identity/prod/main.tf#L29"
"pagopa-dx/azure-federated-identity-with-github/azurerm","registry","terraform","~> 1.0","pagopa/io-cgn","infra-io/identity/prod/main.tf",62,"https://github.com/pagopa/io-cgn/blob/main/infra-io/identity/prod/main.tf#L62"
"github.com/pagopa/dx//infra/modules/azure_app_service_plan_autoscaler?ref=5fe5d992a856636e2f49f6720a2b735dd77f1696","registry","terraform","5fe5d992a856636e2f49f6720a2b735dd77f1696","pagopa/io-cgn","infra-io/resources/_modules/function_app_autoscaler/function_app_autoscaler.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/_modules/function_app_autoscaler/function_app_autoscaler.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_function_app?ref=5fe5d992a856636e2f49f6720a2b735dd77f1696","registry","terraform","5fe5d992a856636e2f49f6720a2b735dd77f1696","pagopa/io-cgn","infra-io/resources/_modules/function_app_card/function_app_card.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/_modules/function_app_card/function_app_card.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_function_app?ref=5fe5d992a856636e2f49f6720a2b735dd77f1696","registry","terraform","5fe5d992a856636e2f49f6720a2b735dd77f1696","pagopa/io-cgn","infra-io/resources/_modules/function_app_merchant/function_app_merchant.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/_modules/function_app_merchant/function_app_merchant.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_function_app?ref=5fe5d992a856636e2f49f6720a2b735dd77f1696","registry","terraform","5fe5d992a856636e2f49f6720a2b735dd77f1696","pagopa/io-cgn","infra-io/resources/_modules/function_app_search/function_app_search.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/_modules/function_app_search/function_app_search.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_function_app?ref=5fe5d992a856636e2f49f6720a2b735dd77f1696","registry","terraform","5fe5d992a856636e2f49f6720a2b735dd77f1696","pagopa/io-cgn","infra-io/resources/_modules/function_app_support/function_app_support.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/_modules/function_app_support/function_app_support.tf#L1"
"../_modules/function_app_card","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/func_card.tf",36,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/func_card.tf#L36"
"../_modules/function_app_autoscaler","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/func_cgn_commons.tf",10,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/func_cgn_commons.tf#L10"
"../_modules/function_app_merchant","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/func_merchant.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/func_merchant.tf#L1"
"../_modules/function_app_search","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/func_search.tf",10,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/func_search.tf#L10"
"../_modules/function_app_support","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/func_support.tf",3,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/func_support.tf#L3"
"../_modules/key_vaults","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/main.tf",30,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/main.tf#L30"
"github.com/pagopa/terraform-azurerm-v3//redis_cache?ref=v8.21.0","registry","terraform","v8.21.0","pagopa/io-cgn","infra-io/resources/prod/main.tf",43,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/main.tf#L43"
"../_modules/psql_pe_private_endpoint","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/psql_pe_private_endpoint.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/psql_pe_private_endpoint.tf#L1"
"../_modules/storage","local","terraform","","pagopa/io-cgn","infra-io/resources/prod/storage.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-io/resources/prod/storage.tf#L1"
"github.com/pagopa/terraform-azurerm-v3.git//container_app_environment_v2?ref=v8.50.0","registry","terraform","v8.50.0","pagopa/io-cgn","infra-pe/github-runner/_modules/common/main.tf",9,"https://github.com/pagopa/io-cgn/blob/main/infra-pe/github-runner/_modules/common/main.tf#L9"
"github.com/pagopa/terraform-azurerm-v3.git//subnet?ref=v8.50.0","registry","terraform","v8.50.0","pagopa/io-cgn","infra-pe/github-runner/_modules/common/subnet.tf",1,"https://github.com/pagopa/io-cgn/blob/main/infra-pe/github-runner/_modules/common/subnet.tf#L1"
"../_modules/common","local","terraform","","pagopa/io-cgn","infra-pe/github-runner/prod/main.tf",22,"https://github.com/pagopa/io-cgn/blob/main/infra-pe/github-runner/prod/main.tf#L22"
