created_at,repository_full_name,conclusion,updated_at,status,id,workflow_id
2025-11-10T10:17:18Z,pagopa/io-infra,success,2025-11-10T10:18:59Z,completed,19228229353,145053352
2025-11-10T10:50:09Z,pagopa/io-infra,success,2025-11-10T10:53:39Z,completed,19229083820,92541095
2025-11-10T13:04:45Z,pagopa/io-infra,success,2025-11-10T13:05:33Z,completed,19232596763,158033880
2025-11-10T10:12:51Z,pagopa/io-infra,success,2025-11-10T10:13:52Z,completed,19228112147,158033880
2025-11-10T10:48:52Z,pagopa/io-infra,success,2025-11-10T10:49:43Z,completed,19229050651,17968882
2025-11-10T13:15:13Z,pagopa/io-infra,success,2025-11-10T13:16:19Z,completed,19232881016,17968882
2025-11-10T10:55:15Z,pagopa/io-infra,failure,2025-11-10T10:56:20Z,completed,19229214264,111442147
2025-11-10T15:24:11Z,pagopa/io-infra,success,2025-11-10T15:29:21Z,completed,19236674598,111442147
2025-11-10T13:15:14Z,pagopa/io-infra,success,2025-11-10T13:17:47Z,completed,19232881099,145053352
2025-11-08T02:00:12Z,pagopa/io-infra,failure,2025-11-08T02:02:03Z,completed,19186242771,65241647
2025-11-10T10:48:52Z,pagopa/io-infra,success,2025-11-10T10:52:02Z,completed,19229050677,92541095
2025-11-10T10:17:15Z,pagopa/io-infra,success,2025-11-10T10:17:59Z,completed,19228227929,158033880
2025-11-10T10:50:03Z,pagopa/io-infra,cancelled,2025-11-10T10:50:17Z,completed,19229081258,111442147
2025-11-09T02:16:35Z,pagopa/io-infra,failure,2025-11-09T02:18:13Z,completed,19201946059,48713587
2025-11-11T05:23:38Z,pagopa/io-infra,success,2025-11-11T05:24:24Z,completed,19255905119,158033880
2025-11-10T15:19:19Z,pagopa/io-infra,success,2025-11-10T15:26:35Z,completed,19236527543,111442147
2025-11-10T13:11:06Z,pagopa/io-infra,success,2025-11-10T13:11:16Z,completed,19232765484,90132615
2025-11-10T10:49:37Z,pagopa/io-infra,cancelled,2025-11-10T10:50:27Z,completed,19229069230,92541095
2025-11-10T10:57:10Z,pagopa/io-infra,success,2025-11-10T10:58:46Z,completed,19229258260,145053352
2025-11-10T10:48:51Z,pagopa/io-infra,success,2025-11-10T10:52:28Z,completed,19229050560,48713032
2025-11-10T10:50:08Z,pagopa/io-infra,success,2025-11-10T10:53:52Z,completed,19229083703,48713032
2025-11-10T10:40:37Z,pagopa/io-infra,success,2025-11-10T10:43:00Z,completed,19228834852,92541095
2025-11-10T15:19:19Z,pagopa/io-infra,success,2025-11-10T15:21:24Z,completed,19236527558,145053352
2025-11-10T13:18:50Z,pagopa/io-infra,success,2025-11-10T14:57:11Z,completed,19232983140,92832441
2025-11-10T13:06:55Z,pagopa/io-infra,failure,2025-11-10T13:07:47Z,completed,19232652132,111442147
2025-11-10T10:49:37Z,pagopa/io-infra,success,2025-11-10T10:53:01Z,completed,19229068999,48713032
2025-11-10T13:04:48Z,pagopa/io-infra,success,2025-11-10T13:06:12Z,completed,19232598320,17968882
2025-11-10T13:06:55Z,pagopa/io-infra,success,2025-11-10T13:08:57Z,completed,19232652141,145053352
2025-11-10T13:07:47Z,pagopa/io-infra,success,2025-11-10T13:07:56Z,completed,19232675172,90132615
2025-11-10T13:11:07Z,pagopa/io-infra,success,2025-11-10T13:12:26Z,completed,19232765619,17968882
2025-11-10T10:17:18Z,pagopa/io-infra,success,2025-11-10T10:18:10Z,completed,19228229246,17968882
2025-11-10T13:11:07Z,pagopa/io-infra,success,2025-11-10T13:12:52Z,completed,19232765669,145053352
2025-11-10T13:11:07Z,pagopa/io-infra,failure,2025-11-10T13:13:01Z,completed,19232765670,111442147
2025-11-10T15:31:58Z,pagopa/io-infra,success,2025-11-10T16:20:46Z,completed,19236905226,113023204
2025-11-10T11:00:22Z,pagopa/io-infra,success,2025-11-10T11:07:49Z,completed,19229328988,111442147
2025-11-10T13:07:45Z,pagopa/io-infra,success,2025-11-10T13:08:32Z,completed,19232673919,158033880
2025-11-10T13:06:53Z,pagopa/io-infra,success,2025-11-10T13:07:41Z,completed,19232651391,158033880
2025-11-10T13:06:55Z,pagopa/io-infra,cancelled,2025-11-10T13:08:08Z,completed,19232652066,17968882
2025-11-10T10:40:37Z,pagopa/io-infra,success,2025-11-10T10:44:11Z,completed,19228834719,48713032
2025-11-10T15:31:57Z,pagopa/io-infra,success,2025-11-10T15:32:57Z,completed,19236904714,158033880
2025-11-10T13:11:04Z,pagopa/io-infra,success,2025-11-10T13:11:52Z,completed,19232764368,158033880
2025-11-10T11:00:22Z,pagopa/io-infra,success,2025-11-10T11:01:33Z,completed,19229328925,17968882
2025-11-10T10:49:37Z,pagopa/io-infra,cancelled,2025-11-10T10:50:39Z,completed,19229069235,111442147
2025-11-10T10:40:34Z,pagopa/io-infra,success,2025-11-10T10:41:33Z,completed,19228833706,158033880
2025-11-10T10:55:12Z,pagopa/io-infra,success,2025-11-10T10:56:08Z,completed,19229213130,158033880
2025-11-10T10:48:52Z,pagopa/io-infra,cancelled,2025-11-10T10:49:52Z,completed,19229050672,111442147
2025-11-10T13:15:14Z,pagopa/io-infra,success,2025-11-10T13:22:01Z,completed,19232881094,111442147
2025-11-10T10:57:07Z,pagopa/io-infra,success,2025-11-10T10:58:09Z,completed,19229257085,158033880
2025-11-10T10:50:03Z,pagopa/io-infra,cancelled,2025-11-10T10:50:20Z,completed,19229081277,92541095
2025-11-11T02:13:50Z,pagopa/io-infra,failure,2025-11-11T02:15:44Z,completed,19252664091,65241647
2025-11-10T10:50:09Z,pagopa/io-infra,success,2025-11-10T10:57:47Z,completed,19229083841,111442147
2025-11-10T13:07:48Z,pagopa/io-infra,failure,2025-11-10T13:08:48Z,completed,19232675454,111442147
2025-11-10T10:12:55Z,pagopa/io-infra,success,2025-11-10T10:14:39Z,completed,19228113870,145053352
2025-11-10T10:12:55Z,pagopa/io-infra,success,2025-11-10T10:13:41Z,completed,19228113688,17968882
2025-11-09T02:16:37Z,pagopa/io-infra,failure,2025-11-09T02:18:23Z,completed,19201946370,65241647
2025-11-10T10:57:09Z,pagopa/io-infra,failure,2025-11-10T10:58:13Z,completed,19229258105,17968882
