id,name,repository_full_name,pipeline
158033880,CodeQL,pagopa/io-infra,<nil>
152375359,Continuous Integration on prod messages,pagopa/io-infra,<nil>
90482028,Continuous Delivery on eucovidcert,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release_prod"":{""uses"":""./.github/workflows/call_release.yaml"",""name"":""Terraform Apply"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""dir"":""src/domains/eucovidcert/prod/westeurope"",""use_private_agent"":true}}},""name"":""Continuous Delivery on eucovidcert"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":[""src/domains/eucovidcert/**""]}}}}"
65241647,Drift Detection on prod ioweb,pagopa/io-infra,"{""Steps"":[],""Env"":{""DIR"":""src/domains/ioweb"",""AZURE_ENVIRONMENT"":""prod""},""RemainingFields"":{""jobs"":{""terraform_driftdetection_job"":{""name"":""Terraform Drift Detection"",""runs-on"":""self-hosted"",""environment"":""prod-ci"",""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""name"":""Setup terraform"",""id"":""setup-version"",""uses"":""pagopa/terraform-install-action@1f76f593176e58c423b88d72273a612ba7ba430b""},{""name"":""Terraform drift detection common"",""uses"":""pagopa/terraform-driftdetection-azure-action@71bd771b3a071c78b36e5e0ecbd666ac39b1113c"",""with"":{""client_id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant_id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription_id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""dir"":""${{ env.DIR }}-common"",""azure_environment"":""prod""}},{""name"":""Terraform drift detection app (weu-prod01)"",""uses"":""pagopa/terraform-driftdetection-azure-action@71bd771b3a071c78b36e5e0ecbd666ac39b1113c"",""with"":{""client_id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant_id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription_id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""dir"":""${{ env.DIR }}-app"",""azure_environment"":""weu-prod01""}}]}},""name"":""Drift Detection on prod ioweb"",""on"":{""workflow_dispatch"":null,""schedule"":[{""cron"":""08 00 * * *""}]},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
140958902,Continuous Delivery on bonus,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Terraform Apply"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""src/domains/bonus"",""use_private_agent"":true}}},""name"":""Continuous Delivery on bonus"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":[""src/domains/bonus/**""]}}}}"
90132616,Continuous Integration on cgn,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_prod"":{""uses"":""./.github/workflows/call_code_review.yaml"",""name"":""Terraform Plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""dir"":""src/domains/cgn/prod"",""use_private_agent"":true}}},""name"":""Continuous Integration on cgn"",""on"":{""merge_group"":null,""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""src/domains/cgn/**"","".github/workflows/cgn_**""]}}}}"
90132615,PR - Labeler,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""labeler"":{""name"":""PR Labeler"",""runs-on"":""ubuntu-22.04"",""steps"":[{""uses"":""actions/labeler@8558fd74291d67161a8a78ce36a881fa63b766a9"",""with"":{""sync-labels"":true}}]}},""name"":""PR - Labeler"",""on"":{""workflow_dispatch"":null,""merge_group"":null,""pull_request"":{""branches"":[""main""],""types"":[""opened"",""synchronize""]}},""permissions"":{""contents"":""read"",""pull-requests"":""write""}}}"
111442147,PR - Common TF Validation,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""prod_itn_common_code_review"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Prod - Code Review"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""src/common"",""use_private_agent"":true}}},""name"":""PR - Common TF Validation"",""on"":{""merge_group"":null,""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""src/common/prod/**"",""src/common/_modules/**"","".github/workflows/common_code_review.yaml"",""src/_modules/test_users/**""]}}}}"
140901969,Continuous Integration on bonus,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Terraform Plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""src/domains/bonus"",""use_private_agent"":true}}},""name"":""Continuous Integration on bonus"",""on"":{""merge_group"":null,""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""src/domains/bonus/**"","".github/workflows/bonus_**""]}}}}"
100569035,Continuous Integration on load-test,pagopa/io-infra,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Core Review Infrastructure Plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""src/load-test""}}},""name"":""Continuous Integration on load-test"",""on"":{""merge_group"":null,""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""src/load-test/**"","".github/workflows/load_test_**.yaml""]}}}}"
