module,source_type,file_type,version,repository,file_path,line_number,file_link
"../../","local","terraform","","pagopa/io-infra","src/_modules/common_values/example/complete/main.tf",16,"https://github.com/pagopa/io-infra/blob/main/src/_modules/common_values/example/complete/main.tf#L16"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/_modules/data_factory_cosmos/iam.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/_modules/data_factory_cosmos/iam.tf#L1"
"pagopa-dx/azure-naming-convention/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/_modules/data_factory_cosmos/main.tf",10,"https://github.com/pagopa/io-infra/blob/main/src/_modules/data_factory_cosmos/main.tf#L10"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/_modules/data_factory_storage_account/iam.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/_modules/data_factory_storage_account/iam.tf#L1"
"pagopa-dx/azure-naming-convention/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/_modules/data_factory_storage_account/main.tf",10,"https://github.com/pagopa/io-infra/blob/main/src/_modules/data_factory_storage_account/main.tf#L10"
"../../","local","terraform","","pagopa/io-infra","src/_modules/test_users/example/complete/main.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/_modules/test_users/example/complete/main.tf#L1"
"pagopa-dx/azure-api-management/azurerm","registry","terraform","~> 2.0","pagopa/io-infra","src/common/_modules/apim/main.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/main.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",23,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L23"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",38,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L38"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",53,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L53"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",68,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L68"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",83,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L83"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/apim/rbac.tf",98,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/apim/rbac.tf#L98"
"github.com/pagopa/terraform-azurerm-v4//app_service?ref=v1.23.3","registry","terraform","v1.23.3","pagopa/io-infra","src/common/_modules/app_backend/main.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/app_backend/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//app_service_slot?ref=v1.23.3","registry","terraform","20-lts","pagopa/io-infra","src/common/_modules/app_backend/main.tf",48,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/app_backend/main.tf#L48"
"../../../_modules/test_users","local","terraform","","pagopa/io-infra","src/common/_modules/app_backend/test_users.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/app_backend/test_users.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 2.0.0","pagopa/io-infra","src/common/_modules/app_continua/main.tf",8,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/app_continua/main.tf#L8"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-infra","src/common/_modules/app_gateway/rbac.tf",39,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/app_gateway/rbac.tf#L39"
"github.com/pagopa/terraform-azurerm-v4//app_gateway?ref=v1.23.3","registry","terraform","v1.23.3","pagopa/io-infra","src/common/_modules/application_gateway/main.tf",2,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/application_gateway/main.tf#L2"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.1","pagopa/io-infra","src/common/_modules/application_gateway/rbac.tf",42,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/application_gateway/rbac.tf#L42"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/assets_cdn/iam.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/assets_cdn/iam.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//storage_account?ref=v1.23.3","registry","terraform","v1.23.3","pagopa/io-infra","src/common/_modules/assets_cdn/main.tf",1,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/assets_cdn/main.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",45,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L45"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",61,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L61"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",76,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L76"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",91,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L91"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",106,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L106"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-infra","src/common/_modules/cosmos_api/iam.tf",121,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/cosmos_api/iam.tf#L121"
"github.com/pagopa/terraform-azurerm-v4//subnet?ref=v1.23.3","registry","terraform","v1.23.3","pagopa/io-infra","src/common/_modules/event_hubs/main.tf",8,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/event_hubs/main.tf#L8"
"github.com/pagopa/terraform-azurerm-v4//eventhub?ref=v1.23.3","registry","terraform","v1.23.3","pagopa/io-infra","src/common/_modules/event_hubs/main.tf",17,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/event_hubs/main.tf#L17"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 3.0","pagopa/io-infra","src/common/_modules/function_admin/main.tf",8,"https://github.com/pagopa/io-infra/blob/main/src/common/_modules/function_admin/main.tf#L8"
