id,name,repository_full_name,pipeline
111164222,Release Infrastructure,pagopa/io-ipatente,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Release Infrastructure"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""override_github_environment"":""infra-prod""}}},""name"":""Release Infrastructure"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":[""infra/resources/**""]}}}}"
117115612,CodeQL,pagopa/io-ipatente,<nil>
111164220,Release,pagopa/io-ipatente,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":""${{ github.workflow }}-${{ github.ref }}"",""jobs"":{""release"":{""name"":""Release"",""runs-on"":""ubuntu-latest"",""outputs"":{""published"":""${{ steps.release.outputs.published }}"",""publishedPackages"":""${{ steps.release.outputs.publishedPackages }}""},""steps"":[{""name"":""Checkout Repo"",""uses"":""actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744"",""with"":{""fetch-depth"":0}},{""name"":""Setup yarn"",""run"":""corepack enable""},{""name"":""Setup Node.js environment"",""uses"":""actions/setup-node@1a4442cacd436585916779262731d5b162bc6ec7"",""with"":{""node-version-file"":"".node-version"",""cache"":""yarn"",""cache-dependency-path"":""yarn.lock\npackage.json\napps/**/package.json\npackages/**/package.json\n""}},{""name"":""Install Dependencies"",""run"":""yarn install --immutable""},{""name"":""Create Release Pull Request or Tag"",""id"":""changesets"",""uses"":""changesets/action@c8bada60c408975afd1a20b3db81d6eee6789308"",""with"":{""version"":""yarn run version"",""publish"":""yarn run release"",""commit"":""ci(changesets): version packages"",""createGithubReleases"":false},""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}},{""name"":""Release output"",""id"":""release"",""run"":""# intermediate variable necessary to avoid quotes around the array\n# that prevented the fromJson function to work correctly\npublishedPackages=${{toJSON(steps.changesets.outputs.publishedPackages)}}\n\necho 'published=${{steps.changesets.outputs.published}}' \u003e\u003e \""$GITHUB_OUTPUT\""\necho \""publishedPackages=$publishedPackages\"" \u003e\u003e \""$GITHUB_OUTPUT\""\n""}]},""publish"":{""name"":""Publish"",""needs"":[""release""],""if"":""needs.release.outputs.published == 'true'"",""runs-on"":""ubuntu-latest"",""continue-on-error"":true,""strategy"":{""matrix"":{""package"":""${{ fromJson(needs.release.outputs.publishedPackages) }}""}},""steps"":[{""name"":""Check internal packages"",""if"":""${{ startsWith(matrix.package.name, '@') }}"",""run"":""echo '::warning title=Internal::Package ${{ matrix.package.name }} is not supposed to be published'\necho \""SKIP_RELEASE_NO_PACK=true\"" \u003e\u003e $GITHUB_ENV\n""},{""name"":""Checkout Repo"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""uses"":""actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744"",""with"":{""fetch-depth"":0}},{""name"":""Setup yarn"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""run"":""corepack enable""},{""name"":""Setup Node.js environment"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""uses"":""actions/setup-node@1a4442cacd436585916779262731d5b162bc6ec7"",""with"":{""node-version-file"":"".node-version"",""cache"":""yarn"",""cache-dependency-path"":""yarn.lock\npackage.json\napps/**/package.json\npackages/**/package.json\n""}},{""name"":""Install dependencies"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""run"":""yarn""},{""name"":""Build"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""run"":""yarn build --filter ${{ matrix.package.name }}""},{""name"":""Package"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""run"":""yarn workspace ${{ matrix.package.name }} run build:package""},{""name"":""Create release"",""if"":""${{ env.SKIP_RELEASE_NO_PACK != 'true' }}"",""uses"":""softprops/action-gh-release@de2c0eb89ae2a093876385947365aca7b0e5f844"",""with"":{""draft"":true,""files"":""apps/${{ matrix.package.name == 'io-ipatente-vehicles' \u0026\u0026 'vehicles' || matrix.package.name == 'io-ipatente-licences' \u0026\u0026 'licences' || matrix.package.name == 'io-ipatente-payments' \u0026\u0026 'payments' || matrix.package.name == 'io-ipatente-practices' \u0026\u0026 'practices' || matrix.package.name }}/${{ matrix.package.name }}-${{ matrix.package.version }}.zip"",""tag_name"":""${{ matrix.package.name }}@${{ matrix.package.version }}"",""generate_release_notes"":true}}]}},""name"":""Release"",""on"":{""push"":{""branches"":[""main""]}}}}"
126671416,Azure Deploy Manual,pagopa/io-ipatente,"{""Steps"":[],""Env"":{""RESOURCE_GROUP_NAME"":""io-p-itn-ipatente-rg-01"",""AZURE_VEHICLES_NAME"":""io-p-itn-ipatente-vehicles-app-01"",""VEHICLES_HEALTHCHECK_PATH"":""api/info"",""AZURE_LICENCES_NAME"":""io-p-itn-ipatente-licences-app-01"",""LICENCES_HEALTHCHECK_PATH"":""api/info"",""AZURE_PAYMENTS_NAME"":""io-p-itn-ipatente-payments-app-01"",""PAYMENTS_HEALTHCHECK_PATH"":""api/info"",""AZURE_PRACTICES_NAME"":""io-p-itn-ipatente-practices-app-01"",""PRACTICES_HEALTHCHECK_PATH"":""api/info""},""RemainingFields"":{""jobs"":{""deployments"":{""name"":""App Deployments"",""runs-on"":[""self-hosted""],""environment"":""app-prod-cd"",""steps"":[{""name"":""Download artifact"",""id"":""download_artifact"",""run"":""curl --output artifact.zip --location ${{ github.event.inputs.package_url }}""},{""name"":""Login"",""id"":""login"",""uses"":""azure/login@92a5484dfaf04ca78a94597f4f19fea633851fa2"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Deploy Vehicles to staging"",""if"":""contains(github.event.inputs.package_url, 'vehicles')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_VEHICLES_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Vehicles Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'vehicles')"",""id"":""healthcheck_vehicles"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_VEHICLES_NAME }}-staging.azurewebsites.net/${{ env.VEHICLES_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Vehicles staging to production"",""if"":""contains(github.event.inputs.package_url, 'vehicles')"",""id"":""swap_to_production_vehicles"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_VEHICLES_NAME }} --slot staging --target-slot production""},{""name"":""Deploy Licences to staging"",""if"":""contains(github.event.inputs.package_url, 'licences')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_LICENCES_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Licences Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'licences')"",""id"":""healthcheck_licences"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_LICENCES_NAME }}-staging.azurewebsites.net/${{ env.LICENCES_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Licences staging to production"",""if"":""contains(github.event.inputs.package_url, 'licences')"",""id"":""swap_to_production_licences"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_LICENCES_NAME }} --slot staging --target-slot production""},{""name"":""Deploy Payments to staging"",""if"":""contains(github.event.inputs.package_url, 'payments')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_PAYMENTS_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Payments Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'payments')"",""id"":""healthcheck_payments"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_PAYMENTS_NAME }}-staging.azurewebsites.net/${{ env.PAYMENTS_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Payments staging to production"",""if"":""contains(github.event.inputs.package_url, 'payments')"",""id"":""swap_to_production_payments"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_PAYMENTS_NAME }} --slot staging --target-slot production""},{""name"":""Deploy Practices to staging"",""if"":""contains(github.event.inputs.package_url, 'practices')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_PRACTICES_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Practices Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'practices')"",""id"":""healthcheck_practices"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_PRACTICES_NAME }}-staging.azurewebsites.net/${{ env.PRACTICES_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Practices staging to production"",""if"":""contains(github.event.inputs.package_url, 'practices')"",""id"":""swap_to_production_practices"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_PRACTICES_NAME }} --slot staging --target-slot production""}]}},""name"":""Azure Deploy Manual"",""on"":{""workflow_dispatch"":{""inputs"":{""package_url"":{""required"":true,""type"":""string""}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
117103825,Labeler,pagopa/io-ipatente,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""label"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""contents"":""read"",""pull-requests"":""write""},""steps"":[{""uses"":""actions/labeler@ba790c862c380240c6d5e7427be5ace9a05c754b"",""with"":{""repo-token"":""${{ secrets.GITHUB_TOKEN }}""}},{""uses"":""actions/github-script@98814c53be79b1d30f795b907e553d8679345975"",""id"":""set-result"",""with"":{""script"":""const config = {\n  docs: /^docs/,\n  bug: /^bug/,\n  fix: /^fix/,\n  chore: /^chore/,\n  feat: /^feat/,\n  build: /^build/,\n  ci: /^ci/,\n  refactor: /^refactor/,\n  \""breaking-change\"": /!:/,\n};\n\nconst labels = Object.entries(config).reduce(\n  (acc, cur) =\u003e (context.payload.pull_request.title.match(cur[1]) \n    ? [...acc, cur[0]] : acc),\n  []\n);\n\nif (labels.length \u003e 0) {\n  await github.rest.issues.addLabels({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    issue_number: context.payload.pull_request.number,\n    labels: labels\n  });\n}\n"",""result-encoding"":""string""}}]}},""name"":""Labeler"",""on"":[""pull_request""]}}"
129211869,Opex Dashboard licences openapi,pagopa/io-ipatente,<nil>
129211868,Opex Dashboard vehicles openapi,pagopa/io-ipatente,<nil>
129339369,Release Opex Dashboard openapi,pagopa/io-ipatente,"{""Steps"":[],""Env"":{""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_USE_OIDC"":""true"",""DOCKER_IMAGE_TAG"":""sha256:eb3354b7e5c07e9557182828489fc0bf8092dd80886035429268d019250f5cd3"",""TEMPLATE_DIR"":""azure-dashboard""},""RemainingFields"":{""concurrency"":{""group"":""ipatente-opex"",""cancel-in-progress"":false},""jobs"":{""check-changes"":{""runs-on"":""ubuntu-22.04"",""name"":""Check Changes"",""outputs"":{""changed_apps"":""${{ steps.set-output.outputs.changed_apps }}""},""steps"":[{""uses"":""actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744"",""with"":{""fetch-depth"":0}},{""name"":""Get changed files"",""id"":""get_changed_files"",""run"":""echo \""changed_files=$(git diff --name-only ${{ github.event.before }} ${{ github.event.after }} | xargs)\"" \u003e\u003e $GITHUB_OUTPUT\n""},{""name"":""Initialize changed_apps"",""run"":""echo \""changed_apps=\"" \u003e\u003e $GITHUB_ENV""},{""name"":""Check changes for Licences Application"",""id"":""check_licences"",""run"":""if echo \""${{ steps.get_changed_files.outputs.changed_files }}\"" | grep -qE 'apps/licences/openapi/bff-openapi.yaml|\\apps/licences/.opex/|\\.github/workflows/release-opex-multi.yaml'; then\n  if [ -z \""${changed_apps}\"" ]; then\n    echo \""changed_apps=licences\"" \u003e\u003e $GITHUB_ENV\n  else\n    echo \""changed_apps=${changed_apps} licences\"" \u003e\u003e $GITHUB_ENV\n  fi\nfi\n""},{""name"":""Check changes for Vehicles Application"",""id"":""check_vehicles"",""run"":""if echo \""${{ steps.get_changed_files.outputs.changed_files }}\"" | grep -qE 'apps/vehicles/openapi/bff-openapi.yaml|\\apps/vehicles/.opex/|\\.github/workflows/release-opex-multi.yaml'; then\n  if [ -z \""${changed_apps}\"" ]; then\n    echo \""changed_apps=vehicles\"" \u003e\u003e $GITHUB_ENV\n  else\n    echo \""changed_apps=${changed_apps} vehicles\"" \u003e\u003e $GITHUB_ENV\n  fi\nfi\n""},{""name"":""Set output"",""id"":""set-output"",""run"":""changed_apps=$(echo \""${changed_apps}\"" | sed 's/ $//' | tr ' ' '\\n' | sort | uniq | jq -R -s -c 'split(\""\\n\"") | map(select(length \u003e 0))')\necho \""changed_apps=${changed_apps}\"" \u003e\u003e $GITHUB_OUTPUT\necho \""Changed apps: ${changed_apps}\""\n""}]},""tf_apply"":{""needs"":""check-changes"",""runs-on"":""ubuntu-22.04"",""name"":""Terraform Apply"",""environment"":""opex-prod-cd"",""permissions"":{""id-token"":""write"",""contents"":""read""},""env"":{""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}""},""strategy"":{""matrix"":{""app"":""${{ fromJson(needs.check-changes.outputs.changed_apps) }}""},""fail-fast"":false},""steps"":[{""name"":""Checkout"",""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11""},{""run"":""cp -r apps/${{ matrix.app }}/.opex ./\n"",""name"":""Update Path"",""shell"":""bash""},{""uses"":""pagopa/opex-dashboard-azure-action@3ad80a5e4a2d5a8f342615637072f21b687320ce"",""with"":{""environment"":""prod"",""api-name"":""${{ matrix.app }}"",""config"":"".opex/${{ matrix.app }}/env/prod/config.yaml"",""client-id"":""${{ env.ARM_CLIENT_ID }}"",""tenant-id"":""${{ env.ARM_TENANT_ID }}"",""subscription-id"":""${{ env.ARM_SUBSCRIPTION_ID }}"",""docker-version"":""${{ env.DOCKER_IMAGE_TAG }}""}}]}},""name"":""Release Opex Dashboard openapi"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":["".github/workflows/release-opex-multi.yaml"",""apps/vehicles/openapi/bff-openapi.yaml"",""apps/vehicles/.opex/**"",""apps/licences/openapi/bff-openapi.yaml"",""apps/licences/.opex/**""]}}}}"
129353256,PR Opex Dashboard openapi,pagopa/io-ipatente,"{""Steps"":[],""Env"":{""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_USE_OIDC"":""true"",""DOCKER_IMAGE_TAG"":""sha256:eb3354b7e5c07e9557182828489fc0bf8092dd80886035429268d019250f5cd3"",""TEMPLATE_DIR"":""azure-dashboard""},""RemainingFields"":{""concurrency"":{""group"":""ipatente-opex-pr"",""cancel-in-progress"":false},""jobs"":{""check-changes"":{""runs-on"":""ubuntu-22.04"",""name"":""Check Changes"",""outputs"":{""changed_apps"":""${{ steps.set-output.outputs.changed_apps }}""},""steps"":[{""uses"":""actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744"",""with"":{""fetch-depth"":0}},{""name"":""Get changed files"",""id"":""get_changed_files"",""run"":""git fetch origin ${{ github.base_ref }}\nchanged_files=$(git diff --name-only origin/${{ github.base_ref }}...HEAD | xargs)\necho \""changed_files=${changed_files}\"" \u003e\u003e $GITHUB_OUTPUT\necho \""Changed files: ${changed_files}\""\n""},{""name"":""Initialize changed_apps"",""run"":""echo \""changed_apps=\"" \u003e\u003e $GITHUB_ENV""},{""name"":""Check changes for Licences Application"",""id"":""check_licences"",""run"":""if echo \""${{ steps.get_changed_files.outputs.changed_files }}\"" | grep -qE 'apps/licences/openapi/bff-openapi.yaml|\\apps/licences/.opex/|\\.github/workflows/pr-opex-multi.yaml'; then\n  if [ -z \""${changed_apps}\"" ]; then\n    echo \""changed_apps=licences\"" \u003e\u003e $GITHUB_ENV\n  else\n  \n    echo \""changed_apps=${changed_apps} licences\"" \u003e\u003e $GITHUB_ENV\n  fi\nfi\n""},{""name"":""Check changes for Vehicles Application"",""id"":""check_vehicles"",""run"":""if echo \""${{ steps.get_changed_files.outputs.changed_files }}\"" | grep -qE 'apps/vehicles/openapi/bff-openapi.yaml|\\apps/vehicles/.opex/|\\.github/workflows/pr-opex-multi.yaml'; then\n  if [ -z \""${changed_apps}\"" ]; then\n    echo \""changed_apps=vehicles\"" \u003e\u003e $GITHUB_ENV\n  else\n    echo \""changed_apps=${changed_apps} vehicles\"" \u003e\u003e $GITHUB_ENV\n  fi\nfi\n""},{""name"":""Set output"",""id"":""set-output"",""run"":""changed_apps=$(echo \""${changed_apps}\"" | sed 's/ $//' | tr ' ' '\\n' | sort | uniq | jq -R -s -c 'split(\""\\n\"") | map(select(length \u003e 0))')\necho \""changed_apps=${changed_apps}\"" \u003e\u003e $GITHUB_OUTPUT\necho \""Changed apps: ${changed_apps}\""\n""}]},""tf_plan"":{""needs"":""check-changes"",""runs-on"":""ubuntu-22.04"",""name"":""Terraform Plan"",""environment"":""opex-prod-ci"",""permissions"":{""pull-requests"":""write"",""id-token"":""write"",""contents"":""read""},""env"":{""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}""},""strategy"":{""matrix"":{""app"":""${{ fromJson(needs.check-changes.outputs.changed_apps) }}""},""fail-fast"":false},""steps"":[{""uses"":""actions/checkout@3b9b8c884f6b4bb4d5be2779c26374abadae0871"",""name"":""Checkout""},{""name"":""Azure Login"",""uses"":""azure/login@a65d910e8af852a8061c627c456678983e180302"",""with"":{""client-id"":""${{ env.ARM_CLIENT_ID }}"",""tenant-id"":""${{ env.ARM_TENANT_ID }}"",""subscription-id"":""${{ env.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Set Terraform Version"",""id"":""set-terraform-version"",""run"":""set -eu\nterraform_version=$(cat .terraform-version)\nprintf \""terraform_version=$terraform_version\"" \u003e\u003e \""$GITHUB_OUTPUT\""\n""},{""name"":""Create Terraform Environment for Opex"",""shell"":""bash"",""run"":""docker run \\\n  --workdir /github/workspace --rm \\\n  -v $(pwd):\""/github/workspace\"" \\\n  ghcr.io/pagopa/opex-dashboard-azure-action@${{ env.DOCKER_IMAGE_TAG }} ${{ env.TEMPLATE_DIR }} apps/${{ matrix.app }}/.opex/${{ matrix.app }}/env/prod/config.yaml\n""},{""name"":""Copy Environments"",""shell"":""bash"",""id"":""opex_copy"",""run"":""cp -R apps/${{ matrix.app }}/.opex/${{ matrix.app }}/env ./${{ env.TEMPLATE_DIR }}\n""},{""name"":""Setup Terraform"",""id"":""terraform_setup"",""uses"":""hashicorp/setup-terraform@a1502cd9e758c50496cc9ac5308c4843bcd56d36"",""with"":{""terraform_version"":""${{ steps.set-terraform-version.outputs.terraform_version }}""}},{""name"":""Terraform Plan"",""shell"":""bash"",""id"":""plan"",""working-directory"":""${{ env.TEMPLATE_DIR }}"",""run"":""bash ./terraform.sh plan prod -no-color 2\u003e\u00261 | grep -v \""hidden-link:\""  | tee ${{ matrix.app }}_plan_output.txt\nOUTPUT=$(grep -Ev \""Refreshing state|state lock|Reading|Read\"" ${{ matrix.app }}_plan_output.txt | tail -c 60000)\nprintf \""%s\"" \""$OUTPUT\"" \u003e ${{ matrix.app }}_plan_output_multiline.txt\nif grep -q \""::error::Terraform exited with code\"" ${{ matrix.app }}_plan_output.txt; then\n  echo \""failed\""\n  exit 1\nfi\n""},{""name"":""Post Plan on PR"",""id"":""comment"",""uses"":""actions/github-script@60a0d83039c74a4aee543508d2ffcb1c3799cdea"",""if"":""always() \u0026\u0026 github.event_name == 'pull_request'"",""with"":{""script"":""const fs = require('fs');\nconst output = fs.readFileSync('${{ env.TEMPLATE_DIR }}/${{ matrix.app }}_plan_output_multiline.txt', 'utf8');\nconst status = '${{ steps.plan.outcome }}'\nconst { data: comments } = await github.rest.issues.listComments({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  issue_number: context.issue.number\n})\nconst botComment = comments.find(comment =\u003e {\n  return comment.user.type === 'Bot' \u0026\u0026 comment.body.includes(`Terraform Plan ('Opex')`)\n})\nconst commentBody = `#### 📖 Terraform Plan Opex ('${{ matrix.app }}') - ${status}\n\u003cdetails\u003e\n\u003csummary\u003eTerraform Plan\u003c/summary\u003e\n\n\\`\\`\\`hcl\n${output}\n\\`\\`\\`\n\n\u003c/details\u003e\n`;\nif (botComment) {\n  await github.rest.issues.deleteComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    comment_id: botComment.id\n  })\n}\nawait github.rest.issues.createComment({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  body: commentBody,\n  issue_number: context.issue.number\n})\n""}},{""name"":""Check Terraform Plan Result"",""if"":""always() \u0026\u0026 steps.plan.outcome != 'success'"",""run"":""exit 1\n""}]}},""name"":""PR Opex Dashboard openapi"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":["".github/workflows/pr-opex-multi.yaml"",""apps/vehicles/openapi/bff-openapi.yaml"",""apps/vehicles/.opex/**"",""apps/licences/openapi/bff-openapi.yaml"",""apps/licences/.opex/**""]}}}}"
117107081,Code Review,pagopa/io-ipatente,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""js_code_review"":{""uses"":""pagopa/dx/.github/workflows/js_code_review.yaml@main"",""name"":""Code Review"",""secrets"":""inherit""}},""name"":""Code Review"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""apps/**"",""packages/**"","".node-version""]}}}}"
