repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-ipatente","Patch iac","rodoviti",2024-08-08T13:32:02Z,2024-08-08T13:36:42Z,1,0.00,""
"pagopa/io-ipatente","[#IOPAE-1493] Setup iPatente Infra","giamma1295",2024-10-29T11:34:56Z,2024-11-07T08:48:15Z,60,8.88,""
"pagopa/io-ipatente","edit subnet cause already used","giamma1295",2024-11-07T11:12:30Z,2024-11-07T11:15:48Z,75,0.00,""
"pagopa/io-ipatente","[#IOPAE-1493] Role assignment fixes","Krusty93",2024-11-07T14:25:56Z,2024-11-07T14:52:11Z,78,0.02,"krusty93"
"pagopa/io-ipatente","Fix infra deploy","giamma1295",2024-11-07T16:03:28Z,2024-11-07T16:13:38Z,79,0.01,""
"pagopa/io-ipatente","[IOPAE-1536] Set autoscaling for vehicle app","giamma1295",2024-11-07T16:20:54Z,2024-11-07T16:23:29Z,80,0.00,""
"pagopa/io-ipatente","Assign kv reader role to vehicles app service","giamma1295",2024-11-08T09:25:37Z,2024-11-08T09:34:54Z,84,0.01,""
"pagopa/io-ipatente","Test trust host","giamma1295",2024-11-08T11:13:35Z,2024-11-08T11:20:13Z,88,0.00,""
"pagopa/io-ipatente","Test auth conf","giamma1295",2024-11-08T11:55:40Z,2024-11-08T13:42:11Z,90,0.07,""
"pagopa/io-ipatente","Staging role kv role assignment","giamma1295",2024-11-08T14:45:51Z,2024-11-08T15:01:47Z,92,0.01,""
"pagopa/io-ipatente","OIDC mock explict enable","giamma1295",2024-11-08T16:02:34Z,2024-11-08T16:08:54Z,95,0.00,""
"pagopa/io-ipatente","fix config typo","giamma1295",2024-11-08T16:13:51Z,2024-11-08T16:16:33Z,97,0.00,""
"pagopa/io-ipatente","Clean Opentelemetry Configuration","giamma1295",2024-11-12T10:31:08Z,2024-11-12T10:37:06Z,104,0.00,""
"pagopa/io-ipatente","[IOPAE-1530] vehicles soak test route","giamma1295",2024-11-13T13:41:03Z,2024-11-14T16:34:57Z,113,1.12,""
"pagopa/io-ipatente","[IOPAE-1564] Add licences app service","StefanoDoc",2024-11-14T13:29:05Z,2024-11-14T14:43:24Z,116,0.05,""
"pagopa/io-ipatente","[IOPAE-1565]Add licences autoscaler and licences deploy step to action","StefanoDoc",2024-11-14T15:32:46Z,2024-11-14T16:00:22Z,118,0.02,""
"pagopa/io-ipatente","[IOPAE-1567] bff keepalive config","StefanoDoc",2024-11-18T10:34:21Z,2024-11-18T10:41:07Z,126,0.00,""
"pagopa/io-ipatente","Set Vehicles appGateway url","giamma1295",2024-11-18T15:26:24Z,2024-11-18T15:31:17Z,128,0.00,""
"pagopa/io-ipatente","remove subpath on vehicles app for test","giamma1295",2024-11-19T09:06:05Z,2024-11-19T09:12:27Z,131,0.00,""
"pagopa/io-ipatente","[IOPAE-1571] Add roles to identity at DNS Zone resource group scope","Krusty93",2024-11-19T12:17:17Z,2024-11-19T14:00:49Z,135,0.07,"krusty93"
"pagopa/io-ipatente","update app service and env links","StefanoDoc",2024-11-20T14:48:02Z,2024-11-20T15:02:32Z,139,0.01,""
"pagopa/io-ipatente","[IOPAE-1571] Update module to give proper permissions to Opex scopes","Krusty93",2024-11-25T10:24:22Z,2024-11-26T13:48:42Z,147,1.14,"krusty93"
"pagopa/io-ipatente","[IOPAE-1602] infra payments practices","giamma1295",2024-11-26T11:26:54Z,2024-11-26T13:34:19Z,151,0.09,""
"pagopa/io-ipatente","Autoscaling and KV reader role for payments and practices applications","giamma1295",2024-11-26T14:30:14Z,2024-11-26T14:46:36Z,154,0.01,""
"pagopa/io-ipatente","disable MSW in prod for payments","giamma1295",2024-12-06T13:44:48Z,2024-12-06T13:53:36Z,162,0.01,""
"pagopa/io-ipatente","Configure payments practices mock deploy","giamma1295",2024-12-06T15:16:43Z,2024-12-06T15:26:34Z,164,0.01,""
"pagopa/io-ipatente","Vehicles production config","giamma1295",2024-12-10T10:16:06Z,2024-12-10T10:26:24Z,173,0.01,""
"pagopa/io-ipatente","Licences production configuration","giamma1295",2024-12-10T10:35:03Z,2024-12-10T10:48:39Z,174,0.01,""
"pagopa/io-ipatente","Bypass app gateway vehicles","giamma1295",2024-12-11T10:37:19Z,2024-12-11T10:57:28Z,192,0.01,""
"pagopa/io-ipatente","Revert app gateway","giamma1295",2024-12-11T11:53:32Z,2024-12-11T11:56:18Z,194,0.00,""
"pagopa/io-ipatente","Add missing configurations and log cleanup","giamma1295",2024-12-12T09:00:10Z,2024-12-12T09:28:51Z,204,0.02,""
"pagopa/io-ipatente","[IOPAE-1604]Production configuration practices payments","giamma1295",2024-12-13T13:32:42Z,2024-12-13T14:58:51Z,210,0.06,""
"pagopa/io-ipatente","[IOPAE-1587] Add consent screen","adelloste",2024-12-13T16:40:56Z,2024-12-16T12:28:43Z,213,2.82,""
"pagopa/io-ipatente","Disable otel ai vehicles","giamma1295",2024-12-16T14:50:48Z,2024-12-16T14:59:01Z,218,0.01,""
"pagopa/io-ipatente","Revert ai vehicles","giamma1295",2024-12-16T16:01:29Z,2024-12-16T16:31:58Z,220,0.02,""
"pagopa/io-ipatente","chore: added NEXT_PUBLIC_FIMS_PRIVACY_URL value","giuseppedipinto",2024-12-17T16:42:26Z,2024-12-18T10:16:49Z,235,0.73,""
"pagopa/io-ipatente","[IOPAE-1571] Update starter repo TF module with new properties","Krusty93",2024-12-23T15:47:00Z,2024-12-23T15:48:43Z,254,0.00,"krusty93"
"pagopa/io-ipatente","[IOPAE-1704] Setting Up Module Locking & Migrating to Registry Modules","StefanoDoc",2025-01-23T09:37:27Z,2025-01-28T09:37:26Z,257,5.00,""
"pagopa/io-ipatente","[IOPAE-1571] Move Repository Terraform configuration to public registry","Krusty93",2025-02-04T09:53:01Z,2025-02-04T10:35:40Z,259,0.03,"krusty93"
"pagopa/io-ipatente","[CES-589] Use AD auth to read Terraform state file and azurerm v4 upgrade","Krusty93",2025-02-06T08:50:52Z,2025-02-06T08:55:04Z,261,0.00,"krusty93"
"pagopa/io-ipatente","[IOPAE-1860]switch apim weu to apim itn","StefanoDoc",2025-02-24T16:14:20Z,2025-03-05T08:00:52Z,262,8.66,""
"pagopa/io-ipatente","Migrate to new terraform registry namespace","christian-calabrese",2025-03-20T08:38:00Z,2025-03-20T09:46:42Z,265,0.05,"christian-calabrese"
"pagopa/io-ipatente","[IOPAE-1932] update axios config","StefanoDoc",2025-03-25T13:44:37Z,2025-03-25T16:37:11Z,275,0.12,""
"pagopa/io-ipatente","[IOPAE-2136] Added @pagopa/azure-tracing for nextjs app tracing on azure","giuseppedipinto",2025-08-07T09:59:13Z,2025-08-26T13:23:03Z,322,19.14,""
"pagopa/io-ipatente","Upgrade bootstrap module to v3","Krusty93",2025-09-24T13:09:25Z,2025-09-29T13:59:45Z,330,5.03,"krusty93"
