module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-ipatente","infra/bootstrapper/prod/main.tf",82,"https://github.com/pagopa/io-ipatente/blob/main/infra/bootstrapper/prod/main.tf#L82"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-ipatente","infra/repository/main.tf",3,"https://github.com/pagopa/io-ipatente/blob/main/infra/repository/main.tf#L3"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/licences_app_service/autoscaler.tf",1,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/licences_app_service/autoscaler.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/licences_app_service/main.tf",5,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/licences_app_service/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/licences_app_service/main.tf",43,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/licences_app_service/main.tf#L43"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/licences_app_service/main.tf",59,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/licences_app_service/main.tf#L59"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/payments_app_service/autoscaler.tf",1,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/payments_app_service/autoscaler.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/payments_app_service/main.tf",5,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/payments_app_service/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/payments_app_service/main.tf",43,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/payments_app_service/main.tf#L43"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/payments_app_service/main.tf",59,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/payments_app_service/main.tf#L59"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/practices_app_service/autoscaler.tf",1,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/practices_app_service/autoscaler.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/practices_app_service/main.tf",5,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/practices_app_service/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/practices_app_service/main.tf",43,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/practices_app_service/main.tf#L43"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/practices_app_service/main.tf",59,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/practices_app_service/main.tf#L59"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/vehicles_app_service/autoscaler.tf",1,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/vehicles_app_service/autoscaler.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/vehicles_app_service/main.tf",5,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/vehicles_app_service/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/vehicles_app_service/main.tf",43,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/vehicles_app_service/main.tf#L43"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-ipatente","infra/resources/_modules/vehicles_app_service/main.tf",59,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/_modules/vehicles_app_service/main.tf#L59"
"../_modules/key_vault","local","terraform","","pagopa/io-ipatente","infra/resources/prod/main.tf",5,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/prod/main.tf#L5"
"../_modules/vehicles_app_service","local","terraform","","pagopa/io-ipatente","infra/resources/prod/main.tf",21,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/prod/main.tf#L21"
"../_modules/licences_app_service","local","terraform","","pagopa/io-ipatente","infra/resources/prod/main.tf",44,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/prod/main.tf#L44"
"../_modules/payments_app_service","local","terraform","","pagopa/io-ipatente","infra/resources/prod/main.tf",68,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/prod/main.tf#L68"
"../_modules/practices_app_service","local","terraform","","pagopa/io-ipatente","infra/resources/prod/main.tf",91,"https://github.com/pagopa/io-ipatente/blob/main/infra/resources/prod/main.tf#L91"
