repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/io-messages,Fix function app deployment workflow environment,5,REVIEW_REQUIRED,2024-06-13T09:49:18Z,2024-06-13T09:56:55Z,2024-06-13T09:56:55Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/43080407?u=f4f5e9be92234e9907cbab3858965432ece32eed\u0026v=4"",""login"":""christian-calabrese"",""url"":""https://github.com/christian-calabrese""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/43080407?u=f4f5e9be92234e9907cbab3858965432ece32eed\u0026v=4"",""login"":""christian-calabrese"",""url"":""https://github.com/christian-calabrese""}",1,0
pagopa/io-messages,build(deps): bump nodemailer from 6.9.1 to 6.9.9 in /apps/msgs-sending-func,1,REVIEW_REQUIRED,2024-06-05T15:18:23Z,2024-06-06T09:39:08Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/in/29110?v=4"",""login"":""dependabot"",""url"":""https://github.com/apps/dependabot""}",2,1
pagopa/io-messages,Iocom 1876 etl func compose,61,APPROVED,2024-11-20T15:28:59Z,2024-12-04T14:43:35Z,2024-12-04T14:43:35Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/64153597?u=cc9de875eb15236dcfbb989d1bc7c32d41844fe7\u0026v=4"",""login"":""Garma00"",""url"":""https://github.com/Garma00""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/56083538?v=4"",""login"":""lucamancosu"",""url"":""https://github.com/lucamancosu""}",395,40
pagopa/io-messages,build(deps): bump express from 4.18.2 to 4.19.2 in /apps/msgs-sending-func,2,REVIEW_REQUIRED,2024-06-05T15:18:26Z,2024-06-06T09:39:09Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/in/29110?v=4"",""login"":""dependabot"",""url"":""https://github.com/apps/dependabot""}",1,1
pagopa/io-messages,fix: fix integration tests in code-review,60,APPROVED,2024-11-20T10:26:59Z,2024-11-20T13:24:57Z,2024-11-20T13:24:57Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/64153597?u=cc9de875eb15236dcfbb989d1bc7c32d41844fe7\u0026v=4"",""login"":""Garma00"",""url"":""https://github.com/Garma00""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/64153597?u=cc9de875eb15236dcfbb989d1bc7c32d41844fe7\u0026v=4"",""login"":""Garma00"",""url"":""https://github.com/Garma00""}",3,0
pagopa/io-messages,Add app-prod-cd github environment,4,REVIEW_REQUIRED,2024-06-13T08:00:56Z,2024-06-13T08:20:40Z,2024-06-13T08:20:40Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/43080407?u=f4f5e9be92234e9907cbab3858965432ece32eed\u0026v=4"",""login"":""christian-calabrese"",""url"":""https://github.com/christian-calabrese""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/43080407?u=f4f5e9be92234e9907cbab3858965432ece32eed\u0026v=4"",""login"":""christian-calabrese"",""url"":""https://github.com/christian-calabrese""}",60,0
pagopa/io-messages,fix(etl-func): refactor for clean architecture,75,APPROVED,2024-12-11T10:47:40Z,2024-12-12T10:33:17Z,2024-12-12T10:33:17Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/63703872?v=4"",""login"":""acuiuli"",""url"":""https://github.com/acuiuli""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/63703872?v=4"",""login"":""acuiuli"",""url"":""https://github.com/acuiuli""}",243,2
pagopa/io-messages,Version Packages,15,REVIEW_REQUIRED,2024-07-29T15:39:38Z,2024-07-29T15:40:33Z,2024-07-29T15:40:33Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",14,0
pagopa/io-messages,[IOCOM-1502] Setup msgs-sending-func,3,APPROVED,2024-06-11T08:10:16Z,2024-06-12T15:01:57Z,2024-06-12T15:01:57Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/15191694?u=0e5506a42cad2dec4c2477bd05efa200f74c432f\u0026v=4"",""login"":""michaeldisaro"",""url"":""https://github.com/michaeldisaro""}",2453,6
pagopa/io-messages,Version Packages,25,APPROVED,2024-09-09T07:58:47Z,2024-09-09T08:01:12Z,2024-09-09T08:01:12Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/64153597?u=cc9de875eb15236dcfbb989d1bc7c32d41844fe7\u0026v=4"",""login"":""Garma00"",""url"":""https://github.com/Garma00""}","{""avatar_url"":""https://avatars.githubusercontent.com/in/15368?v=4"",""login"":""github-actions"",""url"":""https://github.com/apps/github-actions""}",7,0
