id,name,repository_full_name,pipeline
137209174,Deploy (etl-func),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""etl_func_deploy"":{""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@1a293db2ffa9121e95250a6ad7382b7608b41f05"",""name"":""Deploy"",""secrets"":""inherit"",""with"":{""workspace_name"":""etl-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-com-rg-01"",""web_app_name"":""io-p-itn-com-etl-func-01"",""use_staging_slot"":true,""use_private_agent"":true}}},""name"":""Deploy (etl-func)"",""on"":{""workflow_dispatch"":{}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
162357423,Deploy (cqrs-func),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""cqrs_func_deploy"":{""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@1a293db2ffa9121e95250a6ad7382b7608b41f05"",""secrets"":""inherit"",""with"":{""workspace_name"":""cqrs-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-com-rg-01"",""function_app_name"":""io-p-itn-com-cqrs-func-01"",""use_staging_slot"":true}}},""name"":""Deploy (cqrs-func)"",""on"":{""workflow_dispatch"":{}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
102167857,Labeler,pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""labeler"":{""name"":""PR Labeler"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Check out repository"",""uses"":""actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683""},{""name"":""Label PR"",""uses"":""actions/labeler@8558fd74291d67161a8a78ce36a881fa63b766a9"",""with"":{""sync-labels"":true}}]}},""name"":""Labeler"",""on"":{""workflow_dispatch"":null,""pull_request"":{""branches"":[""main""],""types"":[""opened"",""synchronize""]}},""permissions"":{""contents"":""read"",""pull-requests"":""write""}}}"
102385901,Apply (resources),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""infra_release"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Release Infrastructure"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""use_private_agent"":true,""override_github_environment"":""infra-prod""}}},""name"":""Apply (resources)"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""main""],""paths"":[""infra/resources/**""]}},""permissions"":{""id-token"":""write"",""contents"":""read"",""pull-requests"":""write""}}}"
169579695,Deploy (payment-updater),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release"":{""uses"":""pagopa/dx/.github/workflows/release-azure-containerapp-v1.yaml@main"",""name"":""Deploy"",""secrets"":""inherit"",""with"":{""dockerfile_path"":""./apps/payment-updater/Dockerfile"",""dockerfile_context"":""./apps/payment-updater"",""docker_image_name"":""pagopa/io-com-payment-updater"",""docker_image_description"":""Payment Updater Service for IO App"",""container_app"":""io-p-itn-com-paymentup-ca-01"",""resource_group_name"":""io-p-itn-com-rg-01"",""environment"":""app-prod""}}},""name"":""Deploy (payment-updater)"",""on"":{""workflow_dispatch"":null},""permissions"":{""contents"":""read"",""id-token"":""write"",""packages"":""write"",""attestations"":""write""}}}"
177801162,Deploy (send-func),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""ops_func_deploy"":{""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@1a293db2ffa9121e95250a6ad7382b7608b41f05"",""name"":""Deploy"",""secrets"":""inherit"",""with"":{""workspace_name"":""send-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-com-rg-01"",""web_app_name"":""io-p-itn-com-send-func-01"",""use_staging_slot"":true,""use_private_agent"":true}}},""name"":""Deploy (send-func)"",""on"":{""workflow_dispatch"":{}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
137209173,Deploy (citizen-func),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""citizen_func_deploy"":{""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@1a293db2ffa9121e95250a6ad7382b7608b41f05"",""secrets"":""inherit"",""with"":{""workspace_name"":""citizen-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-com-rg-01"",""function_app_name"":""io-p-itn-com-citizen-func-02"",""use_staging_slot"":true}}},""name"":""Deploy (citizen-func)"",""on"":{""workflow_dispatch"":{}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
103501567,CodeQL,pagopa/io-messages,<nil>
102167859,Code Review,pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""js_code_review"":{""uses"":""pagopa/dx/.github/workflows/js_code_review.yaml@6296e4cc8a6602b1fa65a70ea2725c2b3e4e56c7"",""name"":""Code Review"",""secrets"":""inherit""}},""name"":""Code Review"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""apps/**"",""packages/**""]}},""permissions"":{""contents"":""read"",""pull-requests"":""write""}}}"
173040241,Deploy (rc-func),pagopa/io-messages,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@1a293db2ffa9121e95250a6ad7382b7608b41f05"",""secrets"":""inherit"",""with"":{""workspace_name"":""rc-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-com-rg-01"",""function_app_name"":""io-p-itn-com-rc-func-01"",""use_staging_slot"":true}}},""name"":""Deploy (rc-func)"",""on"":{""workflow_dispatch"":{}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
