repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-messages","[IOCOM-1502] Setup msgs-sending-func","michaeldisaro",2024-06-11T08:10:16Z,2024-06-12T15:01:57Z,3,1.29,""
"pagopa/io-messages","Add app-prod-cd github environment","christian-calabrese",2024-06-13T08:00:56Z,2024-06-13T08:20:40Z,4,0.01,"christian-calabrese"
"pagopa/io-messages","[INFRA] Fixed connections strings","michaeldisaro",2024-06-14T13:59:31Z,2024-06-14T14:02:58Z,7,0.00,""
"pagopa/io-messages","Add notif-func with MigrateGcmToFcmV1","Garma00",2024-07-02T16:14:03Z,2024-07-15T10:09:36Z,8,12.75,""
"pagopa/io-messages","Setup io-p-itn-msgs-notif-func","lucacavallaro",2024-07-03T16:17:37Z,2024-07-04T07:42:34Z,9,0.64,"lucacavallaro"
"pagopa/io-messages","[#IOCOM-1516] io-functions-app-messages porting to monorepo","michaeldisaro",2024-07-16T14:29:32Z,2024-07-24T08:22:47Z,10,7.75,""
"pagopa/io-messages","infra:fixed infra","michaeldisaro",2024-07-24T09:34:37Z,2024-07-24T09:37:30Z,11,0.00,""
"pagopa/io-messages","[IOCOM-1697] Added NAT Gateway bindings","michaeldisaro",2024-09-04T09:01:14Z,2024-09-04T09:39:26Z,19,0.03,""
"pagopa/io-messages","feat(monitoring): add new action group","Garma00",2024-09-11T09:14:15Z,2024-09-12T13:30:40Z,26,1.18,""
"pagopa/io-messages","fix: fixed pagopa/dx module version","acuiuli",2024-09-12T07:31:45Z,2024-09-12T07:42:28Z,27,0.01,""
"pagopa/io-messages","feat: added action group io_com_error to functions","acuiuli",2024-09-12T15:30:08Z,2024-09-16T10:49:56Z,30,3.81,""
"pagopa/io-messages","Edit repository settings (rebase merging, update pull request branches)","lucacavallaro",2024-09-13T13:44:03Z,2024-09-16T09:27:22Z,32,2.82,"lucacavallaro"
"pagopa/io-messages","[CES-22] Import iopstapi and related storage accounts","Krusty93",2024-09-17T09:35:01Z,2024-09-18T08:08:16Z,36,0.94,"krusty93"
"pagopa/io-messages","[CES-28] Import Notification Hubs","Krusty93",2024-09-17T14:54:09Z,2024-09-19T13:11:19Z,37,1.93,"krusty93"
"pagopa/io-messages","feat(etl-func): init setup etl function app","acuiuli",2024-09-24T15:35:41Z,2024-10-02T16:06:30Z,39,8.02,""
"pagopa/io-messages","[IOCOM-1798] Scale up io-p-itn-msgs-sending-func, add citizen-func-deploy workflow","lucacavallaro",2024-09-30T10:42:59Z,2024-10-03T14:47:19Z,43,3.17,"lucacavallaro"
"pagopa/io-messages","Disable unused function and change domain name","lucacavallaro",2024-10-02T10:02:07Z,2024-10-02T15:30:07Z,44,0.23,"lucacavallaro"
"pagopa/io-messages","fix: add itn-com-rg to identity","lucacavallaro",2024-10-02T16:26:15Z,2024-10-02T17:12:29Z,45,0.03,"lucacavallaro"
"pagopa/io-messages","fix(infra/etl-func): change health check path","lucacavallaro",2024-10-02T17:22:55Z,2024-10-03T08:48:48Z,46,0.64,"lucacavallaro"
"pagopa/io-messages","fix(infra): remove FUNCTIONS_WORKER_PROCESS_COUNT","lucacavallaro",2024-10-03T15:51:02Z,2024-10-09T14:16:16Z,47,5.93,"lucacavallaro"
"pagopa/io-messages","feat(fn-etl): tokenize-fiscal-code","acuiuli",2024-10-08T14:03:59Z,2024-11-14T09:57:59Z,49,36.83,""
