module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-messages","infra/bootstrapper/prod/main.tf",114,"https://github.com/pagopa/io-messages/blob/main/infra/bootstrapper/prod/main.tf#L114"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-messages","infra/repository/main.tf",3,"https://github.com/pagopa/io-messages/blob/main/infra/repository/main.tf#L3"
"pagopa-dx/azure-container-app-environment/azurerm","registry","terraform","~> 1.0","pagopa/io-messages","infra/resources/_modules/container_apps/com_cae.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/container_apps/com_cae.tf#L1"
"pagopa-dx/azure-container-app/azurerm","registry","terraform","~> 3.0","pagopa/io-messages","infra/resources/_modules/container_apps/paymentup_ca.tf",21,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/container_apps/paymentup_ca.tf#L21"
"pagopa-dx/azure-container-app/azurerm","registry","terraform","~> 3.0","pagopa/io-messages","infra/resources/_modules/container_apps/reminder_ca.tf",61,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/container_apps/reminder_ca.tf#L61"
"github.com/pagopa/terraform-azurerm-v4//cosmosdb_sql_container?ref=v1.2.1","registry","terraform","v1.2.1","pagopa/io-messages","infra/resources/_modules/cosmos/cosmos_etl_messages.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/cosmos/cosmos_etl_messages.tf#L1"
"pagopa-dx/azure-cosmos-account/azurerm","registry","terraform","0.2.0","pagopa/io-messages","infra/resources/_modules/cosmos/io_com_cosmos.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/cosmos/io_com_cosmos.tf#L1"
"pagopa-dx/azure-event-hub/azurerm","registry","terraform","~> 0.0","pagopa/io-messages","infra/resources/_modules/eventhubs/etl.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/eventhubs/etl.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//cosmosdb_account?ref=v7.13.0","registry","terraform","v7.13.0","pagopa/io-messages","infra/resources/_modules/mongo/messages.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/mongo/messages.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//cosmosdb_mongodb_collection?ref=v7.13.0","registry","terraform","v7.13.0","pagopa/io-messages","infra/resources/_modules/mongo/messages.tf",76,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/mongo/messages.tf#L76"
"git::https://github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_account?ref=v7.13.0","git","terraform","v7.13.0","pagopa/io-messages","infra/resources/_modules/mongo/payments.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/mongo/payments.tf#L1"
"git::https://github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_mongodb_collection?ref=v7.13.0","git","terraform","v7.13.0","pagopa/io-messages","infra/resources/_modules/mongo/payments.tf",74,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/mongo/payments.tf#L74"
"git::https://github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_mongodb_collection?ref=v7.13.0","git","terraform","v7.13.0","pagopa/io-messages","infra/resources/_modules/mongo/payments.tf",101,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/mongo/payments.tf#L101"
"github.com/pagopa/terraform-azurerm-v4//storage_account?ref=v1.2.1","registry","terraform","v1.2.1","pagopa/io-messages","infra/resources/_modules/storage_accounts/storage_account_api.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/storage_accounts/storage_account_api.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//storage_account?ref=v1.2.1","registry","terraform","v1.2.1","pagopa/io-messages","infra/resources/_modules/storage_accounts/storage_account_api_events.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/storage_accounts/storage_account_api_events.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//storage_account?ref=v1.2.1","registry","terraform","v1.2.1","pagopa/io-messages","infra/resources/_modules/storage_accounts/storage_account_api_replica.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/storage_accounts/storage_account_api_replica.tf#L1"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","1.0.1","pagopa/io-messages","infra/resources/_modules/storage_accounts/storage_account_io_com.tf",1,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/storage_accounts/storage_account_io_com.tf#L1"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 0.0","pagopa/io-messages","infra/resources/_modules/web_apps/citizen-func.tf",53,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/web_apps/citizen-func.tf#L53"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 1.0","pagopa/io-messages","infra/resources/_modules/web_apps/citizen-func.tf",137,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/web_apps/citizen-func.tf#L137"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 4.0","pagopa/io-messages","infra/resources/_modules/web_apps/citizen-func.tf",177,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/web_apps/citizen-func.tf#L177"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 1.0","pagopa/io-messages","infra/resources/_modules/web_apps/citizen-func.tf",261,"https://github.com/pagopa/io-messages/blob/main/infra/resources/_modules/web_apps/citizen-func.tf#L261"
