id,name,repository_full_name,pipeline
56228315,CodeQL,pagopa/io-services-cms,<nil>
99198295,Terraform apply multiregion,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""infra_release_prod_itn"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Terraform apply"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""use_private_agent"":true,""override_github_environment"":""infra-prod""}}},""name"":""Terraform apply multiregion"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""master""],""paths"":[""infra/resources/prod/**"",""infra/resources/_modules/**"","".github/workflows/infra-release-p.yml""]}}}}"
196215855,Deploy App Backend Container App,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy App Backend as Container App"",""concurrency"":{""group"":""${{ github.workflow }}-cd"",""cancel-in-progress"":false},""uses"":""pagopa/dx/.github/workflows/release-azure-containerapp-v1.yaml@main"",""secrets"":""inherit"",""with"":{""dockerfile_path"":""./apps/app-backend/Dockerfile"",""dockerfile_context"":""."",""docker_image_name"":""pagopa/io-services-app-backend"",""docker_image_description"":""Test app for function container app"",""container_app"":""io-p-itn-svc-app-be-func-02"",""resource_group_name"":""io-p-itn-svc-rg-01"",""environment"":""app-prod""}}},""name"":""Deploy App Backend Container App"",""on"":""workflow_dispatch"",""permissions"":{""contents"":""read"",""id-token"":""write"",""packages"":""write"",""attestations"":""write""}}}"
56278074,Azure Deploy Manual,pagopa/io-services-cms,"{""Steps"":[],""Env"":{""RESOURCE_GROUP_NAME"":""io-p-itn-svc-rg-01"",""AZURE_WEBAPP_NAME"":""io-p-itn-svc-cms-func-01"",""AZURE_BACKOFFICE_NAME"":""io-p-itn-svc-bo-app-01"",""AZURE_APP_BE_NAME"":""io-p-itn-svc-app-be-func-01"",""WEBAPP_HEALTHCHECK_PATH"":""api/v1/info"",""BACKOFFICE_HEALTHCHECK_PATH"":""api/info"",""APP_BE_HEALTHCHECK_PATH"":""api/v1/info""},""RemainingFields"":{""jobs"":{""deployments"":{""name"":""App Deployments"",""runs-on"":[""self-hosted""],""environment"":""app-prod-cd"",""steps"":[{""name"":""Download artifact"",""id"":""download_artifact"",""run"":""curl --output artifact.zip --location ${{ github.event.inputs.package_url }}""},{""name"":""Identify workload"",""id"":""workload"",""shell"":""bash"",""run"":""# Parse the release artifact name to retrieve app name\necho name=$(echo \""${{ contains(github.event.inputs.package_url, 'webapp') \u0026\u0026 env.AZURE_WEBAPP_NAME || env.AZURE_BACKOFFICE_NAME }}\"") \u003e\u003e \""$GITHUB_OUTPUT\""\n""},{""name"":""Login"",""id"":""login"",""uses"":""azure/login@92a5484dfaf04ca78a94597f4f19fea633851fa2"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Deploy to staging"",""if"":""contains(github.event.inputs.package_url, 'webapp')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_WEBAPP_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'webapp')"",""id"":""healthcheck"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_WEBAPP_NAME }}-staging.azurewebsites.net/${{ env.WEBAPP_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap staging to production"",""if"":""contains(github.event.inputs.package_url, 'webapp')"",""id"":""swap_to_production"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_WEBAPP_NAME }} --slot staging --target-slot production""},{""name"":""Deploy Backoffice to staging"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_BACKOFFICE_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Backoffice Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""id"":""healthcheck_backoffice"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_BACKOFFICE_NAME }}-staging.azurewebsites.net/${{ env.BACKOFFICE_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Backoffice staging to production"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""id"":""swap_to_production_backoffice"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_BACKOFFICE_NAME }} --slot staging --target-slot production""},{""name"":""Deploy App Backend to staging"",""if"":""contains(github.event.inputs.package_url, 'app-backend')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_APP_BE_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""App Backend Healthcheck"",""if"":""contains(github.event.inputs.package_url, 'app-backend')"",""id"":""healthcheck_appbackend"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_APP_BE_NAME }}-staging.azurewebsites.net/${{ env.APP_BE_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap App Backend staging to production"",""if"":""contains(github.event.inputs.package_url, 'app-backend')"",""id"":""swap_to_production_appbackend"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_NAME }} -n ${{ env.AZURE_APP_BE_NAME }} --slot staging --target-slot production""}]}},""name"":""Azure Deploy Manual"",""on"":{""workflow_dispatch"":{""inputs"":{""package_url"":{""required"":true,""type"":""string""}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
99183639,Terraform plan multiregion,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""infra_review"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Terraform plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""use_private_agent"":true,""override_github_environment"":""infra-prod""}}},""name"":""Terraform plan multiregion"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/resources/prod/**"",""infra/resources/_modules/**"","".github/workflows/infra-review-p.yml""]}}}}"
58926371,Terraform plan weu,pagopa/io-services-cms,"{""Steps"":[],""Env"":{""DIR"":""infra/src"",""AZURE_ENVIRONMENT"":""prod""},""RemainingFields"":{""jobs"":{""terraform_plan_job"":{""name"":""Terraform Plan"",""runs-on"":[""self-hosted""],""environment"":""infra-prod-ci"",""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@1f9a0c22da41e6ebfa534300ef656657ea2c6707"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""name"":""Setup terraform"",""id"":""setup-version"",""uses"":""pagopa/eng-github-actions-iac-template/terraform/terraform-install-action@main""},{""name"":""Terraform plan"",""uses"":""pagopa/eng-github-actions-iac-template/azure/terraform-plan-azure-action@main"",""with"":{""client_id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant_id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription_id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""dir"":""${{ env.DIR }}"",""azure_environment"":""prod""}}]}},""name"":""Terraform plan weu"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/src/**"","".github/workflows/infra-ci.yml""]}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
110400891,Azure Deploy Manual,pagopa/io-services-cms,"{""Steps"":[],""Env"":{""RESOURCE_GROUP_ITN"":""io-p-itn-svc-rg-01"",""AZURE_BACKOFFICE_NAME"":""io-p-itn-svc-bo-app-01"",""BACKOFFICE_HEALTHCHECK_PATH"":""api/info""},""RemainingFields"":{""jobs"":{""deployments"":{""name"":""App Deployments"",""runs-on"":[""self-hosted""],""environment"":""app-prod-cd"",""steps"":[{""name"":""Download artifact"",""id"":""download_artifact"",""run"":""curl --output artifact.zip --location ${{ github.event.inputs.package_url }}""},{""name"":""Identify workload"",""id"":""workload"",""shell"":""bash"",""run"":""# Parse the release artifact name to retrieve app name\necho name=$(echo \""${{ contains(github.event.inputs.package_url, 'webapp') \u0026\u0026 env.AZURE_WEBAPP_NAME || env.AZURE_BACKOFFICE_NAME }}\"") \u003e\u003e \""$GITHUB_OUTPUT\""\n""},{""name"":""Login"",""id"":""login"",""uses"":""azure/login@92a5484dfaf04ca78a94597f4f19fea633851fa2"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Deploy Backoffice to staging ITN"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""uses"":""azure/webapps-deploy@145a0687697df1d8a28909569f6e5d86213041f9"",""with"":{""app-name"":""${{ env.AZURE_BACKOFFICE_NAME }}"",""package"":""artifact.zip"",""slot-name"":""staging"",""clean"":true}},{""name"":""Backoffice Healthcheck ITN"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""id"":""healthcheck_backoffice"",""run"":""sleep 30\ncurl --retry 5 --retry-max-time 120 --retry-all-errors --fail-with-body 'https://${{ env.AZURE_BACKOFFICE_NAME }}-staging.azurewebsites.net/${{ env.BACKOFFICE_HEALTHCHECK_PATH }}'\n""},{""name"":""Swap Backoffice staging to production ITN"",""if"":""contains(github.event.inputs.package_url, 'backoffice')"",""id"":""swap_to_production_backoffice"",""run"":""az webapp deployment slot swap -g ${{ env.RESOURCE_GROUP_ITN }} -n ${{ env.AZURE_BACKOFFICE_NAME }} --slot staging --target-slot production""}]}},""name"":""Azure Deploy Manual"",""on"":{""workflow_dispatch"":{""inputs"":{""package_url"":{""required"":true,""type"":""string""}}}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
56184547,Static Analysis,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""tf_analysis"":{""uses"":""pagopa/dx/.github/workflows/static_analysis.yaml@8fd8da4ece3ea29908b983fd8960366efb914253"",""name"":""Terraform Validation"",""secrets"":""inherit"",""with"":{""pre_commit_tf_tag"":""v1.97.0@sha256:d5e2233e199bd97566e20db5bbaf5f1db67edd5398660da3b61b1b6163f28ff1"",""enable_modified_files_detection"":true}}},""name"":""Static Analysis"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""infra/**"","".terraform-version"","".pre-commit-config.yaml"","".trivyignore""]}}}}"
54062678,Code Review,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review"":{""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Check out code"",""uses"":""actions/checkout@8e5e7e5ab8b370d6c329ec480221332ada57f0ab"",""with"":{""fetch-depth"":2}},{""name"":""Setup Node.js environment"",""uses"":""actions/setup-node@64ed1c7eab4cce3362f8c340dee64e5eaeef8f7c"",""with"":{""node-version-file"":"".node-version"",""cache"":""yarn""}},{""name"":""Install dependencies"",""run"":""yarn install --immutable""},{""name"":""Cache turbo build setup"",""uses"":""actions/cache@1bd1e32a3bdc45362d1e726936510720a7c30a57"",""with"":{""path"":"".turbo"",""key"":""${{ runner.os }}-turbo-${{ github.sha }}"",""restore-keys"":""${{ runner.os }}-turbo-\n""}},{""name"":""Code review"",""run"":""yarn run code-review""},{""name"":""Report App Backend Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./apps/app-backend/coverage/*.json') != '' }}"",""with"":{""name"":""App Backend"",""working-directory"":""./apps/app-backend""}},{""name"":""Report Backoffice Frontend Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./apps/backoffice/coverage/frontend/*.json') != '' }}"",""with"":{""name"":""Backoffice Frontend"",""working-directory"":""./apps/backoffice"",""vite-config-path"":""vitest.config.react.ts"",""json-summary-path"":""coverage/frontend/coverage-summary.json"",""json-final-path"":""coverage/frontend/coverage-final.json""}},{""name"":""Report Backoffice Backend Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./apps/backoffice/coverage/backend/*.json') != '' }}"",""with"":{""name"":""Backoffice Backend"",""working-directory"":""./apps/backoffice"",""vite-config-path"":""vitest.config.node.ts"",""json-summary-path"":""coverage/backend/coverage-summary.json"",""json-final-path"":""coverage/backend/coverage-final.json""}},{""name"":""Report Webapp Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./apps/io-services-cms-webapp/coverage/*.json') != '' }}"",""with"":{""name"":""Webapp"",""working-directory"":""./apps/io-services-cms-webapp""}},{""name"":""Report External Clients Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./packages/external-clients/coverage/*.json') != '' }}"",""with"":{""name"":""External Clients"",""working-directory"":""./packages/external-clients""}},{""name"":""Report Models Coverage"",""uses"":""davelosert/vitest-coverage-report-action@9fd25c0d0394bfd0ffa632777316402c2e5fb81f"",""if"":""${{ hashFiles('./packages/io-services-cms-models/coverage/*.json') != '' }}"",""with"":{""name"":""Models"",""working-directory"":""./packages/io-services-cms-models""}}]}},""name"":""Code Review"",""on"":{""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""apps/**"",""packages/**"",""package.json""]},""workflow_dispatch"":null}}}"
52840501,Labeler,pagopa/io-services-cms,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""label"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""contents"":""read"",""pull-requests"":""write""},""steps"":[{""uses"":""actions/labeler@ba790c862c380240c6d5e7427be5ace9a05c754b"",""with"":{""repo-token"":""${{ secrets.GITHUB_TOKEN }}""}},{""uses"":""actions/github-script@98814c53be79b1d30f795b907e553d8679345975"",""id"":""set-result"",""with"":{""script"":""const config = {\n  docs: /^docs/,\n  bug: /^bug/,\n  fix: /^fix/,\n  chore: /^chore/,\n  feat: /^feat/,\n  build: /^build/,\n  ci: /^ci/,\n  refactor: /^refactor/,\n  \""breaking-change\"": /!:/,\n};\n\nconst labels = Object.entries(config).reduce(\n  (acc, cur) =\u003e (context.payload.pull_request.title.match(cur[1]) \n    ? [...acc, cur[0]] : acc),\n  []\n);\n\nif (labels.length \u003e 0) {\n  await github.rest.issues.addLabels({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    issue_number: context.payload.pull_request.number,\n    labels: labels\n  });\n}\n"",""result-encoding"":""string""}}]}},""name"":""Labeler"",""on"":[""pull_request""]}}"
