repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-services-cms","[IOPAE-278] Setup infrastructure","balanza",2023-04-17T21:58:03Z,2023-04-18T13:43:13Z,7,0.66,""
"pagopa/io-services-cms","[IOPAE-296] add postgres","rodoviti",2023-04-21T13:57:07Z,2023-04-28T09:48:34Z,13,6.83,""
"pagopa/io-services-cms","[IOPAE-279] service review handler","rodoviti",2023-05-02T11:26:20Z,2023-05-09T09:56:47Z,25,6.94,""
"pagopa/io-services-cms","[IOPAE-304]Add configuration app in infra","StefanoDoc",2023-05-03T14:39:04Z,2023-05-04T09:03:28Z,33,0.77,""
"pagopa/io-services-cms","Rename Azure resources","balanza",2023-05-03T21:36:20Z,2023-05-03T21:36:35Z,34,0.00,""
"pagopa/io-services-cms","[IOPAE-308] create postgres db migration","rodoviti",2023-05-05T15:51:17Z,2023-05-09T08:53:48Z,39,3.71,""
"pagopa/io-services-cms","[IOPAE-240] Add `CreateService` endpoint","balanza",2023-05-09T03:55:02Z,2023-05-09T14:51:15Z,43,0.46,""
"pagopa/io-services-cms","feat: [IOPAE-315] setup timerTrigger fb for service review checker (poller)","rodoviti",2023-05-11T15:21:43Z,2023-05-15T15:26:34Z,50,4.00,""
"pagopa/io-services-cms","[IOPAE-318] Setup `OnLegacyServiceChange` function","balanza",2023-05-16T07:48:53Z,2023-05-18T15:12:09Z,53,2.31,""
"pagopa/io-services-cms","feat: [IOPAE-312] add on service lifecycle change handler","rodoviti",2023-05-17T14:51:59Z,2023-05-18T11:30:35Z,56,0.86,""
"pagopa/io-services-cms","fix: storage account public access unless private endpoint","manuelcoppotelli",2023-05-18T16:41:22Z,2023-05-18T16:49:33Z,62,0.01,""
"pagopa/io-services-cms","bugfix: fix errors when running app","rodoviti",2023-05-19T14:02:08Z,2023-05-22T13:41:19Z,70,2.99,""
"pagopa/io-services-cms","[#IOPAE-250] Make approved service as publicable","giuseppedipinto",2023-05-24T13:04:58Z,2023-05-26T14:16:52Z,82,2.05,""
"pagopa/io-services-cms","[#IOPAE-247] Service Publication Watcher","giuseppedipinto",2023-05-25T14:38:57Z,2023-06-05T11:50:32Z,87,10.88,""
