module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-services-cms","infra/bootstrapper/prod/main.tf",86,"https://github.com/pagopa/io-services-cms/blob/master/infra/bootstrapper/prod/main.tf#L86"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-services-cms","infra/repository/main.tf",3,"https://github.com/pagopa/io-services-cms/blob/master/infra/repository/main.tf#L3"
"github.com/pagopa/terraform-azurerm-v4//subnet?ref=v7.20.0","registry","terraform","v7.20.0","pagopa/io-services-cms","infra/resources/_modules/ai_search/networking.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/ai_search/networking.tf#L1"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 2.0.1","pagopa/io-services-cms","infra/resources/_modules/backoffice/main.tf",5,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/backoffice/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/backoffice/rbac.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/backoffice/rbac.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/backoffice/rbac.tf",15,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/backoffice/rbac.tf#L15"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 2.0","pagopa/io-services-cms","infra/resources/_modules/cms_function_app/main.tf",5,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/cms_function_app/main.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/cms_function_app/rbac.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/cms_function_app/rbac.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/cms_function_app/rbac.tf",23,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/cms_function_app/rbac.tf#L23"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 2.0","pagopa/io-services-cms","infra/resources/_modules/cms_function_app/storage_account.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/cms_function_app/storage_account.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_container_app?ref=CES-1339-modificare-il-modulo-terraform-per-azure-function-per-supportare-container-app","registry","terraform","CES-1339-modificare-il-modulo-terraform-per-azure-function-per-supportare-container-app","pagopa/io-services-cms","infra/resources/_modules/container_apps/backend_func.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/container_apps/backend_func.tf#L1"
"pagopa-dx/azure-container-app-environment/azurerm","registry","terraform","~> 1.0","pagopa/io-services-cms","infra/resources/_modules/container_apps/main.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/container_apps/main.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/container_apps/rbac.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/container_apps/rbac.tf#L1"
"pagopa-dx/azure-event-hub/azurerm","registry","terraform","~> 0.0","pagopa/io-services-cms","infra/resources/_modules/eventhub/main.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/eventhub/main.tf#L1"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 2.0","pagopa/io-services-cms","infra/resources/_modules/function_app/main.tf",5,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/function_app/main.tf#L5"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 2.0","pagopa/io-services-cms","infra/resources/_modules/function_app/monitoring.tf",5,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/function_app/monitoring.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/function_app/rbac.tf",13,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/function_app/rbac.tf#L13"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.2","pagopa/io-services-cms","infra/resources/_modules/function_app/rbac.tf",40,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/function_app/rbac.tf#L40"
"pagopa-dx/azure-storage-account/azurerm","registry","terraform","~> 2.0","pagopa/io-services-cms","infra/resources/_modules/function_app/storage_account.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/function_app/storage_account.tf#L1"
"github.com/pagopa/terraform-azurerm-v4.git//key_vault?ref=v7.20.0","registry","terraform","v7.20.0","pagopa/io-services-cms","infra/resources/_modules/key_vault/main.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/key_vault/main.tf#L1"
"pagopa-dx/azure-postgres-server/azurerm","registry","terraform","~> 1","pagopa/io-services-cms","infra/resources/_modules/postgres/main.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/postgres/main.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//subnet?ref=v7.20.0","registry","terraform","v7.20.0","pagopa/io-services-cms","infra/resources/_modules/postgres/network.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/_modules/postgres/network.tf#L1"
"../_modules/key_vault","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",2,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L2"
"../_modules/monitor","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",14,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L14"
"../_modules/ai_search","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",33,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L33"
"../_modules/function_app","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",54,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L54"
"../_modules/cms_function_app","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",82,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L82"
"../_modules/backoffice","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",124,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L124"
"../_modules/eventhub","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",153,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L153"
"../_modules/postgres","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",173,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L173"
"../_modules/container_apps","local","terraform","","pagopa/io-services-cms","infra/resources/prod/main.tf",207,"https://github.com/pagopa/io-services-cms/blob/master/infra/resources/prod/main.tf#L207"
"github.com/pagopa/terraform-azurerm-v4.git//api_management_api?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/apim_itn_api.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/apim_itn_api.tf#L1"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_account?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/database_cms.tf",2,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/database_cms.tf#L2"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_sql_container?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/database_cms.tf",84,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/database_cms.tf#L84"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_sql_container?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/database_cms.tf",96,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/database_cms.tf#L96"
"github.com/pagopa/terraform-azurerm-v4.git//key_vault?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/key_vault.tf",1,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/key_vault.tf#L1"
"github.com/pagopa/terraform-azurerm-v4.git//subnet?ref=v7.18.1","registry","terraform","v7.18.1","pagopa/io-services-cms","infra/src/network.tf",5,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/network.tf#L5"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 1.0","pagopa/io-services-cms","infra/src/rbac.tf",6,"https://github.com/pagopa/io-services-cms/blob/master/infra/src/rbac.tf#L6"
