repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/io-sign,docs: add IO-backend proxy openapi spec,2,REVIEW_REQUIRED,2022-11-08T14:27:06Z,2022-11-08T14:27:18Z,2022-11-08T14:27:18Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",414,0
pagopa/io-sign,Enhance error handling [SFEQS-1126],8,REVIEW_REQUIRED,2022-11-15T11:53:33Z,2022-11-15T13:36:37Z,2022-11-15T13:36:37Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",1085,6
pagopa/io-sign,Add title to dossier [SFEQS-1125],12,REVIEW_REQUIRED,2022-11-15T15:23:59Z,2022-11-16T00:55:31Z,2022-11-16T00:55:31Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",32,1
pagopa/io-sign,Add SIGNED status to DOCUMENT [SFEQS-1147],4,REVIEW_REQUIRED,2022-11-10T11:26:24Z,2022-11-10T15:45:41Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",52,3
pagopa/io-sign,core: Notification endpoint [sfeqs-1114],6,REVIEW_REQUIRED,2022-11-13T17:42:03Z,2022-11-15T16:24:30Z,2022-11-15T16:24:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",512,16
pagopa/io-sign,"core: Add PDF content validator [SFEQS-1110,SFEQS-1137]",3,REVIEW_REQUIRED,2022-11-09T13:11:16Z,2022-11-15T14:17:51Z,2022-11-15T14:17:51Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",236,6
pagopa/io-sign,refactor: Add REJECTED status to Signature Request [SFEQS-1147],5,REVIEW_REQUIRED,2022-11-10T17:15:43Z,2022-11-15T13:58:39Z,2022-11-15T13:58:39Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",74,7
pagopa/io-sign,SFEQS-988: implemented the tokenizer apis to manage both calls to ret…,7,REVIEW_REQUIRED,2022-11-14T17:04:01Z,2022-11-15T16:40:18Z,2022-11-15T16:40:18Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/24917929?v=4"",""login"":""filippo-tenaglia"",""url"":""https://github.com/filippo-tenaglia""}",131,1
pagopa/io-sign,Fix: run effects on CreateSignatureRequest function [SFEQS-1142],9,REVIEW_REQUIRED,2022-11-15T13:42:40Z,2022-11-15T13:43:48Z,2022-11-15T13:43:48Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",6,0
pagopa/io-sign,Project refactor -> from one monolith to multiple services in monorepo,1,CHANGES_REQUESTED,2022-11-02T09:54:29Z,2022-11-07T11:11:12Z,2022-11-07T11:11:12Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",19356,16
pagopa/io-sign,chore(user): [SFEQS-1183] Change openapi,29,REVIEW_REQUIRED,2022-11-29T14:18:23Z,2022-11-29T14:24:07Z,2022-11-29T14:24:07Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",5,3
pagopa/io-sign,"refactor!: [SFEQS-1197] Switch to yarn@3, remove @internal packages",34,REVIEW_REQUIRED,2022-12-01T16:01:18Z,2022-12-02T13:20:43Z,2022-12-02T13:20:43Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",11136,12
pagopa/io-sign,feat(io-func-sign-issuer): Add Info endpoint [SFEQS-1155],10,REVIEW_REQUIRED,2022-11-15T14:21:39Z,2022-11-15T14:22:53Z,2022-11-15T14:22:53Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",51,1
pagopa/io-sign,"feat: [SFEQS-1204, SFEQS-1214] Implement functions: CreateSignatureRequest, GetSignatureRequest, MarkAsWaitForSignature",45,REVIEW_REQUIRED,2022-12-07T22:58:08Z,2022-12-09T14:36:54Z,2022-12-09T14:36:54Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",1498,15
pagopa/io-sign,chore(user): [SFEQS-1183] Change openapi ,32,REVIEW_REQUIRED,2022-11-30T11:43:26Z,2022-11-30T11:47:19Z,2022-11-30T11:47:19Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",4,1
pagopa/io-sign,chore(user): [SFEQS-1183] Change openapi ,30,REVIEW_REQUIRED,2022-11-29T16:59:01Z,2022-11-29T17:06:23Z,2022-11-29T17:06:23Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/442709?u=a157fbce2bf15cf4cbc1a26b76217ce74ca3571a\u0026v=4"",""login"":""grausof"",""url"":""https://github.com/grausof""}",19,1
pagopa/io-sign,"ci: add ""code review"" workflow [SFEQS-948]",25,REVIEW_REQUIRED,2022-11-27T18:41:47Z,2022-11-28T09:35:52Z,2022-11-28T09:35:52Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",58,12
pagopa/io-sign,chore: [SFEQS-1172] Add GitHub action to apply conventional labels,24,REVIEW_REQUIRED,2022-11-26T11:04:26Z,2022-11-27T22:19:52Z,2022-11-27T22:19:52Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/148224?u=7c1a70f953c137ee7f87cff4ce1c1de3a884f149\u0026v=4"",""login"":""gunzip"",""url"":""https://github.com/gunzip""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/148224?u=7c1a70f953c137ee7f87cff4ce1c1de3a884f149\u0026v=4"",""login"":""gunzip"",""url"":""https://github.com/gunzip""}",45,3
pagopa/io-sign,fix(issuer): [SFEQS-1146] remove outdated fields when DOCUMENT status changes,15,REVIEW_REQUIRED,2022-11-16T08:22:45Z,2022-12-02T18:03:19Z,2022-12-02T18:03:19Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/4357400?u=6d380bf3132e73122854f8d5d04ecc1abb83c774\u0026v=4"",""login"":""lucacavallaro"",""url"":""https://github.com/lucacavallaro""}",76,8
