id,name,repository_full_name,pipeline
92098520,CodeQL,pagopa/io-sign,<nil>
73563075,Deploy (user-func),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@cf9cc21cfc649c7ba6a962096c8088cdd695305e"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-func-sign-user"",""environment"":""app-prod"",""resource_group_name"":""io-p-sign-backend-rg"",""web_app_name"":""io-p-sign-user-func"",""use_staging_slot"":true}}},""name"":""Deploy (user-func)"",""on"":{""workflow_dispatch"":{}}}}"
61707437,Opex Dashboard api_user,pagopa/io-sign,"{""Steps"":[],""Env"":{""API_NAME"":""api_user""},""RemainingFields"":{""jobs"":{""opex-review"":{""runs-on"":""ubuntu-latest"",""environment"":""opex-prod-ci"",""steps"":[{""name"":""Checkout"",""id"":""checkout"",""uses"":""actions/checkout@8f4b7f84864484a7bf31766abe9204da3cbe65b3"",""with"":{""persist-credentials"":false,""fetch-depth"":0}},{""name"":""Validate opex dashbaord"",""uses"":""./.github/workflows/opex-review"",""with"":{""environment"":""prod"",""api_name"":""${{ env.API_NAME }}""}}]}},""name"":""Opex Dashboard api_user"",""on"":{""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""apps/io-func-sign-user/openapi.yaml"","".github/workflows/opex_api_user.yaml"","".opex/api_user/**""]}},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
103684674,PR - IO Sign TF Validation,pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""prod_itn_core_code_review"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Prod - Code Review"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources""}}},""name"":""PR - IO Sign TF Validation"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/resources/prod/**"","".github/workflows/tf-code-review.yaml""]}}}}"
198677239,Deploy (support-func-itn),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@cf9cc21cfc649c7ba6a962096c8088cdd695305e"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-func-sign-support"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-sign-backend-rg-01"",""web_app_name"":""io-p-itn-sign-support-func-01"",""use_staging_slot"":true}}},""name"":""Deploy (support-func-itn)"",""on"":{""workflow_dispatch"":{}}}}"
73563073,Deploy (issuer-func),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_workspace_to_azure"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@cf9cc21cfc649c7ba6a962096c8088cdd695305e"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-func-sign-issuer"",""environment"":""app-prod"",""resource_group_name"":""io-p-sign-backend-rg"",""web_app_name"":""io-p-sign-issuer-func"",""use_staging_slot"":true}},""add_tag_latest"":{""needs"":""deploy_workspace_to_azure"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Delete old tag"",""uses"":""actions/github-script@v7"",""with"":{""script"":""github.rest.git.deleteRef({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  ref: \""tags/latest\""\n})\n""},""continue-on-error"":true},{""name"":""Create tag"",""uses"":""actions/github-script@v7"",""with"":{""script"":""github.rest.git.createRef({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  ref: \""refs/tags/latest\"",\n  sha: context.sha\n})\n""}}]}},""name"":""Deploy (issuer-func)"",""on"":{""workflow_dispatch"":{}}}}"
198677237,Deploy (backoffice-func-itn),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@cf9cc21cfc649c7ba6a962096c8088cdd695305e"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-sign-backoffice-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-sign-backend-rg-01"",""web_app_name"":""io-p-itn-sign-backoffice-func-01"",""use_staging_slot"":true}}},""name"":""Deploy (backoffice-func-itn)"",""on"":{""workflow_dispatch"":{}}}}"
198677238,Deploy (issuer-func-itn),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy_workspace_to_azure"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@cf9cc21cfc649c7ba6a962096c8088cdd695305e"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-func-sign-issuer"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-sign-backend-rg-01"",""web_app_name"":""io-p-itn-sign-issuer-func-01"",""use_staging_slot"":true}},""add_tag_latest"":{""needs"":""deploy_workspace_to_azure"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Delete old tag"",""uses"":""actions/github-script@v7"",""with"":{""script"":""github.rest.git.deleteRef({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  ref: \""tags/latest\""\n})\n""},""continue-on-error"":true},{""name"":""Create tag"",""uses"":""actions/github-script@v7"",""with"":{""script"":""github.rest.git.createRef({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  ref: \""refs/tags/latest\"",\n  sha: context.sha\n})\n""}}]}},""name"":""Deploy (issuer-func-itn)"",""on"":{""workflow_dispatch"":{}}}}"
42089354,Release,pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release"":{""name"":""Release"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout Repo"",""uses"":""actions/checkout@v3"",""with"":{""fetch-depth"":0}},{""name"":""Setup Node.js environment"",""uses"":""actions/setup-node@v3"",""with"":{""node-version-file"":"".node-version"",""cache"":""yarn"",""cache-dependency-path"":""yarn.lock""}},{""name"":""Install dependencies"",""run"":""yarn install --immutable""},{""name"":""Create Release Pull Request or Tag"",""id"":""changesets"",""uses"":""changesets/action@v1"",""with"":{""version"":""yarn run version"",""publish"":""yarn run release""},""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}}]}},""name"":""Release"",""on"":{""push"":{""branches"":[""main""]}}}}"
72589191,Deploy (backoffice-func),pagopa/io-sign,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/web_app_deploy.yaml@main"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-sign-backoffice-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-sign-backend-rg"",""web_app_name"":""io-p-sign-backoffice-func"",""use_staging_slot"":true}}},""name"":""Deploy (backoffice-func)"",""on"":{""workflow_dispatch"":{}}}}"
