repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-sign","[EC-318] Migrated pipelines & terraform code from io-infra","mamu0",2024-06-20T15:54:16Z,2024-09-03T09:08:53Z,300,74.72,"mamu0"
"pagopa/io-sign","[CES-112] Switch Cosmos secondary location to ItalyNorth","Krusty93",2024-09-24T15:25:15Z,2024-09-24T15:43:58Z,307,0.01,"krusty93"
"pagopa/io-sign","[CES-112] Add private endpoints to Cosmos Account without altering DNS","Krusty93",2024-10-02T09:52:37Z,2024-10-07T07:21:28Z,308,4.90,"krusty93"
"pagopa/io-sign","[CES-112] Fix Private Endpoint definition for Cosmos DB","Krusty93",2024-10-07T07:37:34Z,2024-10-07T07:54:29Z,309,0.01,"krusty93"
"pagopa/io-sign","[B2BP-990] - Switch landing to pawsbuilder cdn","christian-calabrese",2024-10-21T13:52:30Z,2024-10-22T12:41:15Z,311,0.95,"christian-calabrese"
"pagopa/io-sign","[CES-68] Added configuration for APIM migration to itn","mamu0",2024-11-04T11:20:06Z,2024-11-18T14:36:59Z,312,14.14,"mamu0"
"pagopa/io-sign","Update APIM configuration to ITN and removed WEU resources","mamu0",2025-03-11T09:35:09Z,2025-03-11T14:50:47Z,320,0.22,"mamu0"
"pagopa/io-sign","Remove allowed subnets into functions and apps","mamu0",2025-03-11T15:41:01Z,2025-03-11T15:48:46Z,321,0.01,"mamu0"
"pagopa/io-sign","Fix CNAME value for showcase website","christian-calabrese",2025-04-02T13:45:01Z,2025-04-02T13:48:29Z,327,0.00,"christian-calabrese"
"pagopa/io-sign","[IOPLT-1066] Update Node version to 20","robbcocco",2025-05-20T14:21:44Z,2025-06-11T08:46:43Z,335,21.77,""
"pagopa/io-sign","Add io-platform-contributors to reviewers teams","robbcocco",2025-06-11T09:52:29Z,2025-06-11T13:23:00Z,343,0.15,""
"pagopa/io-sign","Migration ITN sign-issuer function app","leopoldo94",2025-10-10T12:23:41Z,2025-10-16T07:58:27Z,354,5.82,""
"pagopa/io-sign","fix duplicated sign rg on italy north","leopoldo94",2025-10-16T08:16:36Z,2025-10-16T14:45:07Z,360,0.27,""
"pagopa/io-sign","added io-platform-green-unit as cd reviewer","leopoldo94",2025-10-16T15:14:09Z,2025-10-16T15:40:43Z,361,0.02,""
"pagopa/io-sign","Fix issuer function app","leopoldo94",2025-10-17T15:42:19Z,2025-10-20T09:27:21Z,362,2.74,""
"pagopa/io-sign","user function app migration","leopoldo94",2025-10-21T15:21:28Z,2025-10-22T14:00:58Z,364,0.94,""
"pagopa/io-sign","support function app migration","leopoldo94",2025-10-22T15:04:04Z,2025-10-22T15:43:07Z,366,0.03,""
"pagopa/io-sign","backoffice function app migration","leopoldo94",2025-10-22T16:10:18Z,2025-10-23T08:40:10Z,367,0.69,""
"pagopa/io-sign","switch bo function app service plan","leopoldo94",2025-10-23T09:20:45Z,2025-10-23T09:34:36Z,368,0.01,""
"pagopa/io-sign","delete backoffice function app in itn","leopoldo94",2025-10-23T12:57:06Z,2025-10-23T14:00:55Z,370,0.04,""
"pagopa/io-sign","restore backoffice function app","leopoldo94",2025-10-23T14:18:43Z,2025-10-23T14:25:52Z,371,0.00,""
"pagopa/io-sign","Sign keyvault itn migration","leopoldo94",2025-10-24T07:22:18Z,2025-10-24T08:30:11Z,372,0.05,""
"pagopa/io-sign","storage account ITN migration","leopoldo94",2025-10-24T09:29:40Z,2025-10-27T09:33:00Z,373,3.00,""
"pagopa/io-sign","add access policy to github ci identity","leopoldo94",2025-10-30T16:51:51Z,2025-10-31T09:43:45Z,376,0.70,""
