module,source_type,file_type,version,repository,file_path,line_number,file_link
"github.com/pagopa/dx//infra/modules/github_selfhosted_runner_on_container_app_jobs?ref=main","registry","terraform","main","pagopa/io-sign","infra/github-runner/prod/container_app_job.tf",1,"https://github.com/pagopa/io-sign/blob/main/infra/github-runner/prod/container_app_job.tf#L1"
"github.com/pagopa/dx//infra/modules/azure_federated_identity_with_github?ref=main","registry","terraform","main","pagopa/io-sign","infra/identity/prod/main.tf",22,"https://github.com/pagopa/io-sign/blob/main/infra/identity/prod/main.tf#L22"
"github.com/pagopa/dx//infra/modules/azure_federated_identity_with_github?ref=main","registry","terraform","main","pagopa/io-sign","infra/identity/prod/main.tf",74,"https://github.com/pagopa/io-sign/blob/main/infra/identity/prod/main.tf#L74"
"github.com/pagopa/dx//infra/modules/azure_federated_identity_with_github?ref=main","registry","terraform","main","pagopa/io-sign","infra/identity/prod/main.tf",106,"https://github.com/pagopa/io-sign/blob/main/infra/identity/prod/main.tf#L106"
"github.com/pagopa/dx//infra/modules/azure_role_assignments?ref=main","registry","terraform","main","pagopa/io-sign","infra/identity/prod/main.tf",153,"https://github.com/pagopa/io-sign/blob/main/infra/identity/prod/main.tf#L153"
"github.com/pagopa/terraform-azurerm-v3//api_management_product?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",120,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L120"
"github.com/pagopa/terraform-azurerm-v3//api_management_api?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",146,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L146"
"github.com/pagopa/terraform-azurerm-v3//api_management_product?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",168,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L168"
"github.com/pagopa/terraform-azurerm-v3//api_management_api?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",185,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L185"
"github.com/pagopa/terraform-azurerm-v3//api_management_product?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",226,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L226"
"github.com/pagopa/terraform-azurerm-v3//api_management_api?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/apim_itn.tf",243,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/apim_itn.tf#L243"
"github.com/pagopa/terraform-azurerm-v3//cosmosdb_account?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/cosmos.tf",1,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/cosmos.tf#L1"
"github.com/pagopa/terraform-azurerm-v3//cosmosdb_sql_database?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/cosmos_backoffice.tf",1,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/cosmos_backoffice.tf#L1"
"github.com/pagopa/terraform-azurerm-v3//cosmosdb_sql_container?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/cosmos_backoffice.tf",8,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/cosmos_backoffice.tf#L8"
"github.com/pagopa/terraform-azurerm-v3//cosmosdb_sql_container?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/cosmos_backoffice.tf",23,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/cosmos_backoffice.tf#L23"
"github.com/pagopa/terraform-azurerm-v3//cosmosdb_sql_container?ref=v8.35.0","registry","terraform","v8.35.0","pagopa/io-sign","infra/resources/prod/cosmos_backoffice.tf",38,"https://github.com/pagopa/io-sign/blob/main/infra/resources/prod/cosmos_backoffice.tf#L38"
