id,name,repository_full_name,pipeline
60447516,Code Review,pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""js_code_review"":{""uses"":""pagopa/dx/.github/workflows/js_code_review.yaml@b5e4c484e1a7399a8ce4245789a42773db9c38cf"",""name"":""Code Review"",""secrets"":""inherit"",""permissions"":{""contents"":""read"",""pull-requests"":""write""}}},""name"":""Code Review"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""synchronize""],""paths"":[""apps/**"",""packages/**"","".node-version""]}}}}"
118073552,Deploy Function App (support-func),pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/release-azure-appsvc-v1.yaml@main"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-wallet-support-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-wallet-rg-01"",""web_app_name"":""io-p-itn-wallet-supp-func-01"",""disable_auto_staging_deploy"":true}}},""name"":""Deploy Function App (support-func)"",""on"":{""workflow_dispatch"":{},""push"":{""branches"":[""master""],""paths"":[""apps/io-wallet-support-func/CHANGELOG.md""]}},""permissions"":{""attestations"":""write"",""id-token"":""write"",""contents"":""read""}}}"
196104118,Deploy Function App (user-uat-func),pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/release-azure-appsvc-v1.yaml@main"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-wallet-user-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-wallet-rg-01"",""web_app_name"":""io-u-itn-wallet-user-func-01"",""disable_auto_staging_deploy"":true}}},""name"":""Deploy Function App (user-uat-func)"",""on"":{""workflow_dispatch"":{},""push"":{""branches"":[""master""],""paths"":[""apps/io-wallet-user-func/CHANGELOG.md""]}},""permissions"":{""attestations"":""write"",""id-token"":""write"",""contents"":""read""}}}"
121491062,PR - Opex Dashboard,pagopa/io-wallet,"{""Steps"":[],""Env"":{""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_USE_OIDC"":""true"",""DOCKER_IMAGE_TAG"":""sha256:04d8ead53c772d23b094c2a395292dc159e6f2905e1b13b5f828f31eac6eb27f"",""TEMPLATE_DIR"":""azure-dashboard"",""APP_NAME"":""io-wallet-user-func"",""API_NAME"":""management""},""RemainingFields"":{""concurrency"":{""group"":""wallet-opex"",""cancel-in-progress"":false},""jobs"":{""tf_plan"":{""runs-on"":""ubuntu-22.04"",""name"":""Terraform Plan"",""environment"":""opex-prod-ci"",""permissions"":{""pull-requests"":""write"",""id-token"":""write"",""contents"":""read""},""env"":{""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}""},""steps"":[{""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""name"":""Checkout""},{""name"":""Azure Login"",""uses"":""azure/login@a65d910e8af852a8061c627c456678983e180302"",""with"":{""client-id"":""${{ env.ARM_CLIENT_ID }}"",""tenant-id"":""${{ env.ARM_TENANT_ID }}"",""subscription-id"":""${{ env.ARM_SUBSCRIPTION_ID }}""}},{""name"":""Set Terraform Version"",""id"":""set-terraform-version"",""run"":""set -eu\nterraform_version=$(cat .terraform-version)\nprintf \""terraform_version=$terraform_version\"" \u003e\u003e \""$GITHUB_OUTPUT\""\n""},{""name"":""Create Terraform Environment for Opex"",""shell"":""bash"",""run"":""docker run \\\n  --workdir /github/workspace --rm \\\n  -v $(pwd):\""/github/workspace\"" \\\n  ghcr.io/pagopa/opex-dashboard-azure-action@${{ env.DOCKER_IMAGE_TAG }} ${{ env.TEMPLATE_DIR }} apps/${{ env.APP_NAME }}/.opex/${{ env.API_NAME }}/env/prod/config.yaml\n""},{""name"":""Copy Environments"",""shell"":""bash"",""id"":""opex_copy"",""run"":""cp -R apps/${{ env.APP_NAME }}/.opex/${{ env.API_NAME }}/env ./${{ env.TEMPLATE_DIR }}\n""},{""name"":""Setup Terraform"",""id"":""terraform_setup"",""uses"":""hashicorp/setup-terraform@a1502cd9e758c50496cc9ac5308c4843bcd56d36"",""with"":{""terraform_version"":""${{ steps.set-terraform-version.outputs.terraform_version }}""}},{""name"":""Terraform Plan"",""shell"":""bash"",""id"":""plan"",""working-directory"":""${{ env.TEMPLATE_DIR }}"",""run"":""bash ./terraform.sh plan prod -no-color 2\u003e\u00261 | grep -v \""hidden-link:\""  | tee plan_output.txt\n\nOUTPUT=$(grep -Ev \""Refreshing state|state lock|Reading|Read\"" plan_output.txt | tail -c 60000)\n\nprintf \""%s\"" \""$OUTPUT\"" \u003e plan_output_multiline.txt\n\nif grep -q \""::error::Terraform exited with code\"" plan_output.txt; then\n  echo \""failed\""\n  exit 1\nfi\n""},{""name"":""Post Plan on PR"",""id"":""comment"",""uses"":""actions/github-script@60a0d83039c74a4aee543508d2ffcb1c3799cdea"",""if"":""always() \u0026\u0026 github.event_name == 'pull_request'"",""with"":{""script"":""const fs = require('fs');\nconst output = fs.readFileSync('${{ env.TEMPLATE_DIR }}/plan_output_multiline.txt', 'utf8');\nconst status = '${{ steps.plan.outcome }}'\nconst { data: comments } = await github.rest.issues.listComments({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  issue_number: context.issue.number\n})\nconst botComment = comments.find(comment =\u003e {\n  return comment.user.type === 'Bot' \u0026\u0026 comment.body.includes(`Terraform Plan ('Opex')`)\n})\nconst commentBody = `#### 📖 Terraform Plan ('${{ env.TEMPLATE_DIR }}') - ${status}\n\u003cdetails\u003e\n\u003csummary\u003eTerraform Plan\u003c/summary\u003e\n\n\\`\\`\\`hcl\n${output}\n\\`\\`\\`\n\n\u003c/details\u003e\n`;\nif (botComment) {\n  await github.rest.issues.deleteComment({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    comment_id: botComment.id\n  })\n}\n\nawait github.rest.issues.createComment({\n  owner: context.repo.owner,\n  repo: context.repo.repo,\n  body: commentBody,\n  issue_number: context.issue.number\n})\n""}},{""name"":""Check Terraform Plan Result"",""if"":""always() \u0026\u0026 steps.plan.outcome != 'success'"",""run"":""exit 1\n""}]}},""name"":""PR - Opex Dashboard"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened""],""branches"":[""master""],""paths"":[""apps/io-wallet-user-func/.opex/**"",""apps/io-wallet-user-func/openapi.yaml"","".github/workflows/pr_opex.yaml"","".github/workflows/release_opex.yaml""]}}}}"
143462168,Dependabot Updates,pagopa/io-wallet,<nil>
121623526,Release - Opex Dashboard,pagopa/io-wallet,"{""Steps"":[],""Env"":{""ARM_SUBSCRIPTION_ID"":""${{ secrets.ARM_SUBSCRIPTION_ID }}"",""ARM_TENANT_ID"":""${{ secrets.ARM_TENANT_ID }}"",""ARM_USE_OIDC"":""true"",""DOCKER_IMAGE_TAG"":""sha256:04d8ead53c772d23b094c2a395292dc159e6f2905e1b13b5f828f31eac6eb27f"",""TEMPLATE_DIR"":""azure-dashboard"",""APP_NAME"":""io-wallet-user-func"",""API_NAME"":""management""},""RemainingFields"":{""concurrency"":{""group"":""wallet-opex"",""cancel-in-progress"":false},""jobs"":{""tf_apply"":{""runs-on"":""ubuntu-22.04"",""name"":""Terraform Apply"",""environment"":""opex-prod-cd"",""permissions"":{""id-token"":""write"",""contents"":""read""},""env"":{""ARM_CLIENT_ID"":""${{ secrets.ARM_CLIENT_ID }}""},""steps"":[{""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""name"":""Checkout""},{""run"":""cp -r apps/${{ env.APP_NAME }}/.opex ./\n"",""name"":""Update Path"",""shell"":""bash""},{""uses"":""pagopa/opex-dashboard-azure-action@3ad80a5e4a2d5a8f342615637072f21b687320ce"",""name"":""Apply Opex"",""with"":{""environment"":""prod"",""api-name"":""${{ env.API_NAME }}"",""config"":"".opex/${{ env.API_NAME }}/env/prod/config.yaml"",""client-id"":""${{ env.ARM_CLIENT_ID }}"",""tenant-id"":""${{ env.ARM_TENANT_ID }}"",""subscription-id"":""${{ env.ARM_SUBSCRIPTION_ID }}"",""docker-version"":""${{ env.DOCKER_IMAGE_TAG }}""}}]}},""name"":""Release - Opex Dashboard"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""master""],""paths"":[""apps/io-wallet-user-func/.opex/**"",""apps/io-wallet-user-func/openapi.yaml"","".github/workflows/release_opex.yaml""]}}}}"
60447515,Labeler,pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""label"":{""runs-on"":""ubuntu-22.04"",""permissions"":{""contents"":""read"",""pull-requests"":""write""},""steps"":[{""uses"":""actions/labeler@ba790c862c380240c6d5e7427be5ace9a05c754b"",""with"":{""repo-token"":""${{ secrets.GITHUB_TOKEN }}""}},{""uses"":""actions/github-script@98814c53be79b1d30f795b907e553d8679345975"",""id"":""set-result"",""with"":{""script"":""const config = {\n  docs: /^docs/,\n  bug: /^bug/,\n  fix: /^fix/,\n  chore: /^chore/,\n  feat: /^feat/,\n  build: /^build/,\n  ci: /^ci/,\n  refactor: /^refactor/,\n  \""breaking-change\"": /!:/,\n};\n\nconst labels = Object.entries(config).reduce(\n  (acc, cur) =\u003e (context.payload.pull_request.title.match(cur[1]) \n    ? [...acc, cur[0]] : acc),\n  []\n);\n\nif (labels.length \u003e 0) {\n  await github.rest.issues.addLabels({\n    owner: context.repo.owner,\n    repo: context.repo.repo,\n    issue_number: context.payload.pull_request.number,\n    labels: labels\n  });\n}\n"",""result-encoding"":""string""}}]}},""name"":""Labeler"",""on"":[""pull_request""]}}"
202005899,Copilot code review,pagopa/io-wallet,<nil>
92099183,CodeQL,pagopa/io-wallet,<nil>
100222154,Deploy Function App (user-func),pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""name"":""Deploy"",""uses"":""pagopa/dx/.github/workflows/release-azure-appsvc-v1.yaml@main"",""secrets"":""inherit"",""with"":{""workspace_name"":""io-wallet-user-func"",""environment"":""app-prod"",""resource_group_name"":""io-p-itn-wallet-rg-01"",""web_app_name"":""io-p-itn-wallet-user-func-02"",""disable_auto_staging_deploy"":true}}},""name"":""Deploy Function App (user-func)"",""on"":{""workflow_dispatch"":{},""push"":{""branches"":[""master""],""paths"":[""apps/io-wallet-user-func/CHANGELOG.md""]}},""permissions"":{""attestations"":""write"",""id-token"":""write"",""contents"":""read""}}}"
98867272,Release Infrastructure,pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""release_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_apply.yaml@main"",""name"":""Release Infrastructure"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""use_private_agent"":true,""override_github_environment"":""infra-prod""}}},""name"":""Release Infrastructure"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""master""],""paths"":[""infra/resources/prod/**"",""infra/resources/_modules/**""]}}}}"
60448962,Release,pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""concurrency"":""${{ github.workflow }}-${{ github.ref }}"",""jobs"":{""release"":{""name"":""Release"",""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout Repo"",""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""with"":{""fetch-depth"":0}},{""name"":""Setup pnpm"",""run"":""corepack enable""},{""name"":""Setup Node.js environment"",""uses"":""actions/setup-node@60edb5dd545a775178f52524783378180af0d1f8"",""with"":{""node-version-file"":"".node-version"",""cache"":""pnpm""}},{""name"":""Install dependencies"",""run"":""pnpm install""},{""name"":""Create Release Pull Request"",""id"":""changesets"",""uses"":""changesets/action@aba318e9165b45b7948c60273e0b72fce0a64eb9"",""with"":{""version"":""pnpm run version"",""publish"":""pnpm run release""},""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}}]}},""name"":""Release"",""on"":{""push"":{""branches"":[""master""]}}}}"
98863249,PR Infrastructure Plan,pagopa/io-wallet,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_prod"":{""uses"":""pagopa/dx/.github/workflows/infra_plan.yaml@main"",""name"":""Code Review Infrastructure Plan"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""base_path"":""infra/resources"",""use_private_agent"":true,""override_github_environment"":""infra-prod""}}},""name"":""PR Infrastructure Plan"",""on"":{""workflow_dispatch"":null,""pull_request"":{""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/resources/prod/**"",""infra/resources/_modules/**"","".github/workflows/pr_infra.yaml"","".github/workflows/release_infra.yaml""]}}}}"
