repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-wallet","Scaffolding","balanza",2023-06-16T09:10:43Z,2023-06-16T09:25:59Z,1,0.01,""
"pagopa/io-wallet","GitHub federated identity","balanza",2024-05-13T14:09:08Z,2024-05-17T11:15:36Z,57,3.88,""
"pagopa/io-wallet","[EC-294] Add repository settings Terraform definition","Krusty93",2024-05-20T08:16:01Z,2024-05-20T08:49:38Z,62,0.02,"krusty93"
"pagopa/io-wallet","[SIW-897] Add resource group for wallet resources","Krusty93",2024-05-20T08:59:39Z,2024-05-20T09:57:54Z,64,0.04,"krusty93"
"pagopa/io-wallet","[SIW-990] Add KeyVault for IO Wallet","Krusty93",2024-05-20T10:40:32Z,2024-05-20T14:06:55Z,65,0.14,"krusty93"
"pagopa/io-wallet","[SIW-985] Add subnet for Wallet Function App","Krusty93",2024-05-20T11:01:10Z,2024-05-21T10:00:37Z,66,0.96,"krusty93"
"pagopa/io-wallet","[SIW-993] Add Cosmos DB","Krusty93",2024-05-21T14:40:54Z,2024-05-22T12:28:37Z,68,0.91,"krusty93"
"pagopa/io-wallet","[EC-297] Add GitHub self-hosted runner","Krusty93",2024-05-22T19:35:37Z,2024-05-23T21:09:16Z,73,1.07,"krusty93"
"pagopa/io-wallet","[SIW-984] Add Function App","Krusty93",2024-05-24T16:18:18Z,2024-05-27T13:16:07Z,79,2.87,"krusty93"
"pagopa/io-wallet","[SIW-989] Add CDN for static files","Krusty93",2024-05-28T15:06:46Z,2024-05-29T12:48:19Z,85,0.90,"krusty93"
"pagopa/io-wallet","[SIW-1167] Add Function App User default key to keyvault","Krusty93",2024-05-29T09:48:57Z,2024-05-29T15:11:53Z,87,0.22,"krusty93"
"pagopa/io-wallet","[SIW-989] Delete Cloud Defender resource for CDN Storage Account","Krusty93",2024-05-29T13:07:35Z,2024-05-29T13:07:49Z,89,0.00,"krusty93"
"pagopa/io-wallet","[EC-312] Add GitHub environment for Function App deployment and reviewers","Krusty93",2024-05-29T15:37:08Z,2024-05-29T15:54:01Z,93,0.01,"krusty93"
"pagopa/io-wallet","[SIW-1167] Move Function App default key to weu-common Key Vault","Krusty93",2024-05-30T08:02:07Z,2024-05-30T09:44:06Z,95,0.07,"krusty93"
"pagopa/io-wallet","[SIW-1171] Add Function App env variables","silvicir",2024-05-30T12:56:02Z,2024-06-04T12:06:50Z,101,4.97,""
"pagopa/io-wallet","chore: Set KeyVault admins io-p-adgroup-developers","Krusty93",2024-05-31T14:28:58Z,2024-05-31T14:59:37Z,102,0.02,"krusty93"
"pagopa/io-wallet","chore: Add IAM roles to 'io-p-adgroup-admin'","Krusty93",2024-06-03T15:37:40Z,2024-06-03T15:42:28Z,105,0.00,"krusty93"
"pagopa/io-wallet","chore: Add 'Role Based Access Control Administrator' role to CD identity","Krusty93",2024-06-03T16:09:53Z,2024-06-03T16:11:51Z,106,0.00,"krusty93"
"pagopa/io-wallet","[SIW-1197] Remove CMK from Cosmos Account","Krusty93",2024-06-04T13:54:10Z,2024-06-05T15:34:57Z,109,1.07,"krusty93"
"pagopa/io-wallet","chore: [SIW-1199] Removed cosmos and storage account connection strings","silvicir",2024-06-05T12:16:08Z,2024-06-05T15:43:09Z,111,0.14,""
"pagopa/io-wallet","Assign CosmosDB Contributor role to io-p-adgroup-admin and io-p-adgroup-developers groups","Krusty93",2024-06-05T15:25:57Z,2024-06-05T19:37:45Z,112,0.17,"krusty93"
"pagopa/io-wallet","fix: Assign CosmosDB Contributor role to io-p-adgroup-admin and io-p-adgroup-developers groups","Krusty93",2024-06-05T19:46:05Z,2024-06-05T19:46:15Z,114,0.00,"krusty93"
"pagopa/io-wallet","fix: Add EntityConfigurationStorageContainerName env var","silvicir",2024-06-06T06:54:04Z,2024-06-06T06:57:22Z,115,0.00,""
"pagopa/io-wallet","fix: [SIW-1205] add /wallet path","silvicir",2024-06-06T15:51:29Z,2024-06-07T07:34:59Z,117,0.66,""
"pagopa/io-wallet","fix: Change iOS team identifier","grausof",2024-06-07T13:44:05Z,2024-06-07T14:06:17Z,119,0.02,""
"pagopa/io-wallet","[EC-335] Add rule engine on CDN to expose "".well-known"" path","Krusty93",2024-06-21T13:06:08Z,2024-06-21T13:45:38Z,129,0.03,"krusty93"
"pagopa/io-wallet","fix: Change Android bundle identifier","grausof",2024-07-11T07:38:26Z,2024-07-11T07:42:56Z,138,0.00,""
"pagopa/io-wallet","chore: Added environment variables","silvicir",2024-07-11T13:39:47Z,2024-07-12T09:52:04Z,142,0.84,""
"pagopa/io-wallet","chore: [SIW-1340] Updated header to trial system HTTP requests","silvicir",2024-07-12T12:08:56Z,2024-07-12T13:34:50Z,144,0.06,""
"pagopa/io-wallet","fix: Remove trust anchor","grausof",2024-07-12T13:56:11Z,2024-07-12T13:57:04Z,148,0.00,""
"pagopa/io-wallet","fix: updated env var","silvicir",2024-07-15T07:21:09Z,2024-07-15T09:31:26Z,151,0.09,""
"pagopa/io-wallet","chore: [SIW-1346] public keys in base64","silvicir",2024-07-15T11:06:29Z,2024-07-15T12:32:10Z,152,0.06,""
"pagopa/io-wallet","[SIW-1334] Implemented apim resources","christian-calabrese",2024-07-17T13:18:46Z,2024-07-22T12:43:05Z,158,4.98,"christian-calabrese"
"pagopa/io-wallet","chore: Add support for multiple bundle ids","grausof",2024-07-17T15:39:10Z,2024-07-18T07:14:27Z,159,0.65,""
"pagopa/io-wallet","[SIW-1353] Increase maximum Cosmos RU in autoscale mode","Krusty93",2024-07-18T11:00:11Z,2024-07-18T12:27:49Z,161,0.06,"krusty93"
"pagopa/io-wallet","[SIW-1354] Upgrade App Service SKU to P1v3","Krusty93",2024-07-18T11:05:22Z,2024-07-18T15:36:53Z,162,0.19,"krusty93"
"pagopa/io-wallet","chore: [SIW-1342] Added ipzs /revokeAll call","silvicir",2024-07-18T14:49:59Z,2024-07-26T10:50:19Z,164,7.83,""
"pagopa/io-wallet","fix: change service_url in API IO web wallet in APIM","silvicir",2024-07-22T13:19:21Z,2024-07-22T14:37:04Z,165,0.05,""
"pagopa/io-wallet","[SIW-1371 ] Fix role assignment for Function App User staging","mamu0",2024-07-23T09:44:49Z,2024-07-23T12:55:26Z,166,0.13,"mamu0"
"pagopa/io-wallet","fix: [SIW-1388] updated APIM base policy API IO Web Wallet","silvicir",2024-07-25T09:26:12Z,2024-07-25T10:00:39Z,171,0.02,""
"pagopa/io-wallet","chore: Enable `allowDevelopmentEnvironment` env var","grausof",2024-07-25T13:31:10Z,2024-07-25T13:34:54Z,174,0.00,""
"pagopa/io-wallet","Add autoscaler rules for User Function App","Krusty93",2024-07-31T07:52:53Z,2024-08-01T14:41:23Z,178,1.28,"krusty93"
"pagopa/io-wallet","[SIW-1418] Add application insight configuration for Function App User","mamu0",2024-08-02T15:54:31Z,2024-08-05T15:46:54Z,184,2.99,"mamu0"
"pagopa/io-wallet","feat: Add pid issuer health check toggler","grausof",2024-08-05T15:39:06Z,2024-08-05T15:51:00Z,188,0.01,""
"pagopa/io-wallet","[SIW-1418] Add application insight configuration for Function App User v2","mamu0",2024-08-06T08:34:13Z,2024-08-06T11:26:34Z,190,0.12,"mamu0"
"pagopa/io-wallet","fix: updated deploy github workflow","silvicir",2024-09-02T10:51:22Z,2024-09-05T13:39:47Z,192,3.12,""
"pagopa/io-wallet","fix: [SIW-1481] added magic link jwt validation","silvicir",2024-09-04T09:29:18Z,2024-09-04T09:53:39Z,196,0.02,""
"pagopa/io-wallet","[SIW-1490] Add new function app support-func","silvicir",2024-09-06T14:14:30Z,2024-09-16T13:35:12Z,199,9.97,""
"pagopa/io-wallet","Removed function app support autoscaler","silvicir",2024-09-16T13:46:40Z,2024-09-16T13:54:55Z,206,0.01,""
"pagopa/io-wallet","Add function app support autoscaler","silvicir",2024-09-16T14:22:34Z,2024-09-17T13:10:05Z,207,0.95,""
"pagopa/io-wallet","Added deploy pipeline for support function app and support env vars","silvicir",2024-09-17T12:22:31Z,2024-09-18T08:49:56Z,208,0.85,""
"pagopa/io-wallet","[SIW-1490] Update support function app roles and env vars","silvicir",2024-09-18T10:00:40Z,2024-09-19T06:45:04Z,209,0.86,""
"pagopa/io-wallet","[SIW-1490] Added APIM product and API for support API","silvicir",2024-09-19T09:48:54Z,2024-09-23T09:24:26Z,210,3.98,""
"pagopa/io-wallet","[SIW-1490] Created key vault secret for Function App default key","silvicir",2024-09-23T06:45:57Z,2024-09-23T07:39:34Z,211,0.04,""
