module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","~> 3.0","pagopa/io-wallet","infra/bootstrapper/prod/main.tf",82,"https://github.com/pagopa/io-wallet/blob/master/infra/bootstrapper/prod/main.tf#L82"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","~> 1.0","pagopa/io-wallet","infra/repository/main.tf",3,"https://github.com/pagopa/io-wallet/blob/master/infra/repository/main.tf#L3"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v1.0.0","git","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/apim.tf",2,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/apim.tf#L2"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v1.0.0","git","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/apim.tf",59,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/apim.tf#L59"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v1.0.0","git","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/apim.tf",111,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/apim.tf#L111"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v1.0.0","git","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/apim.tf",135,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/apim.tf#L135"
"git::https://github.com/pagopa/terraform-azurerm-v4//api_management_api?ref=v1.0.0","git","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/apim.tf",177,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/apim.tf#L177"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v1.0.0","registry","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/product.tf",1,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/product.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v1.0.0","registry","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/product.tf",16,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/product.tf#L16"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v1.0.0","registry","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/product.tf",31,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/product.tf#L31"
"github.com/pagopa/terraform-azurerm-v4//api_management_product?ref=v1.0.0","registry","terraform","v1.0.0","pagopa/io-wallet","infra/resources/_modules/apim/product.tf",46,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/apim/product.tf#L46"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 3.0","pagopa/io-wallet","infra/resources/_modules/function_apps/function_app_support.tf",2,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/function_apps/function_app_support.tf#L2"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/function_apps/function_app_support.tf",39,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/function_apps/function_app_support.tf#L39"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 3.0","pagopa/io-wallet","infra/resources/_modules/function_apps/function_app_user.tf",1,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/function_apps/function_app_user.tf#L1"
"pagopa-dx/azure-app-service-plan-autoscaler/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/function_apps/function_app_user.tf",43,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/function_apps/function_app_user.tf#L43"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 3.0","pagopa/io-wallet","infra/resources/_modules/function_apps/function_app_user_uat.tf",1,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/function_apps/function_app_user_uat.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/iam/admins.tf",2,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/iam/admins.tf#L2"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/iam/functions.tf",1,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/iam/functions.tf#L1"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/iam/functions.tf",35,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/iam/functions.tf#L35"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/iam/functions.tf",73,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/iam/functions.tf#L73"
"pagopa-dx/azure-role-assignments/azurerm","registry","terraform","~> 0.0","pagopa/io-wallet","infra/resources/_modules/iam/functions.tf",99,"https://github.com/pagopa/io-wallet/blob/master/infra/resources/_modules/iam/functions.tf#L99"
