repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/plsm-service-management,chores: Github repository settings,1,REVIEW_REQUIRED,2025-05-30T14:49:12Z,2025-09-11T06:18:11Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",379,0
pagopa/plsm-service-management,"chores: Add bootstrap, core-infra and github-env-bootstrap dx module",4,REVIEW_REQUIRED,2025-08-04T20:59:31Z,2025-09-11T06:17:50Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",706,0
pagopa/plsm-service-management,Add CODEOWNERS,2,REVIEW_REQUIRED,2025-06-04T12:34:53Z,2025-06-04T12:37:58Z,2025-06-04T12:37:58Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",1,0
pagopa/plsm-service-management,Chore: change action with path,14,REVIEW_REQUIRED,2025-09-12T06:50:05Z,2025-09-12T06:50:29Z,2025-09-12T06:50:29Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",6,0
pagopa/plsm-service-management,[#ISS-490] Add Resources,5,APPROVED,2025-09-01T09:39:37Z,2025-09-11T07:02:30Z,2025-09-11T07:02:30Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",1191,1
pagopa/plsm-service-management,chores: Identity/prod,3,APPROVED,2025-06-20T10:53:10Z,2025-09-11T06:18:00Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",334,0
pagopa/plsm-service-management,Add role website contributor to CI (#19),20,REVIEW_REQUIRED,2025-09-12T08:13:56Z,2025-09-12T08:14:53Z,2025-09-12T08:14:53Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",10,0
pagopa/plsm-service-management,Add role website contributor to CI,19,APPROVED,2025-09-12T08:12:05Z,2025-09-12T08:13:35Z,2025-09-12T08:13:34Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",10,0
pagopa/plsm-service-management,Change Runner Action Test,12,REVIEW_REQUIRED,2025-09-11T21:05:19Z,2025-09-11T21:05:33Z,2025-09-11T21:05:33Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",12,0
pagopa/plsm-service-management,Chore: Change Runner Action Test (#12),13,REVIEW_REQUIRED,2025-09-11T21:06:22Z,2025-09-12T06:26:43Z,2025-09-12T06:26:42Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",0,0
pagopa/plsm-service-management,[#ISS-475] Add github action link PR to Jira,8,APPROVED,2025-09-11T06:47:04Z,2025-10-18T11:47:49Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",96,6
pagopa/plsm-service-management,fix endpoint,63,REVIEW_REQUIRED,2025-10-09T21:12:06Z,2025-10-09T21:12:14Z,2025-10-09T21:12:14Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",2,0
pagopa/plsm-service-management,Add Certificate Func App,6,APPROVED,2025-09-01T10:18:44Z,2025-09-11T06:16:59Z,2025-09-11T06:16:59Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",893,0
