id,name,repository_full_name,pipeline
188300459,CodeQL,pagopa/plsm-service-management,<nil>
188306967,Lint and Link PR title,pagopa/plsm-service-management,<nil>
196949005,CI - SMCR,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""build-and-test"":{""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":0}},{""name"":""Setup Node.js"",""uses"":""actions/setup-node@v4"",""with"":{""node-version"":22}},{""name"":""Enable Corepack \u0026 set Yarn version"",""run"":""corepack enable\ncorepack prepare yarn@4.10.3 --activate\n""},{""name"":""Cache Yarn dependencies"",""uses"":""actions/cache@v4"",""with"":{""path"":"".yarn/cache\n.yarn/install-state.gz\n"",""key"":""${{ runner.os }}-yarn-${{ hashFiles('**/yarn.lock') }}"",""restore-keys"":""${{ runner.os }}-yarn-\n""}},{""name"":""Install dependencies with Yarn"",""run"":""yarn install --immutable""},{""name"":""Run linter with Turbo"",""run"":""yarn turbo lint --filter=smcr""},{""name"":""Run tests with Turbo"",""run"":""yarn turbo test --filter=smcr""},{""name"":""Build app with Turbo"",""run"":""yarn turbo build --filter=smcr""}]}},""name"":""CI - SMCR"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""develop"",""feature/**""],""paths"":[""apps/smcr/**""]},""pull_request"":{""branches"":[""develop""],""paths"":[""apps/smcr/**""]}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
196865828,Deploy Ask Me Bot Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""if"":""github.event_name == 'workflow_dispatch'"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@main"",""with"":{""workspace_name"":""sm-ask-me-fn"",""environment"":""${{ inputs.environment }}"",""resource_group_name"":""${{ inputs.resource_group_name }}"",""function_app_name"":""${{ inputs.function_app_name }}"",""use_staging_slot"":""${{ inputs.use_staging_slot }}"",""use_private_agent"":""${{ inputs.use_private_agent }}"",""use_labels"":""${{ inputs.use_labels }}"",""override_labels"":""${{ inputs.override_labels }}""},""secrets"":""inherit""}},""name"":""Deploy Ask Me Bot Function"",""on"":{""workflow_dispatch"":{""inputs"":{""environment"":{""description"":""Environment where the artifact will be deployed."",""type"":""string"",""required"":true,""default"":""app-prod""},""resource_group_name"":{""description"":""Function App resource group name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-fn-rg-01""},""function_app_name"":{""description"":""Function App name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-askmebot-func-01""},""use_staging_slot"":{""description"":""True if artifact should be deployed to staging slot"",""type"":""boolean"",""required"":false,""default"":true},""use_private_agent"":{""description"":""Use a private agent to deploy the built artifact."",""type"":""boolean"",""required"":false,""default"":true},""use_labels"":{""description"":""Use labels to start the right environment's GitHub runner. If use_labels is true, also use_private_agent must be set to true"",""type"":""boolean"",""required"":false,""default"":false},""override_labels"":{""description"":""Needed for special cases where the environment alone is not sufficient as a distinguishing label"",""type"":""string"",""required"":false,""default"":""""}}}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
195809587,Deploy Onboarding Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""if"":""github.event_name == 'workflow_dispatch'"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@main"",""with"":{""workspace_name"":""sm-onboarding-fn"",""environment"":""${{ inputs.environment }}"",""resource_group_name"":""${{ inputs.resource_group_name }}"",""function_app_name"":""${{ inputs.function_app_name }}"",""use_staging_slot"":""${{ inputs.use_staging_slot }}"",""use_private_agent"":""${{ inputs.use_private_agent }}"",""use_labels"":""${{ inputs.use_labels }}"",""override_labels"":""${{ inputs.override_labels }}""},""secrets"":""inherit""}},""name"":""Deploy Onboarding Function"",""on"":{""workflow_dispatch"":{""inputs"":{""environment"":{""description"":""Environment where the artifact will be deployed."",""type"":""string"",""required"":true,""default"":""app-prod""},""resource_group_name"":{""description"":""Function App resource group name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-fn-rg-01""},""function_app_name"":{""description"":""Function App name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-onboarding-func-01""},""use_staging_slot"":{""description"":""True if artifact should be deployed to staging slot"",""type"":""boolean"",""required"":false,""default"":true},""use_private_agent"":{""description"":""Use a private agent to deploy the built artifact."",""type"":""boolean"",""required"":false,""default"":true},""use_labels"":{""description"":""Use labels to start the right environment's GitHub runner. If use_labels is true, also use_private_agent must be set to true"",""type"":""boolean"",""required"":false,""default"":false},""override_labels"":{""description"":""Needed for special cases where the environment alone is not sufficient as a distinguishing label"",""type"":""string"",""required"":false,""default"":""""}}}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
188311710,Test Private Runner,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""test-private-runner"":{""runs-on"":""self-hosted"",""environment"":""app-prod-ci"",""steps"":[{""name"":""Checkout repository"",""uses"":""actions/checkout@v4""},{""name"":""Login to Azure using OIDC"",""uses"":""azure/login@v1"",""with"":{""client-id"":""${{ secrets.ARM_CLIENT_ID }}"",""tenant-id"":""${{ secrets.ARM_TENANT_ID }}"",""subscription-id"":""${{ secrets.ARM_SUBSCRIPTION_ID }}""}},{""name"":""1. Test - Esegui un comando Azure CLI base"",""run"":""echo \""Login avvenuto con successo per l'utente:\""\naz account show\n""},{""name"":""2. Test - Accesso HTTP Privato (Prova che la rete e il DNS funzionano)"",""if"":""always()"",""run"":""echo \""Tentativo di contattare l'endpoint /health della Web App privata...\""\n# NOTA: Sostituisci il nome se hai cambiato il default\nSTATUS_CODE=$(curl -k -s -o /dev/null -w \""%{http_code}\"" https://sm-p-itn-smcr-app-01.azurewebsites.net/api/health)\necho \""Codice di stato HTTP ricevuto: $STATUS_CODE\""\nif [ \""$STATUS_CODE\"" -ne 200 ]; then\n  echo \""Errore: la Web App non ha risposto come previsto!\""\n  exit 1\nfi\necho \""Successo! La Web App è raggiungibile privatamente.\""\n""},{""name"":""3. Test - Accesso al Key Vault (Prova permessi Data Plane)"",""if"":""always()"",""run"":""echo \""Tentativo di elencare i segreti nel Key Vault...\""\n# NOTA: Sostituisci il nome se hai cambiato il default\naz keyvault secret list --vault-name sm-p-itn-common-kv-01 --output table\necho \""Se vedi la lista dei segreti, i permessi RBAC funzionano!\""\n""}]}},""name"":""Test Private Runner"",""on"":{""workflow_dispatch"":null},""permissions"":{""id-token"":""write"",""contents"":""read""}}}"
192757000,CI - Certification Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""build-and-test"":{""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":0}},{""name"":""Setup Node.js"",""uses"":""actions/setup-node@v4"",""with"":{""node-version"":22}},{""name"":""Enable Corepack \u0026 set Yarn version"",""run"":""corepack enable\ncorepack prepare yarn@4.10.3 --activate\n""},{""name"":""Cache Yarn dependencies"",""uses"":""actions/cache@v4"",""with"":{""path"":"".yarn/cache\n.yarn/install-state.gz\n"",""key"":""${{ runner.os }}-yarn-${{ hashFiles('**/yarn.lock') }}"",""restore-keys"":""${{ runner.os }}-yarn-\n""}},{""name"":""Install dependencies with Yarn"",""run"":""yarn install --immutable""},{""name"":""Run linter with Turbo"",""run"":""yarn turbo lint --filter=sm-certification-fn""},{""name"":""Run tests with Turbo"",""run"":""yarn turbo test --filter=sm-certification-fn""},{""name"":""Build app with Turbo"",""run"":""yarn turbo build --filter=sm-certification-fn""}]}},""name"":""CI - Certification Function"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""develop"",""feature/**""],""paths"":[""apps/sm-certification-fn/**""]},""pull_request"":{""branches"":[""develop""],""paths"":[""apps/sm-certification-fn/**""]}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
196865827,CI - Ask Me Anything Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""build-and-test"":{""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":0}},{""name"":""Setup Node.js"",""uses"":""actions/setup-node@v4"",""with"":{""node-version"":22}},{""name"":""Enable Corepack \u0026 set Yarn version"",""run"":""corepack enable\ncorepack prepare yarn@4.10.3 --activate\n""},{""name"":""Cache Yarn dependencies"",""uses"":""actions/cache@v4"",""with"":{""path"":"".yarn/cache\n.yarn/install-state.gz\n"",""key"":""${{ runner.os }}-yarn-${{ hashFiles('**/yarn.lock') }}"",""restore-keys"":""${{ runner.os }}-yarn-\n""}},{""name"":""Install dependencies with Yarn"",""run"":""yarn install --immutable""},{""name"":""Run linter with Turbo"",""run"":""yarn turbo lint --filter=sm-ask-me-fn""},{""name"":""Run tests with Turbo"",""run"":""yarn turbo test --filter=sm-ask-me-fn""},{""name"":""Build app with Turbo"",""run"":""yarn turbo build --filter=sm-ask-me-fn""}]}},""name"":""CI - Ask Me Anything Function"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""develop"",""feature/**""],""paths"":[""apps/sm-ask-me-fn/**""]},""pull_request"":{""branches"":[""develop""],""paths"":[""apps/sm-ask-me-fn/**""]}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
188656777,Deploy Certificate Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""deploy"":{""if"":""github.event_name == 'workflow_dispatch'"",""uses"":""pagopa/dx/.github/workflows/function_app_deploy.yaml@main"",""with"":{""workspace_name"":""sm-certification-fn"",""environment"":""${{ inputs.environment }}"",""resource_group_name"":""${{ inputs.resource_group_name }}"",""function_app_name"":""${{ inputs.function_app_name }}"",""use_staging_slot"":""${{ inputs.use_staging_slot }}"",""use_private_agent"":""${{ inputs.use_private_agent }}"",""use_labels"":""${{ inputs.use_labels }}"",""override_labels"":""${{ inputs.override_labels }}""},""secrets"":""inherit""}},""name"":""Deploy Certificate Function"",""on"":{""workflow_dispatch"":{""inputs"":{""environment"":{""description"":""Environment where the artifact will be deployed."",""type"":""string"",""required"":true,""default"":""app-prod""},""resource_group_name"":{""description"":""Function App resource group name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-fn-rg-01""},""function_app_name"":{""description"":""Function App name"",""type"":""string"",""required"":true,""default"":""plsm-p-itn-cert-func-01""},""use_staging_slot"":{""description"":""True if artifact should be deployed to staging slot"",""type"":""boolean"",""required"":false,""default"":true},""use_private_agent"":{""description"":""Use a private agent to deploy the built artifact."",""type"":""boolean"",""required"":false,""default"":true},""use_labels"":{""description"":""Use labels to start the right environment's GitHub runner. If use_labels is true, also use_private_agent must be set to true"",""type"":""boolean"",""required"":false,""default"":false},""override_labels"":{""description"":""Needed for special cases where the environment alone is not sufficient as a distinguishing label"",""type"":""string"",""required"":false,""default"":""""}}}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
195809586,CI - Onboarding Function,pagopa/plsm-service-management,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""build-and-test"":{""runs-on"":""ubuntu-latest"",""steps"":[{""name"":""Checkout code"",""uses"":""actions/checkout@v4"",""with"":{""fetch-depth"":0}},{""name"":""Setup Node.js"",""uses"":""actions/setup-node@v4"",""with"":{""node-version"":22}},{""name"":""Enable Corepack \u0026 set Yarn version"",""run"":""corepack enable\ncorepack prepare yarn@4.10.3 --activate\n""},{""name"":""Cache Yarn dependencies"",""uses"":""actions/cache@v4"",""with"":{""path"":"".yarn/cache\n.yarn/install-state.gz\n"",""key"":""${{ runner.os }}-yarn-${{ hashFiles('**/yarn.lock') }}"",""restore-keys"":""${{ runner.os }}-yarn-\n""}},{""name"":""Install dependencies with Yarn"",""run"":""yarn install --immutable""},{""name"":""Generate types for sm-onboarding-fn"",""run"":""yarn workspace sm-onboarding-fn generate:avro\n""},{""name"":""Run linter with Turbo"",""run"":""yarn turbo lint --filter=sm-onboarding-fn""},{""name"":""Run tests with Turbo"",""run"":""yarn turbo test --filter=sm-onboarding-fn""},{""name"":""Build app with Turbo"",""run"":""yarn turbo build --filter=sm-onboarding-fn""}]}},""name"":""CI - Onboarding Function"",""on"":{""workflow_dispatch"":null,""push"":{""branches"":[""develop"",""feature/**""],""paths"":[""apps/sm-onboarding-fn/**""]},""pull_request"":{""branches"":[""develop""],""paths"":[""apps/sm-onboarding-fn/**""]}},""permissions"":{""contents"":""read"",""id-token"":""write""}}}"
