repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/plsm-service-management","[#ISS-490] Add Resources","LoFrance",2025-09-01T09:39:37Z,2025-09-11T07:02:30Z,5,9.89,""
"pagopa/plsm-service-management","Add role website contributor to CI","LoFrance",2025-09-12T08:12:05Z,2025-09-12T08:13:34Z,19,0.00,""
"pagopa/plsm-service-management","Infra/update core infra version 2.2.1","LoFrance",2025-09-26T07:55:43Z,2025-09-29T09:30:31Z,26,3.07,""
"pagopa/plsm-service-management","Chore: add env vars to certifica func","LoFrance",2025-09-29T13:41:48Z,2025-09-29T13:46:00Z,29,0.00,""
"pagopa/plsm-service-management","Chore: add permission","LoFrance",2025-09-30T10:09:59Z,2025-09-30T13:11:09Z,37,0.13,""
"pagopa/plsm-service-management","Infra: add function app onboarding resources","LoFrance",2025-10-01T16:14:48Z,2025-10-01T17:16:24Z,41,0.04,""
"pagopa/plsm-service-management","Infra: FA onboarding","LoFrance",2025-10-01T18:33:49Z,2025-10-01T18:39:12Z,42,0.00,""
"pagopa/plsm-service-management","Infra: Add envs per onboarding","LoFrance",2025-10-01T18:34:31Z,2025-10-01T18:36:35Z,43,0.00,""
"pagopa/plsm-service-management","infra: add env var","LoFrance",2025-10-09T14:55:07Z,2025-10-09T20:58:01Z,61,0.25,""
"pagopa/plsm-service-management","[Infra] Ask me bot resources","LoFrance",2025-10-10T13:32:12Z,2025-10-10T13:53:11Z,67,0.01,""
"pagopa/plsm-service-management","[Feature] Add Ask me anything Bot code","LoFrance",2025-10-10T14:48:23Z,2025-10-10T14:54:08Z,69,0.00,""
"pagopa/plsm-service-management","changes","LoFrance",2025-10-10T15:48:36Z,2025-10-10T15:48:47Z,71,0.00,""
"pagopa/plsm-service-management","Add percentage","LoFrance",2025-10-10T16:16:35Z,2025-10-10T16:16:44Z,72,0.00,""
"pagopa/plsm-service-management","fix","LoFrance",2025-10-10T17:09:25Z,2025-10-10T17:12:25Z,75,0.00,""
"pagopa/plsm-service-management","fix","LoFrance",2025-10-10T17:33:33Z,2025-10-10T17:33:41Z,76,0.00,""
"pagopa/plsm-service-management","[Infra] Change to Function App Exposed","LoFrance",2025-10-10T21:07:14Z,2025-10-10T21:20:59Z,77,0.01,""
"pagopa/plsm-service-management","Add deploy permission to webapp","LoFrance",2025-10-10T21:56:03Z,2025-10-10T21:56:14Z,79,0.00,""
"pagopa/plsm-service-management","Add contributor to CI","LoFrance",2025-10-11T07:06:18Z,2025-10-11T07:06:29Z,83,0.00,""
"pagopa/plsm-service-management","Chore/api health smcr","LoFrance",2025-10-11T11:17:41Z,2025-10-11T11:17:50Z,84,0.00,""
"pagopa/plsm-service-management","Add web app for backend smcr","LoFrance",2025-11-04T11:56:21Z,2025-11-04T13:49:08Z,107,0.08,""
