module,source_type,file_type,version,repository,file_path,line_number,file_link
"pagopa-dx/azure-github-environment-bootstrap/azurerm","registry","terraform","3.0.1","pagopa/plsm-service-management","infra/bootstrapper/prod/main.tf",41,"https://github.com/pagopa/plsm-service-management/blob/main/infra/bootstrapper/prod/main.tf#L41"
"pagopa-dx/github-environment-bootstrap/github","registry","terraform","1.1.2","pagopa/plsm-service-management","infra/repository/main.tf",25,"https://github.com/pagopa/plsm-service-management/blob/main/infra/repository/main.tf#L25"
"pagopa-dx/azure-app-service/azurerm","registry","terraform","~> 1.0.1","pagopa/plsm-service-management","infra/resources/_modules/app_service/main.tf",3,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/_modules/app_service/main.tf#L3"
"pagopa-dx/azure-function-app/azurerm","registry","terraform","~> 3.0.0","pagopa/plsm-service-management","infra/resources/_modules/function_app/main.tf",1,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/_modules/function_app/main.tf#L1"
"pagopa-dx/azure-function-app-exposed/azurerm","registry","terraform","1.0.1","pagopa/plsm-service-management","infra/resources/_modules/function_app_exposed/main.tf",1,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/_modules/function_app_exposed/main.tf#L1"
"pagopa-dx/azure-postgres-server/azurerm","registry","terraform","~> 1.0.7","pagopa/plsm-service-management","infra/resources/_modules/postgres/main.tf",1,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/_modules/postgres/main.tf#L1"
"pagopa-dx/azure-core-infra/azurerm","registry","terraform","2.2.1","pagopa/plsm-service-management","infra/resources/prod/main.tf",56,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L56"
"../_modules/function_app","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",89,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L89"
"../_modules/function_app","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",131,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L131"
"../_modules/function_app_exposed","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",198,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L198"
"../_modules/app_service","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",239,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L239"
"../_modules/app_service","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",289,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L289"
"../_modules/postgres","local","terraform","","pagopa/plsm-service-management","infra/resources/prod/main.tf",344,"https://github.com/pagopa/plsm-service-management/blob/main/infra/resources/prod/main.tf#L344"
