created_at,repository_full_name,conclusion,updated_at,status,id,workflow_id
2025-10-23T09:10:55Z,pagopa/selfcare-infra,failure,2025-10-23T09:10:55Z,completed,18743442457,84065324
2025-11-06T08:35:30Z,pagopa/selfcare-infra,success,2025-11-06T08:36:24Z,completed,19129638161,92097797
2025-10-20T10:06:22Z,pagopa/selfcare-infra,success,2025-10-20T10:07:37Z,completed,18648717929,131595787
2025-10-27T11:33:06Z,pagopa/selfcare-infra,success,2025-10-27T11:34:10Z,completed,18839515951,109206380
2025-10-23T08:02:18Z,pagopa/selfcare-infra,failure,2025-10-23T08:03:51Z,completed,18741673279,18223543
2025-10-22T14:42:43Z,pagopa/selfcare-infra,failure,2025-10-22T14:42:43Z,completed,18720023213,84065324
2025-10-31T14:19:37Z,pagopa/selfcare-infra,success,2025-11-04T13:39:44Z,completed,18975368911,131595787
2025-10-27T11:54:39Z,pagopa/selfcare-infra,cancelled,2025-10-27T11:55:33Z,completed,18840056485,18223543
2025-11-06T08:35:31Z,pagopa/selfcare-infra,failure,2025-11-06T08:36:00Z,completed,19129638525,18223543
2025-10-22T12:37:27Z,pagopa/selfcare-infra,failure,2025-10-22T12:39:11Z,completed,18716389810,18223543
2025-10-21T10:54:42Z,pagopa/selfcare-infra,failure,2025-10-21T10:56:13Z,completed,18681514616,18223543
2025-10-22T14:33:31Z,pagopa/selfcare-infra,failure,2025-10-22T14:33:31Z,completed,18719754458,84065324
2025-10-27T11:47:42Z,pagopa/selfcare-infra,failure,2025-10-27T11:49:17Z,completed,18839888214,18223543
2025-10-22T14:32:58Z,pagopa/selfcare-infra,failure,2025-10-22T14:32:58Z,completed,18719738843,84065324
2025-10-23T09:10:56Z,pagopa/selfcare-infra,failure,2025-10-23T09:12:35Z,completed,18743442883,18223543
2025-10-27T11:08:45Z,pagopa/selfcare-infra,success,2025-10-27T11:09:42Z,completed,18838873765,109206380
2025-10-23T09:09:59Z,pagopa/selfcare-infra,failure,2025-10-23T09:09:59Z,completed,18743416860,84065324
2025-10-24T07:45:26Z,pagopa/selfcare-infra,failure,2025-10-24T07:46:57Z,completed,18773221718,18223543
2025-10-21T10:54:41Z,pagopa/selfcare-infra,failure,2025-10-21T10:54:41Z,completed,18681514325,84065324
2025-10-24T07:45:25Z,pagopa/selfcare-infra,failure,2025-10-24T07:45:25Z,completed,18773221483,84065324
2025-10-26T15:15:34Z,pagopa/selfcare-infra,failure,2025-10-26T15:17:16Z,completed,18819834159,18223543
2025-10-27T11:44:27Z,pagopa/selfcare-infra,failure,2025-10-27T11:44:27Z,completed,18839809302,84065324
2025-10-20T09:14:52Z,pagopa/selfcare-infra,failure,2025-10-20T09:15:06Z,completed,18647602165,18223543
2025-10-22T12:40:29Z,pagopa/selfcare-infra,failure,2025-10-22T12:42:00Z,completed,18716470174,18223543
2025-10-26T15:15:33Z,pagopa/selfcare-infra,failure,2025-10-26T15:15:33Z,completed,18819833967,84065324
2025-11-08T14:42:51Z,pagopa/selfcare-infra,success,2025-11-08T14:43:49Z,completed,19194491191,92097797
2025-10-20T10:39:17Z,pagopa/selfcare-infra,failure,2025-10-20T10:39:17Z,completed,18649468808,84065324
2025-11-07T08:55:35Z,pagopa/selfcare-infra,success,2025-11-07T08:56:48Z,completed,19163252776,131595787
2025-10-23T09:10:55Z,pagopa/selfcare-infra,success,2025-10-23T09:11:59Z,completed,18743442473,92097797
2025-10-15T20:52:22Z,pagopa/selfcare-infra,success,2025-10-15T20:53:21Z,completed,18542342500,92097797
2025-10-27T11:26:59Z,pagopa/selfcare-infra,failure,2025-10-27T11:28:29Z,completed,18839359590,18223543
2025-10-22T22:54:28Z,pagopa/selfcare-infra,success,2025-10-22T22:55:33Z,completed,18732109183,92097797
2025-10-20T09:14:51Z,pagopa/selfcare-infra,failure,2025-10-20T09:14:51Z,completed,18647601837,84065324
2025-10-27T11:54:55Z,pagopa/selfcare-infra,failure,2025-10-27T11:54:57Z,completed,18840062247,109206380
2025-10-27T11:44:27Z,pagopa/selfcare-infra,success,2025-10-27T11:45:29Z,completed,18839809233,92097797
2025-10-27T07:34:13Z,pagopa/selfcare-infra,success,2025-10-27T07:35:13Z,completed,18833339544,92097797
2025-10-20T10:39:18Z,pagopa/selfcare-infra,failure,2025-10-20T10:40:51Z,completed,18649469087,18223543
2025-11-03T08:37:21Z,pagopa/selfcare-infra,failure,2025-11-03T08:38:48Z,completed,19028515490,18223543
2025-10-16T15:02:36Z,pagopa/selfcare-infra,success,2025-10-16T15:04:09Z,completed,18565704020,146677659
2025-10-27T11:54:38Z,pagopa/selfcare-infra,failure,2025-10-27T11:54:38Z,completed,18840056229,84065324
2025-10-27T11:47:41Z,pagopa/selfcare-infra,failure,2025-10-27T11:47:41Z,completed,18839887849,84065324
2025-10-27T07:29:04Z,pagopa/selfcare-infra,failure,2025-10-27T07:30:46Z,completed,18833220655,18223543
2025-10-31T14:18:50Z,pagopa/selfcare-infra,success,2025-10-31T14:20:01Z,completed,18975347838,92097797
2025-10-20T09:50:36Z,pagopa/selfcare-infra,failure,2025-10-20T09:52:18Z,completed,18648387695,18223543
2025-10-22T14:33:00Z,pagopa/selfcare-infra,failure,2025-10-22T14:34:35Z,completed,18719739475,18223543
2025-10-27T07:29:03Z,pagopa/selfcare-infra,failure,2025-10-27T07:29:03Z,completed,18833220308,84065324
2025-10-27T11:26:58Z,pagopa/selfcare-infra,success,2025-10-27T11:27:56Z,completed,18839359344,92097797
2025-11-10T11:40:42Z,pagopa/selfcare-infra,success,2025-11-10T11:41:53Z,completed,19230366931,131595787
2025-10-31T14:21:33Z,pagopa/selfcare-infra,success,2025-10-31T14:22:28Z,completed,18975422952,92097797
2025-10-21T10:55:26Z,pagopa/selfcare-infra,success,2025-10-21T11:03:45Z,completed,18681529497,92097797
2025-10-22T14:34:50Z,pagopa/selfcare-infra,success,2025-10-22T14:36:39Z,completed,18719792157,131595787
2025-10-22T14:42:42Z,pagopa/selfcare-infra,success,2025-10-22T14:44:05Z,completed,18720023115,92097797
2025-10-22T12:39:41Z,pagopa/selfcare-infra,success,2025-10-22T12:40:42Z,completed,18716446744,92097797
2025-10-20T09:50:36Z,pagopa/selfcare-infra,success,2025-10-20T09:51:38Z,completed,18648387374,92097797
2025-10-20T09:50:35Z,pagopa/selfcare-infra,failure,2025-10-20T09:50:35Z,completed,18648387230,84065324
2025-10-23T16:11:40Z,pagopa/selfcare-infra,failure,2025-10-23T16:11:40Z,completed,18754762563,84065324
2025-10-20T08:00:11Z,pagopa/selfcare-infra,failure,2025-10-20T08:00:28Z,completed,18645994890,18223543
2025-10-22T14:43:09Z,pagopa/selfcare-infra,success,2025-10-22T14:44:43Z,completed,18720036599,131595787
2025-10-22T12:40:29Z,pagopa/selfcare-infra,success,2025-10-22T12:41:28Z,completed,18716469930,92097797
2025-10-23T08:02:17Z,pagopa/selfcare-infra,failure,2025-10-23T08:02:17Z,completed,18741672749,84065324
2025-11-06T08:35:30Z,pagopa/selfcare-infra,failure,2025-11-06T08:35:30Z,completed,19129638128,84065324
2025-10-14T07:44:17Z,pagopa/selfcare-infra,failure,2025-10-14T07:46:00Z,completed,18489285898,18223543
2025-10-31T14:19:45Z,pagopa/selfcare-infra,success,2025-11-04T13:42:18Z,completed,18975372697,131595787
2025-10-30T17:31:43Z,pagopa/selfcare-infra,success,2025-10-30T17:32:39Z,completed,18949649310,92097797
2025-10-26T15:18:34Z,pagopa/selfcare-infra,success,2025-10-26T15:19:40Z,completed,18819869868,92097797
2025-10-22T12:37:26Z,pagopa/selfcare-infra,failure,2025-10-22T12:37:26Z,completed,18716389421,84065324
2025-10-23T08:02:17Z,pagopa/selfcare-infra,success,2025-10-23T08:03:19Z,completed,18741672888,92097797
2025-10-21T10:25:22Z,pagopa/selfcare-infra,failure,2025-10-21T10:25:22Z,completed,18680815602,84065324
2025-11-03T10:16:58Z,pagopa/selfcare-infra,failure,2025-11-03T10:18:18Z,completed,19031117374,131595787
2025-10-31T14:18:50Z,pagopa/selfcare-infra,failure,2025-10-31T14:18:50Z,completed,18975347947,84065324
2025-11-03T08:37:20Z,pagopa/selfcare-infra,failure,2025-11-03T08:37:20Z,completed,19028515257,84065324
2025-10-22T12:40:28Z,pagopa/selfcare-infra,failure,2025-10-22T12:40:28Z,completed,18716469650,84065324
2025-10-24T07:30:33Z,pagopa/selfcare-infra,success,2025-10-24T07:31:28Z,completed,18772903706,109206380
2025-10-23T13:05:07Z,pagopa/selfcare-infra,failure,2025-10-23T13:05:07Z,completed,18749311751,84065324
2025-10-27T11:26:58Z,pagopa/selfcare-infra,failure,2025-10-27T11:26:58Z,completed,18839359247,84065324
2025-10-23T16:11:41Z,pagopa/selfcare-infra,failure,2025-10-23T16:13:17Z,completed,18754762961,18223543
2025-10-27T11:44:28Z,pagopa/selfcare-infra,failure,2025-10-27T11:46:03Z,completed,18839809557,18223543
2025-10-20T08:00:10Z,pagopa/selfcare-infra,failure,2025-10-20T08:00:10Z,completed,18645994567,84065324
2025-10-16T15:51:02Z,pagopa/selfcare-infra,success,2025-10-16T15:53:02Z,completed,18567093481,131595787
2025-10-22T14:43:14Z,pagopa/selfcare-infra,success,2025-10-22T14:45:00Z,completed,18720039358,131595787
2025-10-20T09:43:31Z,pagopa/selfcare-infra,success,2025-10-20T09:45:03Z,completed,18648231126,92097797
2025-10-22T14:33:32Z,pagopa/selfcare-infra,failure,2025-10-22T14:35:04Z,completed,18719754958,18223543
2025-10-23T13:05:08Z,pagopa/selfcare-infra,failure,2025-10-23T13:06:47Z,completed,18749312164,18223543
2025-10-22T14:42:44Z,pagopa/selfcare-infra,failure,2025-10-22T14:44:16Z,completed,18720023795,18223543
2025-10-21T10:25:23Z,pagopa/selfcare-infra,failure,2025-10-21T10:26:55Z,completed,18680815974,18223543
2025-10-22T14:34:06Z,pagopa/selfcare-infra,success,2025-10-22T14:35:16Z,completed,18719771733,92097797
2025-10-30T17:27:56Z,pagopa/selfcare-infra,failure,2025-10-30T17:29:20Z,completed,18949548038,18223543
2025-10-27T11:47:41Z,pagopa/selfcare-infra,success,2025-10-27T11:48:45Z,completed,18839887776,92097797
2025-10-23T09:10:00Z,pagopa/selfcare-infra,success,2025-10-23T09:11:00Z,completed,18743417240,92097797
2025-11-03T08:39:42Z,pagopa/selfcare-infra,success,2025-11-03T08:40:38Z,completed,19028566606,92097797
2025-10-20T09:42:52Z,pagopa/selfcare-infra,failure,2025-10-20T09:44:37Z,completed,18648215945,18223543
2025-10-31T14:18:51Z,pagopa/selfcare-infra,failure,2025-10-31T14:20:21Z,completed,18975348394,18223543
2025-10-20T09:42:51Z,pagopa/selfcare-infra,failure,2025-10-20T09:42:51Z,completed,18648215738,84065324
2025-10-30T17:27:55Z,pagopa/selfcare-infra,failure,2025-10-30T17:27:55Z,completed,18949547451,84065324
2025-10-23T13:12:43Z,pagopa/selfcare-infra,success,2025-10-23T13:13:47Z,completed,18749528405,92097797
2025-10-23T09:10:00Z,pagopa/selfcare-infra,failure,2025-10-23T09:11:28Z,completed,18743417242,18223543
2025-10-23T16:11:40Z,pagopa/selfcare-infra,success,2025-10-23T16:12:44Z,completed,18754762498,92097797
2025-10-27T11:55:26Z,pagopa/selfcare-infra,success,2025-10-27T11:56:44Z,completed,18840073886,109206380
2025-10-14T07:44:16Z,pagopa/selfcare-infra,failure,2025-10-14T07:44:16Z,completed,18489285590,84065324
2025-10-27T15:44:29Z,pagopa/selfcare-infra,success,2025-10-27T15:45:36Z,completed,18846995899,109206380
2025-10-13T10:12:39Z,pagopa/selfcare-infra,failure,2025-10-13T10:12:39Z,completed,18462413121,84065324
2025-10-02T12:31:44Z,pagopa/selfcare-infra,success,2025-10-02T12:33:00Z,completed,18193035524,92097797
2025-10-14T07:44:16Z,pagopa/selfcare-infra,success,2025-10-14T07:45:11Z,completed,18489285510,92097797
2025-08-04T15:50:33Z,pagopa/selfcare-infra,success,2025-08-04T15:51:50Z,completed,16727894656,92097797
2025-10-07T12:13:57Z,pagopa/selfcare-infra,success,2025-10-07T12:15:39Z,completed,18312250186,146677659
2025-09-11T08:55:40Z,pagopa/selfcare-infra,success,2025-09-11T08:56:42Z,completed,17639409965,92097797
2025-10-13T08:06:13Z,pagopa/selfcare-infra,failure,2025-10-13T08:06:13Z,completed,18459211312,84065324
2025-08-06T11:43:16Z,pagopa/selfcare-infra,success,2025-08-06T11:44:26Z,completed,16775938452,92097797
2025-08-20T13:12:11Z,pagopa/selfcare-infra,success,2025-08-20T13:13:17Z,completed,17099427875,92097797
2025-10-13T08:06:14Z,pagopa/selfcare-infra,failure,2025-10-13T08:08:01Z,completed,18459211667,18223543
2025-09-19T11:00:37Z,pagopa/selfcare-infra,failure,2025-09-19T11:02:05Z,completed,17856381797,18223543
2025-08-06T11:17:55Z,pagopa/selfcare-infra,failure,2025-08-06T11:19:22Z,completed,16775420215,18223543
2025-08-08T09:55:28Z,pagopa/selfcare-infra,success,2025-08-08T09:56:41Z,completed,16827502673,92097797
2025-10-08T14:22:16Z,pagopa/selfcare-infra,success,2025-10-08T14:23:12Z,completed,18347883428,92097797
2025-09-18T10:10:45Z,pagopa/selfcare-infra,failure,2025-09-18T10:12:11Z,completed,17825364421,18223543
2025-09-18T10:10:44Z,pagopa/selfcare-infra,failure,2025-09-18T10:10:44Z,completed,17825363967,84065324
2025-08-06T11:43:17Z,pagopa/selfcare-infra,failure,2025-08-06T11:44:47Z,completed,16775938920,18223543
2025-09-11T08:55:32Z,pagopa/selfcare-infra,failure,2025-09-11T08:56:57Z,completed,17639406425,18223543
2025-08-06T13:12:14Z,pagopa/selfcare-infra,success,2025-08-06T13:13:34Z,completed,16777929049,92097797
2025-08-08T09:52:15Z,pagopa/selfcare-infra,failure,2025-08-08T09:53:36Z,completed,16827438282,18223543
2025-10-02T08:25:41Z,pagopa/selfcare-infra,success,2025-10-02T08:26:35Z,completed,18187616687,92097797
2025-09-19T10:47:46Z,pagopa/selfcare-infra,failure,2025-09-19T10:47:46Z,completed,17856137910,84065324
2025-08-13T13:12:17Z,pagopa/selfcare-infra,success,2025-08-13T13:13:18Z,completed,16938276695,92097797
2025-10-13T10:14:41Z,pagopa/selfcare-infra,success,2025-10-13T10:15:38Z,completed,18462462412,92097797
2025-09-18T10:09:15Z,pagopa/selfcare-infra,failure,2025-09-18T10:10:42Z,completed,17825325480,18223543
