module,source_type,file_type,version,repository,file_path,line_number,file_link
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_cd.tf",1,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_cd.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_cd.tf",24,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_cd.tf#L24"
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_cd.tf",76,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_cd.tf#L76"
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_ci.tf",1,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_ci.tf#L1"
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_ci.tf",24,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_ci.tf#L24"
"github.com/pagopa/terraform-azurerm-v4//github_federated_identity?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare-infra",".identity/github_managed_identity_ci.tf",78,"https://github.com/pagopa/selfcare-infra/blob/main/.identity/github_managed_identity_ci.tf#L78"
"github.com/pagopa/selfcare-commons//infra/terraform-modules/github_repository_settings?ref=main","registry","terraform","main","pagopa/selfcare-infra","infra/repository/main.tf",17,"https://github.com/pagopa/selfcare-infra/blob/main/infra/repository/main.tf#L17"
"../../_modules/networking","local","terraform","","pagopa/selfcare-infra","src/container-apps/dev/westeurope/main.tf",36,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/dev/westeurope/main.tf#L36"
"../../_modules/container_app_environments","local","terraform","","pagopa/selfcare-infra","src/container-apps/dev/westeurope/main.tf",54,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/dev/westeurope/main.tf#L54"
"../../_modules/networking","local","terraform","","pagopa/selfcare-infra","src/container-apps/prod/westeurope/main.tf",36,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/prod/westeurope/main.tf#L36"
"../../_modules/container_app_environments","local","terraform","","pagopa/selfcare-infra","src/container-apps/prod/westeurope/main.tf",54,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/prod/westeurope/main.tf#L54"
"../../_modules/networking","local","terraform","","pagopa/selfcare-infra","src/container-apps/uat/westeurope/main.tf",36,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/uat/westeurope/main.tf#L36"
"../../_modules/container_app_environments","local","terraform","","pagopa/selfcare-infra","src/container-apps/uat/westeurope/main.tf",54,"https://github.com/pagopa/selfcare-infra/blob/main/src/container-apps/uat/westeurope/main.tf#L54"
"github.com/pagopa/terraform-azurerm-v4.git//key_vault_secrets_query?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare-infra","src/core/00_secrets.tf",1,"https://github.com/pagopa/selfcare-infra/blob/main/src/core/00_secrets.tf#L1"
"github.com/pagopa/terraform-azurerm-v4.git//key_vault_secrets_query?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare-infra","src/core/00_secrets.tf",15,"https://github.com/pagopa/selfcare-infra/blob/main/src/core/00_secrets.tf#L15"
"github.com/pagopa/terraform-azurerm-v4.git//key_vault?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare-infra","src/core/01_key_vault_0.tf",13,"https://github.com/pagopa/selfcare-infra/blob/main/src/core/01_key_vault_0.tf#L13"
