repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/selfcare,[SELC-6681] Add repository Infra,1,REVIEW_REQUIRED,2025-03-14T16:08:32Z,2025-03-17T13:09:44Z,2025-03-17T13:09:44Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",224,0
pagopa/selfcare,Fix responses OIDC exchange,11,REVIEW_REQUIRED,2025-04-03T15:57:49Z,2025-04-03T16:09:20Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",2,0
pagopa/selfcare,Fix token sign,13,REVIEW_REQUIRED,2025-04-04T13:11:11Z,2025-04-04T13:21:06Z,2025-04-04T13:21:06Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",86,1
pagopa/selfcare,[SELC-6628] fix: modify cucumber-sdk,7,APPROVED,2025-03-25T09:00:18Z,2025-03-25T09:31:37Z,2025-03-25T09:31:37Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/124147597?v=4"",""login"":""giulia-tremolada"",""url"":""https://github.com/giulia-tremolada""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/124147597?v=4"",""login"":""giulia-tremolada"",""url"":""https://github.com/giulia-tremolada""}",101,2
pagopa/selfcare,[SELC-7078] Added testcontainers library. Disabled unused quarkus dev services,14,REVIEW_REQUIRED,2025-05-21T08:34:59Z,2025-05-21T08:49:12Z,2025-05-21T08:49:12Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/191098987?u=c40c3601f5e1347548f061ba193204794840e96f\u0026v=4"",""login"":""gaetano-miglionico"",""url"":""https://github.com/gaetano-miglionico""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/191098987?u=c40c3601f5e1347548f061ba193204794840e96f\u0026v=4"",""login"":""gaetano-miglionico"",""url"":""https://github.com/gaetano-miglionico""}",17,4
pagopa/selfcare,Enable OTP feature in PROD,40,REVIEW_REQUIRED,2025-07-14T10:32:17Z,2025-07-15T08:57:10Z,2025-07-15T08:57:10Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",1,0
pagopa/selfcare,[SELC-7073] Add Auth Opex Dashboard + CD,38,REVIEW_REQUIRED,2025-07-09T08:27:07Z,2025-07-09T08:43:45Z,2025-07-09T08:43:45Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",111,0
pagopa/selfcare,Pin dependencies,46,APPROVED,2025-08-08T04:52:29Z,2025-10-28T09:14:02Z,2025-10-28T09:14:02Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/106688558?u=d82825aaa1b834e33f980075039043a57c8b8742\u0026v=4"",""login"":""andrea-putzu"",""url"":""https://github.com/andrea-putzu""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57742367?v=4"",""login"":""renovate-pagopa"",""url"":""https://github.com/apps/renovate-pagopa""}",10,5
pagopa/selfcare,[SELC-6685] Add OIDC exchange endpoint,9,REVIEW_REQUIRED,2025-03-28T13:02:18Z,2025-04-03T12:04:21Z,2025-04-03T12:04:21Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",3580,1
pagopa/selfcare,[SELC-6684] - Add CI pipelines for apps and infra resources,3,REVIEW_REQUIRED,2025-03-17T15:10:15Z,2025-03-17T17:03:57Z,2025-03-17T17:03:57Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/57567806?u=78839e3cb6845194c04145bdf520f9fb19835fd4\u0026v=4"",""login"":""AleDore"",""url"":""https://github.com/AleDore""}",430,1
