id,name,repository_full_name,pipeline
149762648,CodeQL,pagopa/selfcare,<nil>
150470711,Deploy Selfcare App,pagopa/selfcare,"{""Steps"":[],""Env"":{""APP_PATH"":""apps/${{ inputs.app }}"",""INFRA_PATH"":""infra/apps/${{ inputs.app }}"",""APPS_POM"":""apps/pom.xml"",""POM"":""pom.xml""},""RemainingFields"":{""jobs"":{""release_dev"":{""uses"":""pagopa/selfcare-commons/.github/workflows/call_release_docker.yml@main"",""name"":""${{ inputs.target == 'selc' \u0026\u0026 '[Dev]' || '[Dev-PNPG]' }} - ${{ inputs.app }} Release"",""if"":""${{ (startsWith(github.ref_name, 'releases/') != true \u0026\u0026 inputs.env == null) || inputs.env == 'dev' }}"",""secrets"":""inherit"",""with"":{""environment"":""dev"",""tf_environment"":""${{ inputs.target == 'selc' \u0026\u0026 'dev' || 'dev-pnpg' }}"",""dir"":""${{ inputs.INFRA_PATH }}"",""dockerfile_path"":""./${{ inputs.APP_PATH }}/Dockerfile"",""docker_image_name"":""pagopa/selfcare-${{ inputs.app }}-ms"",""path_openapi_docs"":""./${{ inputs.APP_PATH }}/src/main/docs/openapi.json""}},""release_uat"":{""uses"":""pagopa/selfcare-commons/.github/workflows/call_release_docker.yml@main"",""name"":""${{ inputs.target == 'selc' \u0026\u0026 '[Uat]' || '[Uat-PNPG]' }} - ${{ inputs.app }} Release"",""if"":""${{ (startsWith(github.ref_name, 'releases/') == true \u0026\u0026 inputs.env == null) || inputs.env == 'uat' }}"",""secrets"":""inherit"",""with"":{""environment"":""uat"",""tf_environment"":""${{ inputs.target == 'selc' \u0026\u0026 'uat' || 'uat-pnpg' }}"",""dir"":""${{ inputs.INFRA_PATH }}"",""dockerfile_path"":""./${{ inputs.APP_PATH }}/Dockerfile"",""docker_image_name"":""pagopa/selfcare-${{ inputs.app }}-ms"",""path_openapi_docs"":""./${{ inputs.APP_PATH }}/src/main/docs/openapi.json""}},""release_prod"":{""uses"":""pagopa/selfcare-commons/.github/workflows/call_release_docker.yml@main"",""name"":""${{ inputs.target == 'selc' \u0026\u0026 '[Prod]' || '[Prod-PNPG]' }} - ${{ inputs.app }} Release"",""if"":""${{ inputs.env == 'prod' }}"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""tf_environment"":""${{ inputs.target == 'selc' \u0026\u0026 'prod' || 'prod-pnpg' }}"",""dir"":""${{ inputs.INFRA_PATH }}"",""dockerfile_path"":""./${{ inputs.APP_PATH }}/Dockerfile"",""docker_image_name"":""pagopa/selfcare-${{ inputs.app }}-ms"",""path_openapi_docs"":""./${{ inputs.APP_PATH }}/src/main/docs/openapi.json""}}},""name"":""Deploy Selfcare App"",""on"":{""workflow_call"":{""inputs"":{""env"":{""type"":""string"",""description"":""Environment"",""required"":true},""target"":{""type"":""string"",""description"":""Target type"",""required"":true},""app"":{""type"":""string"",""description"":""App name"",""required"":true},""APP_PATH"":{""type"":""string"",""description"":""App Path"",""required"":true},""INFRA_PATH"":{""type"":""string"",""description"":""Infrastructure Path"",""required"":true},""APPS_POM"":{""type"":""string"",""description"":""Apps pom module path"",""required"":true},""POM"":{""type"":""string"",""description"":""Parent pom"",""required"":true}}}}}}"
201325192,Integration Tests (iam),pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""integration_tests_ms"":{""name"":""Integration Tests (iam)"",""runs-on"":""ubuntu-24.04"",""steps"":[{""name"":""Set missing library"",""run"":""wget http://nz2.archive.ubuntu.com/ubuntu/pool/main/o/openssl/libssl1.1_1.1.1f-1ubuntu2_amd64.deb\nsudo dpkg -i libssl1.1_1.1.1f-1ubuntu2_amd64.deb\n""},{""name"":""Setup Maven Action"",""uses"":""s4u/setup-maven-action@fa2c7e4517ed008b1f73e7e0195a9eecf5582cd4"",""with"":{""checkout-fetch-depth"":0,""java-version"":17,""java-distribution"":""temurin"",""maven-version"":""3.9.5"",""cache-enabled"":true}},{""uses"":""s4u/maven-settings-action@60912582505985be4cc55d2b890eb32767f8de5f"",""with"":{""servers"":""[{\""id\"": \""selfcare-onboarding\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}, {\""id\"": \""selfcare\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}]""}},{""name"":""Run Integration Tests"",""id"":""int_tests"",""run"":""mvn --projects :iam --also-make test -Dtest=CucumberSuite -Dsurefire.failIfNoSpecifiedTests=false"",""shell"":""bash""},{""name"":""Upload Test Results"",""if"":""always() \u0026\u0026 (steps.int_tests.conclusion == 'success' || steps.int_tests.conclusion == 'failure')"",""uses"":""actions/upload-artifact@ea165f8d65b6e75b540449e92b4886f43607fa02"",""with"":{""name"":""cucumber-report"",""path"":""apps/iam/target/cucumber-report/cucumber.html""}}]}},""name"":""Integration Tests (iam)"",""on"":{""pull_request"":{""types"":[""opened"",""synchronize"",""reopened""],""branches"":[""main"",""releases/*""],""paths"":[""apps/iam/**"","".github/workflows/integration_tests_iam_ms.yml""]},""workflow_dispatch"":null},""permissions"":{""contents"":""read""}}}"
150269557,Code Review - auth,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review"":{""uses"":""./.github/workflows/call_code_review.yml"",""name"":""Auth Code Review"",""secrets"":""inherit"",""with"":{""pr_number"":""${{ github.event.pull_request.number }}"",""source_branch"":""${{ github.head_ref }}"",""target_branch"":""${{ github.base_ref }}"",""sonar_key"":""pagopa_selfcare"",""module"":""auth""}}},""name"":""Code Review - auth"",""on"":{""workflow_dispatch"":null,""pull_request"":{""branches"":[""main"",""releases/**""],""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""apps/auth/**"","".github/workflows/pr_auth.yml"","".github/workflows/call_code_review.yml""]}}}}"
194523692,Release Security sdk,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""setup"":{""name"":""Release"",""runs-on"":""ubuntu-24.04"",""permissions"":{""packages"":""write""},""steps"":[{""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""with"":{""ref"":""${{ github.ref_name }}""}},{""name"":""Set up JDK 17"",""uses"":""actions/setup-java@0ab4596768b603586c0de567f2430c30f5b0d2b0"",""with"":{""distribution"":""temurin"",""java-version"":""17"",""cache"":""maven""}},{""uses"":""s4u/maven-settings-action@60912582505985be4cc55d2b890eb32767f8de5f"",""with"":{""servers"":""[{\""id\"": \""selfcare\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}]""}},{""name"":""Build with Maven"",""shell"":""bash"",""run"":""mvn --projects :selfcare-sdk-security --also-make-dependents clean package -DskipTests""},{""name"":""Deploy to GitHub Package Registry"",""shell"":""bash"",""run"":""mvn -B deploy -f libs/selfcare-sdk-security/pom.xml\n"",""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}}]}},""name"":""Release Security sdk"",""on"":{""push"":{""branches"":[""main""],""paths"":[""./libs/selfcare-sdk-security/**""]},""workflow_dispatch"":null}}}"
201643620,Release Pom sdk,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""setup"":{""name"":""Release"",""runs-on"":""ubuntu-24.04"",""permissions"":{""packages"":""write""},""steps"":[{""uses"":""actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11"",""with"":{""ref"":""${{ github.ref_name }}""}},{""name"":""Set up JDK 17"",""uses"":""actions/setup-java@0ab4596768b603586c0de567f2430c30f5b0d2b0"",""with"":{""distribution"":""temurin"",""java-version"":""17"",""cache"":""maven""}},{""uses"":""s4u/maven-settings-action@60912582505985be4cc55d2b890eb32767f8de5f"",""with"":{""servers"":""[{\""id\"": \""selfcare\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}]""}},{""name"":""Build with Maven"",""shell"":""bash"",""run"":""mvn --projects :selfcare-sdk-pom --also-make-dependents clean package -DskipTests""},{""name"":""Deploy to GitHub Package Registry"",""shell"":""bash"",""run"":""mvn -B deploy -f libs/selfcare-sdk-pom/pom.xml\n"",""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}""}}]}},""name"":""Release Pom sdk"",""on"":{""push"":{""branches"":[""main""],""paths"":[""./libs/selfcare-sdk-pom/**""]},""workflow_dispatch"":null}}}"
150269556,Code Review - Auth infra,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_dev"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[DEV] Auth Infra Code Review"",""if"":""${{ !startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""dev"",""dir"":""./infra/apps/auth"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})\n""}},""code_review_uat"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[UAT] Auth Infra Code Review"",""if"":""${{ startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""uat"",""dir"":""./infra/apps/auth"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})\n""}},""code_review_prod"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[PROD] Auths Infra Code Review"",""if"":""${{ startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""dir"":""./infra/apps/auth"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})""}}},""name"":""Code Review - Auth infra"",""on"":{""workflow_dispatch"":null,""pull_request"":{""branches"":[""main"",""releases/*""],""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/apps/auth/**"","".github/workflows/pr_auth_infra.yml"","".github/workflows/call_code_review_infra.yml""]}}}}"
188668986,Code Review - Iam infra,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_dev"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[DEV] IAM Infra Code Review"",""if"":""${{ !startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""dev"",""dir"":""./infra/apps/iam"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})\n""}},""code_review_uat"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[UAT] IAM Infra Code Review"",""if"":""${{ startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""uat"",""dir"":""./infra/apps/iam"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})\n""}},""code_review_prod"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[PROD] IAM Infra Code Review"",""if"":""${{ startsWith(github.ref_name, 'releases/') }}"",""secrets"":""inherit"",""with"":{""environment"":""prod"",""dir"":""./infra/apps/iam"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})""}}},""name"":""Code Review - Iam infra"",""on"":{""workflow_dispatch"":null,""pull_request"":{""branches"":[""main"",""releases/*""],""types"":[""opened"",""edited"",""synchronize"",""reopened"",""ready_for_review""],""paths"":[""infra/apps/iam/**"","".github/workflows/pr_iam_infra.yml"","".github/workflows/call_code_review_infra.yml""]}}}}"
150292941,.github/workflows/call_code_review.yml,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review"":{""name"":""Build \u0026 Analysis"",""runs-on"":""ubuntu-24.04"",""steps"":[{""name"":""Setup Maven Action"",""uses"":""s4u/setup-maven-action@fa2c7e4517ed008b1f73e7e0195a9eecf5582cd4"",""with"":{""checkout-fetch-depth"":0,""java-version"":17,""java-distribution"":""temurin"",""maven-version"":""3.9.5"",""cache-enabled"":true}},{""uses"":""s4u/maven-settings-action@60912582505985be4cc55d2b890eb32767f8de5f"",""with"":{""servers"":""[{\""id\"": \""selfcare-onboarding\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}, {\""id\"": \""selfcare\"", \""username\"": \""${{ github.actor }}\"", \""password\"": \""${{ secrets.GITHUB_TOKEN }}\""}]""}},{""name"":""Build and Analyze"",""shell"":""bash"",""env"":{""GITHUB_TOKEN"":""${{ secrets.GITHUB_TOKEN }}"",""MODULE"":""${{ inputs.module }}"",""SONAR_KEY"":""${{ inputs.sonar_key }}"",""PR_NUMBER"":""${{ inputs.pr_number }}"",""SOURCE_BRANCH"":""${{ inputs.source_branch }}"",""TARGET_BRANCH"":""${{ inputs.target_branch }}""},""run"":""mvn --projects :test-coverage --also-make verify -P\""$MODULE\"",report,coverage -Dsonar.organization=pagopa -Dsonar.projectKey=\""$SONAR_KEY\"" -Dsonar.token=\""${{ secrets.SONAR_TOKEN }}\"" -Dsonar.pullrequest.key=\""$PR_NUMBER\"" -Dsonar.pullrequest.branch=\""$SOURCE_BRANCH\"" -Dsonar.pullrequest.base=refs/remotes/origin/\""$TARGET_BRANCH\""""}]}},""on"":{""workflow_call"":{""inputs"":{""pr_number"":{""type"":""string"",""required"":true},""module"":{""type"":""string"",""required"":true},""source_branch"":{""type"":""string"",""required"":true},""target_branch"":{""type"":""string"",""required"":true},""sonar_key"":{""type"":""string"",""required"":true}}}}}}"
150499732,Run code review infra,pagopa/selfcare,"{""Steps"":[],""Env"":null,""RemainingFields"":{""jobs"":{""code_review_dev"":{""uses"":""./.github/workflows/call_code_review_infra.yml"",""name"":""[Dev] Code review cert"",""secrets"":""inherit"",""with"":{""environment"":""dev"",""tf_environment"":""${{ inputs.th_env }}"",""dir"":""infra/cert"",""env_vars"":""TF_VAR_image_tag=sha-$(git rev-parse --short ${{ github.sha }})\n""}}},""name"":""Run code review infra"",""on"":{""workflow_dispatch"":{""inputs"":{""env"":{""type"":""choice"",""description"":""Module"",""options"":[""dev"",""uat"",""prod""]},""th_env"":{""type"":""choice"",""description"":""Terraform Environment"",""options"":[""dev"",""dev-pnpg"",""uat"",""uat-pnpg"",""prod"",""prod-pnpg""]}}}}}}"
