repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/selfcare","[SELC-6681] Add repository Infra","AleDore",2025-03-14T16:08:32Z,2025-03-17T13:09:44Z,1,2.88,""
"pagopa/selfcare","[SELC-6704] chore: Add jwt and jwks","andrea-putzu",2025-03-17T15:09:08Z,2025-03-17T15:09:19Z,2,0.00,""
"pagopa/selfcare","[SELC-6684] - Add CI pipelines for apps and infra resources","AleDore",2025-03-17T15:10:15Z,2025-03-17T17:03:57Z,3,0.08,""
"pagopa/selfcare","[SELC-6704] Adding new module for create cert jwt, cert jwt-exchange and jwks.json ","andrea-putzu",2025-03-20T10:55:20Z,2025-03-20T13:28:56Z,6,0.11,""
"pagopa/selfcare","[SELC-6685] Add OIDC exchange endpoint","AleDore",2025-03-28T13:02:18Z,2025-04-03T12:04:21Z,9,5.96,""
"pagopa/selfcare","Fix InternalException Handler + IdToken Claims","AleDore",2025-04-03T16:11:47Z,2025-04-03T16:12:00Z,12,0.00,""
"pagopa/selfcare","Fix token sign","AleDore",2025-04-04T13:11:11Z,2025-04-04T13:21:06Z,13,0.01,""
"pagopa/selfcare","[SELC-7125] Update v4","andrea-putzu",2025-05-27T11:04:15Z,2025-05-27T11:04:31Z,15,0.00,""
"pagopa/selfcare","Migration to jwt private key","andrea-putzu",2025-05-27T15:59:38Z,2025-05-27T15:59:56Z,16,0.00,""
"pagopa/selfcare","chore: Add new jwt private key","andrea-putzu",2025-05-27T16:41:14Z,2025-05-27T16:41:47Z,17,0.00,""
"pagopa/selfcare","[#SELC-7211] Add Otp Feature Flag","AleDore",2025-06-13T11:28:53Z,2025-06-19T13:07:30Z,21,6.07,""
"pagopa/selfcare","[#SELC-7065] Add get user info service ","AleDore",2025-06-17T10:47:01Z,2025-06-19T12:18:01Z,22,2.06,""
"pagopa/selfcare","[#SELC-7066] Add Otp Flow model + collection","AleDore",2025-06-17T14:24:54Z,2025-06-20T10:59:12Z,23,2.86,""
"pagopa/selfcare","[SELC-7067] Otp Email Service integration","AleDore",2025-06-20T16:17:10Z,2025-06-23T09:45:07Z,24,2.73,""
"pagopa/selfcare","[SELC-7267] Add Otp Logic into exchange endpoint","AleDore",2025-06-23T15:58:32Z,2025-06-24T13:16:56Z,26,0.89,""
"pagopa/selfcare","Allow Beta OPT in UAT env","AleDore",2025-06-27T14:51:43Z,2025-06-27T14:59:25Z,34,0.01,""
"pagopa/selfcare","OTP Beta PROD Release","AleDore",2025-06-30T08:50:36Z,2025-06-30T08:50:44Z,35,0.00,""
"pagopa/selfcare","Enable OTP feature in PROD","AleDore",2025-07-14T10:32:17Z,2025-07-15T08:57:10Z,40,0.93,""
"pagopa/selfcare","[SELC-7498] Updating module infra version","andrea-putzu",2025-08-04T08:34:23Z,2025-08-05T11:22:54Z,43,1.12,""
"pagopa/selfcare","[SELC-7498] chore: Updating terraform lock","andrea-putzu",2025-08-06T13:40:37Z,2025-08-06T13:40:46Z,44,0.00,""
"pagopa/selfcare","[SELC-7514] Customize pre-commit","andrea-putzu",2025-09-03T12:39:20Z,2025-09-04T16:31:20Z,47,1.16,""
"pagopa/selfcare","[SELC-7503] Add IAM  app","AleDore",2025-09-11T09:23:56Z,2025-09-22T08:18:46Z,49,10.95,""
"pagopa/selfcare","[SELC-7513] Adding ENV config","andrea-putzu",2025-09-15T14:33:37Z,2025-09-15T14:33:50Z,50,0.00,""
"pagopa/selfcare","[SELC-7817] IAM Microservice","andrea-putzu",2025-10-22T16:06:32Z,2025-10-24T12:02:07Z,53,1.83,""
"pagopa/selfcare","[SELC-7879] Adding IAM BE url","andrea-putzu",2025-10-27T16:32:26Z,2025-10-27T16:34:33Z,56,0.00,""
"pagopa/selfcare","Add Product MS microservice skeleton + infra","AleDore",2025-11-03T16:54:35Z,2025-11-11T08:18:31Z,59,7.64,""
