module,source_type,file_type,version,repository,file_path,line_number,file_link
"github.com/pagopa/terraform-azurerm-v4.git//api_management_api?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare","infra/apps/auth/apim.tf",19,"https://github.com/pagopa/selfcare/blob/main/infra/apps/auth/apim.tf#L19"
"github.com/pagopa/selfcare-commons//infra/terraform-modules/container_app_microservice?ref=v1.1.0","registry","terraform","v1.1.0","pagopa/selfcare","infra/apps/auth/main.tf",18,"https://github.com/pagopa/selfcare/blob/main/infra/apps/auth/main.tf#L18"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_mongodb_collection?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare","infra/apps/auth/mongodb.tf",16,"https://github.com/pagopa/selfcare/blob/main/infra/apps/auth/mongodb.tf#L16"
"github.com/pagopa/terraform-azurerm-v4.git//api_management_api?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare","infra/apps/iam/apim.tf",19,"https://github.com/pagopa/selfcare/blob/main/infra/apps/iam/apim.tf#L19"
"github.com/pagopa/selfcare-commons//infra/terraform-modules/container_app_microservice?ref=v1.1.0","registry","terraform","v1.1.0","pagopa/selfcare","infra/apps/iam/main.tf",18,"https://github.com/pagopa/selfcare/blob/main/infra/apps/iam/main.tf#L18"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_mongodb_collection?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare","infra/apps/iam/mongodb.tf",16,"https://github.com/pagopa/selfcare/blob/main/infra/apps/iam/mongodb.tf#L16"
"github.com/pagopa/terraform-azurerm-v4.git//cosmosdb_mongodb_collection?ref=v6.6.0","registry","terraform","v6.6.0","pagopa/selfcare","infra/apps/iam/mongodb.tf",40,"https://github.com/pagopa/selfcare/blob/main/infra/apps/iam/mongodb.tf#L40"
"github.com/pagopa/terraform-azurerm-v4.git//api_management_api?ref=v7.26.5","registry","terraform","v7.26.5","pagopa/selfcare","infra/apps/product/apim.tf",19,"https://github.com/pagopa/selfcare/blob/main/infra/apps/product/apim.tf#L19"
"github.com/pagopa/selfcare-commons//infra/terraform-modules/container_app_microservice?ref=v1.1.0","registry","terraform","v1.1.0","pagopa/selfcare","infra/apps/product/main.tf",18,"https://github.com/pagopa/selfcare/blob/main/infra/apps/product/main.tf#L18"
"github.com/pagopa/terraform-azurerm-v4.git//jwt_keys?ref=add-private_key_pkcs8_to_jwt_keys","registry","terraform","add-private_key_pkcs8_to_jwt_keys","pagopa/selfcare","infra/cert/01_key_vault_operations.tf",2,"https://github.com/pagopa/selfcare/blob/main/infra/cert/01_key_vault_operations.tf#L2"
"github.com/pagopa/terraform-azurerm-v4.git//jwt_keys?ref=add-private_key_pkcs8_to_jwt_keys","registry","terraform","add-private_key_pkcs8_to_jwt_keys","pagopa/selfcare","infra/cert/01_key_vault_operations.tf",13,"https://github.com/pagopa/selfcare/blob/main/infra/cert/01_key_vault_operations.tf#L13"
"github.com/pagopa/selfcare-commons//infra/terraform-modules/github_repository_settings?ref=main","registry","terraform","main","pagopa/selfcare","infra/repository/github_repository.tf",38,"https://github.com/pagopa/selfcare/blob/main/infra/repository/github_repository.tf#L38"
